smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
(í;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
w(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ww;0.001086;0.477742;0.002172;0.007600;0.001086;0.002172;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.003257;0.001086;0.001086;0.001086;0.001086;0.001086;0.002172;0.471227;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086
we;0.000010;0.000010;0.049684;0.334718;0.027663;0.000010;0.000630;0.022961;0.000021;0.000021;0.000010;0.133893;0.010861;0.057931;0.000010;0.000010;0.307385;0.000010;0.018539;0.000010;0.018580;0.000031;0.000093;0.007678;0.000021;0.000031;0.000186;0.007864;0.000847;0.000010;0.000010;0.000196;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
w ;0.000017;0.114790;0.016599;0.003903;0.009592;0.027752;0.198463;0.092259;0.003469;0.067108;0.014032;0.015715;0.111165;0.005741;0.049208;0.021178;0.010979;0.000104;0.035679;0.049850;0.033199;0.023347;0.000364;0.000208;0.001214;0.017154;0.031724;0.038107;0.000208;0.000781;0.005967;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
wn;0.000069;0.000693;0.032287;0.752373;0.000069;0.000139;0.004296;0.000139;0.000069;0.000139;0.000277;0.013372;0.003672;0.000416;0.001316;0.000069;0.000485;0.000069;0.016975;0.000139;0.000069;0.000762;0.080371;0.042403;0.000069;0.000554;0.000346;0.000139;0.043511;0.000069;0.000069;0.003949;0.000277;0.000069;0.000069;0.000069;0.000069;0.000069
wo;0.000031;0.015789;0.000154;0.107153;0.056728;0.039394;0.000402;0.000124;0.003213;0.000680;0.181369;0.003831;0.000031;0.000185;0.000185;0.000031;0.477306;0.000031;0.000185;0.099212;0.000154;0.000371;0.001514;0.004202;0.000062;0.000031;0.000494;0.000278;0.006458;0.000031;0.000093;0.000093;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031
wt;0.003185;0.003185;0.015924;0.028662;0.003185;0.098726;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.009554;0.003185;0.719745;0.003185;0.006369;0.003185;0.006369;0.003185;0.003185;0.015924;0.003185;0.006369;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185
wa;0.000011;0.000067;0.000011;0.000157;0.179679;0.000022;0.073293;0.000011;0.016192;0.101708;0.000090;0.025638;0.012785;0.005026;0.000382;0.000337;0.312343;0.000045;0.261810;0.002710;0.000540;0.000090;0.000022;0.000045;0.000045;0.003655;0.000124;0.003002;0.000056;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011
wk;0.010417;0.083333;0.062500;0.135417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.177083;0.010417;0.010417;0.010417;0.010417;0.010417;0.104167;0.010417;0.010417;0.010417;0.093750;0.010417;0.010417;0.010417;0.010417;0.010417;0.020833;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417
wy;0.001225;0.001225;0.909314;0.019608;0.002451;0.018382;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.007353;0.001225;0.002451;0.002451;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225;0.001225
wu;0.017544;0.017544;0.017544;0.035088;0.087719;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.052632;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.140351;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
wl;0.001235;0.001235;0.492593;0.067901;0.001235;0.001235;0.003704;0.001235;0.001235;0.271605;0.001235;0.001235;0.070370;0.001235;0.001235;0.001235;0.001235;0.001235;0.025926;0.001235;0.001235;0.001235;0.011111;0.002469;0.001235;0.001235;0.001235;0.001235;0.016049;0.001235;0.001235;0.003704;0.001235;0.001235;0.001235;0.001235;0.001235;0.001235
wi;0.000019;0.000019;0.000524;0.000112;0.116002;0.000019;0.657550;0.000019;0.007408;0.000019;0.000019;0.142846;0.000019;0.001815;0.000019;0.006024;0.003947;0.000019;0.015676;0.001665;0.029314;0.012646;0.000019;0.000019;0.000430;0.000935;0.002675;0.000019;0.000037;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019
wv;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
wh;0.000014;0.000014;0.269899;0.000014;0.000014;0.172497;0.000014;0.331425;0.000014;0.092200;0.000014;0.000014;0.133525;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014
wc;0.014085;0.014085;0.014085;0.014085;0.014085;0.154930;0.014085;0.042254;0.253521;0.014085;0.028169;0.014085;0.014085;0.014085;0.014085;0.014085;0.042254;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
wr;0.000388;0.000388;0.056655;0.000388;0.000388;0.534730;0.000388;0.038805;0.000388;0.002328;0.000388;0.000388;0.354676;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388;0.000388
wx;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ws;0.000086;0.026413;0.003884;0.609668;0.000173;0.000604;0.000345;0.000086;0.002244;0.000173;0.049288;0.051014;0.020026;0.000086;0.000863;0.002244;0.001295;0.000086;0.000259;0.001554;0.000345;0.001208;0.094260;0.040742;0.000086;0.000086;0.016487;0.000432;0.070263;0.000086;0.000086;0.005006;0.000086;0.000086;0.000086;0.000086;0.000086;0.000086
wm;0.008403;0.008403;0.092437;0.008403;0.008403;0.008403;0.008403;0.386555;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.226891;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
wd;0.001484;0.001484;0.437685;0.241840;0.001484;0.025223;0.001484;0.004451;0.001484;0.059347;0.001484;0.001484;0.013353;0.001484;0.001484;0.001484;0.005935;0.001484;0.077151;0.001484;0.001484;0.010386;0.044510;0.008902;0.001484;0.001484;0.001484;0.001484;0.032641;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484
wf;0.005155;0.005155;0.005155;0.010309;0.005155;0.041237;0.005155;0.051546;0.005155;0.005155;0.592784;0.128866;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.010309;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155
