smoothed;3
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
rl;0.000756;0.000756;0.086924;0.053666;0.047619;0.000756;0.000756;0.197279;0.000756;0.018141;0.492063;0.000756;0.000756;0.000756;0.000756;0.002268;0.000756;0.052910;0.011338;0.019652;0.000756;0.000756;0.000756;0.002268;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756
rc;0.000606;0.239394;0.070909;0.005455;0.570909;0.001212;0.004848;0.001212;0.000606;0.018182;0.000606;0.000606;0.017576;0.000606;0.000606;0.009697;0.000606;0.001212;0.000606;0.013939;0.000606;0.000606;0.033939;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606
rm;0.000421;0.000421;0.114105;0.206316;0.131368;0.000842;0.000421;0.010947;0.000421;0.030737;0.000421;0.000842;0.003789;0.000842;0.000421;0.000421;0.000421;0.109474;0.039158;0.338526;0.000421;0.000421;0.001684;0.003789;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421
rt;0.000110;0.068996;0.152430;0.233660;0.101400;0.000110;0.001874;0.212388;0.000661;0.008266;0.000110;0.000441;0.011352;0.000220;0.021713;0.001212;0.000110;0.036702;0.039678;0.063265;0.000331;0.002976;0.036702;0.000551;0.003417;0.000110;0.000110;0.000110;0.000661;0.000110;0.000110;0.000110
rj;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.285714;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
rs;0.000105;0.023051;0.020222;0.527661;0.107502;0.000210;0.000105;0.000838;0.000314;0.071878;0.001886;0.000419;0.000105;0.000733;0.000105;0.129715;0.000105;0.001048;0.083718;0.019384;0.002515;0.000105;0.005134;0.000105;0.000105;0.000105;0.000105;0.002305;0.000105;0.000105;0.000105;0.000105
r);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ra;0.000066;0.007124;0.052312;0.017613;0.011083;0.005937;0.005343;0.005607;0.024804;0.001913;0.026321;0.005739;0.103569;0.122304;0.027706;0.341843;0.001055;0.023616;0.002309;0.000066;0.017679;0.025859;0.008180;0.003826;0.116037;0.000066;0.001055;0.000066;0.022561;0.018207;0.000066;0.000066
rp;0.000847;0.018628;0.009314;0.008467;0.038103;0.000847;0.121931;0.000847;0.000847;0.722269;0.000847;0.000847;0.022862;0.000847;0.000847;0.005927;0.000847;0.004234;0.001693;0.013548;0.000847;0.000847;0.016088;0.000847;0.000847;0.000847;0.000847;0.000847;0.000847;0.000847;0.000847;0.000847
rg;0.000585;0.007026;0.110070;0.045667;0.451991;0.000585;0.002342;0.042155;0.000585;0.035714;0.000585;0.000585;0.002342;0.000585;0.000585;0.000585;0.000585;0.002927;0.007026;0.192623;0.000585;0.000585;0.088407;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585
ru;0.000145;0.000291;0.010323;0.001018;0.037802;0.000145;0.002762;0.000145;0.004362;0.000145;0.004216;0.000145;0.030678;0.042163;0.327275;0.058738;0.000145;0.258942;0.000145;0.005961;0.058883;0.021954;0.000145;0.000291;0.129253;0.000582;0.000145;0.000145;0.002617;0.000145;0.000145;0.000145
rf;0.002457;0.002457;0.036855;0.007371;0.334152;0.002457;0.004914;0.002457;0.002457;0.054054;0.002457;0.002457;0.004914;0.002457;0.002457;0.002457;0.002457;0.004914;0.004914;0.108108;0.002457;0.002457;0.383292;0.004914;0.002457;0.002457;0.002457;0.002457;0.002457;0.002457;0.002457;0.002457
rn;0.000235;0.000235;0.314763;0.110014;0.138458;0.000235;0.000235;0.000470;0.002116;0.035731;0.001175;0.000235;0.000235;0.000705;0.196521;0.000470;0.000235;0.050541;0.021157;0.123178;0.000470;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235
rx;0.017857;0.017857;0.178571;0.214286;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.071429;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
rk;0.000367;0.001835;0.191927;0.380917;0.219083;0.000367;0.000367;0.001101;0.000367;0.000367;0.001468;0.000734;0.003303;0.000367;0.000367;0.000367;0.000367;0.107156;0.058349;0.009174;0.008807;0.000367;0.001835;0.004771;0.003303;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367
r.;0.005650;0.005650;0.005650;0.638418;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.192090;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
rz;0.027027;0.027027;0.027027;0.054054;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
rq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
r,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
r#;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
y(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yh;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yi;0.000349;0.000349;0.000349;0.000698;0.001396;0.000349;0.000349;0.000349;0.000349;0.000349;0.000698;0.000349;0.000349;0.000349;0.001047;0.001396;0.000349;0.036288;0.000698;0.000349;0.000349;0.000349;0.000349;0.000349;0.949407;0.000349;0.000349;0.000349;0.000349;0.000349;0.000349;0.000349
y ;0.000021;0.054336;0.079692;0.002799;0.016362;0.004878;0.021590;0.023484;0.038940;0.041431;0.066005;0.103484;0.022002;0.049067;0.022475;0.148599;0.010826;0.073168;0.000535;0.093564;0.029555;0.029535;0.006566;0.028320;0.020273;0.000062;0.010106;0.000103;0.000268;0.001647;0.000288;0.000021
ye;0.000156;0.000467;0.000779;0.011838;0.013084;0.000156;0.063551;0.000312;0.000779;0.000623;0.027103;0.000312;0.007632;0.000156;0.013396;0.035826;0.000156;0.200312;0.002025;0.606075;0.013396;0.000156;0.000312;0.000156;0.000156;0.000156;0.000156;0.000156;0.000156;0.000156;0.000156;0.000156
yv;0.002882;0.002882;0.002882;0.002882;0.910663;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882
yr;0.000273;0.000273;0.098146;0.001363;0.887677;0.000273;0.000273;0.000273;0.000273;0.003817;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000545;0.000273;0.001363;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273
yy;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.055556;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yb;0.000546;0.000546;0.000546;0.000546;0.315330;0.000546;0.001091;0.000546;0.000546;0.664484;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.002728;0.000546;0.000546;0.001637;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546;0.000546
yo;0.000041;0.000041;0.000041;0.000288;0.000041;0.000041;0.015324;0.000041;0.000041;0.000041;0.000041;0.000082;0.000082;0.000041;0.000082;0.000082;0.000041;0.000041;0.000082;0.000041;0.000288;0.000247;0.961732;0.000206;0.020638;0.000041;0.000082;0.000041;0.000041;0.000041;0.000041;0.000041
yd;0.006211;0.006211;0.074534;0.391304;0.055901;0.006211;0.012422;0.006211;0.006211;0.024845;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.031056;0.217391;0.006211;0.006211;0.018634;0.006211;0.031056;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
yw;0.002088;0.240084;0.010438;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.050104;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.640919;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088
yl;0.002320;0.002320;0.027842;0.011601;0.183295;0.044084;0.002320;0.004640;0.002320;0.023202;0.002320;0.002320;0.447796;0.002320;0.002320;0.002320;0.002320;0.002320;0.004640;0.141531;0.002320;0.002320;0.060325;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320
yc;0.006061;0.400000;0.006061;0.006061;0.036364;0.006061;0.006061;0.006061;0.006061;0.060606;0.006061;0.006061;0.309091;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.030303;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061
ym;0.002525;0.002525;0.025253;0.015152;0.186869;0.002525;0.002525;0.002525;0.068182;0.459596;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525;0.007576;0.065657;0.070707;0.002525;0.002525;0.002525;0.042929;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525
yt;0.000977;0.902344;0.043945;0.007812;0.009766;0.000977;0.000977;0.000977;0.000977;0.005859;0.000977;0.004883;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977;0.000977
yj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ys;0.000277;0.000832;0.015803;0.668700;0.020793;0.000277;0.000277;0.000277;0.000277;0.001663;0.000277;0.000277;0.000277;0.000554;0.001109;0.171056;0.000277;0.003881;0.109232;0.000277;0.000277;0.000277;0.000277;0.000554;0.000277;0.000277;0.000277;0.000277;0.000277;0.000277;0.000277;0.000277
y);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ya;0.002257;0.112867;0.002257;0.255079;0.002257;0.002257;0.097065;0.020316;0.009029;0.002257;0.004515;0.004515;0.103837;0.015801;0.002257;0.024831;0.002257;0.013544;0.045147;0.002257;0.004515;0.004515;0.002257;0.006772;0.221219;0.002257;0.013544;0.002257;0.011287;0.002257;0.002257;0.002257
yp;0.003922;0.007843;0.188235;0.003922;0.403922;0.003922;0.015686;0.003922;0.003922;0.078431;0.003922;0.003922;0.003922;0.003922;0.003922;0.090196;0.003922;0.027451;0.003922;0.090196;0.003922;0.003922;0.003922;0.003922;0.007843;0.003922;0.003922;0.003922;0.003922;0.003922;0.003922;0.003922
yg;0.019608;0.019608;0.019608;0.019608;0.058824;0.019608;0.098039;0.019608;0.019608;0.215686;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.039216;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
yu;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.039216;0.019608;0.019608;0.019608;0.039216;0.019608;0.078431;0.137255;0.039216;0.019608;0.039216;0.019608;0.078431;0.019608;0.019608;0.019608;0.019608;0.019608
yf;0.020408;0.020408;0.224490;0.020408;0.020408;0.020408;0.081633;0.020408;0.020408;0.081633;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
yn;0.004237;0.004237;0.118644;0.182203;0.038136;0.004237;0.004237;0.021186;0.004237;0.029661;0.046610;0.021186;0.004237;0.042373;0.004237;0.084746;0.004237;0.012712;0.042373;0.063559;0.004237;0.004237;0.004237;0.004237;0.216102;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237
yx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
y.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yz;0.022222;0.022222;0.111111;0.022222;0.200000;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
yq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
y,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
y#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bh;0.021739;0.021739;0.043478;0.021739;0.195652;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.108696;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
bi;0.000272;0.000545;0.000272;0.050926;0.032952;0.000272;0.009804;0.000272;0.001634;0.006536;0.023420;0.000272;0.345588;0.004902;0.000817;0.091776;0.000272;0.009532;0.007081;0.044118;0.010621;0.276961;0.000272;0.000272;0.069989;0.000272;0.003268;0.000272;0.003268;0.002996;0.000272;0.000272
b ;0.001244;0.038557;0.093284;0.012438;0.008706;0.006219;0.026119;0.034826;0.065920;0.054726;0.024876;0.065920;0.026119;0.067164;0.028607;0.143035;0.011194;0.064677;0.001244;0.128109;0.021144;0.021144;0.006219;0.027363;0.009950;0.001244;0.003731;0.001244;0.001244;0.001244;0.001244;0.001244
be;0.000055;0.015773;0.048368;0.216744;0.084822;0.000110;0.162199;0.003144;0.000055;0.000055;0.023163;0.000496;0.049746;0.224079;0.000055;0.045224;0.000110;0.013347;0.036841;0.016159;0.000055;0.007942;0.000055;0.031216;0.011968;0.000055;0.000276;0.000110;0.007556;0.000110;0.000055;0.000055
bv;0.004975;0.004975;0.810945;0.004975;0.039801;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
br;0.000487;0.000487;0.307543;0.000487;0.144526;0.000487;0.000487;0.002433;0.000487;0.269586;0.000487;0.000487;0.000487;0.000487;0.000487;0.000487;0.000487;0.000487;0.000487;0.201946;0.000487;0.000487;0.060827;0.000487;0.000487;0.000487;0.000487;0.000487;0.000973;0.000487;0.000487;0.000487
by;0.000384;0.000768;0.038402;0.759985;0.009601;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.004608;0.000384;0.000768;0.003072;0.000384;0.002688;0.130952;0.030722;0.003456;0.000384;0.000384;0.000384;0.006912;0.000384;0.000384;0.000384;0.000768;0.000384;0.000384;0.000384
bb;0.002203;0.002203;0.292952;0.006608;0.099119;0.002203;0.002203;0.370044;0.002203;0.017621;0.002203;0.002203;0.055066;0.030837;0.002203;0.002203;0.002203;0.006608;0.002203;0.066079;0.002203;0.002203;0.004405;0.002203;0.002203;0.002203;0.002203;0.002203;0.002203;0.004405;0.002203;0.002203
bo;0.000107;0.000107;0.001388;0.002029;0.001495;0.004165;0.039513;0.010679;0.006941;0.085861;0.197565;0.003845;0.013135;0.000641;0.026378;0.043998;0.000320;0.004272;0.000427;0.018795;0.000107;0.002136;0.514844;0.000107;0.014630;0.005233;0.000748;0.000107;0.000107;0.000107;0.000107;0.000107
bd;0.020000;0.020000;0.200000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.140000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
bw;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bl;0.000169;0.000169;0.286437;0.000169;0.429487;0.000169;0.000337;0.093792;0.000169;0.056680;0.000169;0.000169;0.000337;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.098347;0.000169;0.000169;0.030533;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169
bc;0.002299;0.002299;0.002299;0.751724;0.002299;0.002299;0.002299;0.002299;0.002299;0.009195;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.055172;0.119540;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299
bm;0.017241;0.017241;0.137931;0.103448;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.068966;0.034483;0.172414;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
bt;0.004566;0.004566;0.018265;0.538813;0.018265;0.004566;0.004566;0.004566;0.004566;0.013699;0.004566;0.004566;0.045662;0.004566;0.004566;0.004566;0.004566;0.031963;0.127854;0.063927;0.004566;0.004566;0.004566;0.009132;0.004566;0.004566;0.004566;0.004566;0.004566;0.031963;0.004566;0.004566
bj;0.009091;0.009091;0.009091;0.063636;0.663636;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
bs;0.000795;0.002385;0.100954;0.306836;0.042925;0.000795;0.000795;0.001590;0.000795;0.135135;0.000795;0.000795;0.000795;0.263911;0.000795;0.056439;0.000795;0.000795;0.058824;0.001590;0.000795;0.000795;0.011924;0.000795;0.000795;0.000795;0.000795;0.000795;0.000795;0.001590;0.000795;0.000795
b);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ba;0.000170;0.000340;0.011236;0.005958;0.000340;0.000170;0.119510;0.003064;0.074566;0.000170;0.070140;0.000340;0.075758;0.215015;0.125468;0.053967;0.000170;0.097889;0.000851;0.000170;0.000170;0.013619;0.002213;0.001532;0.122063;0.000170;0.003745;0.000170;0.000340;0.000340;0.000170;0.000170
bp;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.041667;0.020833;0.020833;0.291667;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
bg;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bu;0.000153;0.000153;0.042316;0.000917;0.000917;0.000153;0.041705;0.029789;0.003055;0.000153;0.039719;0.000153;0.016040;0.011610;0.007180;0.676444;0.000153;0.089368;0.000611;0.000153;0.000306;0.001833;0.000153;0.006569;0.026581;0.000153;0.000917;0.000153;0.001986;0.000306;0.000153;0.000153
bf;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
bn;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.055556;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
bx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bq;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
o(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
