smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
ri;0.000172;0.000172;0.104603;0.002576;0.070938;0.218825;0.000172;0.088114;0.042769;0.042941;0.032120;0.001718;0.123325;0.025936;0.000172;0.000687;0.105119;0.043456;0.003435;0.000172;0.000172;0.012195;0.020783;0.018894;0.028169;0.001374;0.000172;0.010134;0.000344;0.000172;0.000172
rt;0.000257;0.137798;0.001540;0.395946;0.055684;0.002053;0.001026;0.091866;0.093662;0.005132;0.000257;0.000257;0.002566;0.000257;0.042853;0.048755;0.000257;0.009751;0.000257;0.076982;0.000513;0.001283;0.006159;0.000257;0.000257;0.020785;0.000257;0.002566;0.000257;0.000257;0.000257
r ;0.000093;0.070767;0.178955;0.006206;0.067155;0.012134;0.022786;0.026491;0.117358;0.074379;0.037977;0.007595;0.021489;0.027881;0.027973;0.001112;0.041034;0.038996;0.005465;0.032790;0.064654;0.042516;0.022508;0.030845;0.007781;0.009263;0.000185;0.000741;0.002316;0.000278;0.000278
rs;0.000275;0.028902;0.144509;0.427746;0.000275;0.000275;0.000275;0.108450;0.045692;0.105147;0.000275;0.000275;0.000275;0.002202;0.002202;0.065511;0.000551;0.000275;0.000275;0.039912;0.000275;0.005230;0.000275;0.000275;0.000275;0.018993;0.000275;0.000275;0.000275;0.000275;0.000275
rg;0.001449;0.068116;0.001449;0.046377;0.004348;0.001449;0.005797;0.386957;0.159420;0.020290;0.001449;0.001449;0.001449;0.001449;0.049275;0.007246;0.001449;0.001449;0.001449;0.002899;0.001449;0.001449;0.001449;0.001449;0.001449;0.220290;0.001449;0.001449;0.001449;0.001449;0.001449
rr;0.001176;0.230588;0.001176;0.007059;0.001176;0.001176;0.001176;0.301176;0.121176;0.184706;0.001176;0.001176;0.001176;0.001176;0.090588;0.003529;0.001176;0.001176;0.001176;0.001176;0.001176;0.001176;0.001176;0.001176;0.001176;0.034118;0.001176;0.001176;0.001176;0.001176;0.001176
re;0.000054;0.005129;0.023324;0.363136;0.129684;0.008206;0.000918;0.035849;0.137944;0.002160;0.001350;0.000972;0.044434;0.040924;0.000918;0.063168;0.032016;0.022298;0.000054;0.000918;0.003023;0.032016;0.028615;0.008746;0.008692;0.001080;0.000270;0.000594;0.003401;0.000054;0.000054
ra;0.000238;0.052744;0.267997;0.018057;0.030411;0.027322;0.009979;0.010216;0.000238;0.004039;0.013067;0.003801;0.118080;0.054170;0.010691;0.003326;0.127821;0.044429;0.002376;0.020195;0.006890;0.026134;0.110002;0.004752;0.014493;0.007128;0.000238;0.009741;0.000950;0.000238;0.000238
ro;0.000217;0.002382;0.029673;0.014512;0.042235;0.048516;0.010180;0.003032;0.027290;0.028590;0.101365;0.006281;0.076890;0.024258;0.010830;0.002816;0.018843;0.229153;0.005631;0.001300;0.040936;0.041152;0.032272;0.014078;0.043535;0.142733;0.000433;0.000217;0.000217;0.000217;0.000217
rb;0.006667;0.220000;0.006667;0.060000;0.020000;0.006667;0.006667;0.060000;0.240000;0.180000;0.006667;0.006667;0.006667;0.006667;0.020000;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.026667;0.006667;0.006667;0.026667;0.006667;0.006667;0.006667;0.006667;0.006667
rj;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.020202;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.686869;0.010101;0.010101;0.010101;0.010101;0.010101
rn;0.000904;0.179024;0.001808;0.148282;0.043400;0.000904;0.000904;0.242315;0.092224;0.028933;0.003617;0.000904;0.000904;0.001808;0.000904;0.033454;0.000904;0.204340;0.000904;0.001808;0.000904;0.000904;0.000904;0.000904;0.000904;0.002712;0.000904;0.000904;0.000904;0.000904;0.000904
rd;0.000734;0.101981;0.002935;0.438004;0.142333;0.000734;0.002935;0.088041;0.093177;0.002935;0.001467;0.000734;0.001467;0.000734;0.011739;0.066764;0.007337;0.000734;0.000734;0.001467;0.002935;0.002201;0.020543;0.000734;0.000734;0.002201;0.000734;0.000734;0.000734;0.000734;0.000734
ry;0.000367;0.052863;0.043686;0.680984;0.004772;0.002570;0.000367;0.001836;0.008443;0.016153;0.041850;0.000367;0.000367;0.001101;0.000367;0.127753;0.001836;0.002570;0.000367;0.000367;0.004038;0.001468;0.002570;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367
r);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
rc;0.001466;0.139296;0.001466;0.005865;0.002933;0.001466;0.002933;0.388563;0.011730;0.032258;0.001466;0.001466;0.001466;0.001466;0.005865;0.001466;0.001466;0.001466;0.001466;0.277126;0.001466;0.001466;0.027859;0.001466;0.001466;0.076246;0.001466;0.001466;0.001466;0.001466;0.001466
rm;0.001103;0.084895;0.001103;0.183021;0.174201;0.001103;0.001103;0.151047;0.248071;0.022051;0.003308;0.001103;0.001103;0.001103;0.050717;0.044101;0.001103;0.001103;0.001103;0.001103;0.001103;0.001103;0.003308;0.004410;0.001103;0.009923;0.001103;0.001103;0.001103;0.001103;0.001103
rk;0.001266;0.149367;0.001266;0.360759;0.083544;0.001266;0.001266;0.265823;0.010127;0.008861;0.001266;0.001266;0.005063;0.001266;0.002532;0.070886;0.001266;0.001266;0.001266;0.005063;0.001266;0.003797;0.010127;0.001266;0.001266;0.001266;0.001266;0.001266;0.001266;0.001266;0.001266
rh;0.012195;0.036585;0.012195;0.012195;0.012195;0.012195;0.012195;0.304878;0.097561;0.231707;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
rw;0.007519;0.142857;0.007519;0.007519;0.007519;0.007519;0.007519;0.060150;0.503759;0.022556;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.075188;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
rp;0.003448;0.024138;0.010345;0.010345;0.020690;0.003448;0.258621;0.044828;0.027586;0.420690;0.003448;0.003448;0.003448;0.003448;0.003448;0.003448;0.003448;0.003448;0.003448;0.034483;0.003448;0.003448;0.072414;0.006897;0.003448;0.003448;0.003448;0.003448;0.003448;0.003448;0.003448
rl;0.001580;0.093207;0.001580;0.014218;0.020537;0.001580;0.001580;0.086888;0.025276;0.012638;0.001580;0.001580;0.001580;0.271722;0.415482;0.006319;0.001580;0.001580;0.001580;0.001580;0.001580;0.001580;0.001580;0.020537;0.001580;0.001580;0.001580;0.001580;0.001580;0.001580;0.001580
rf;0.006944;0.020833;0.006944;0.062500;0.006944;0.006944;0.006944;0.312500;0.125000;0.083333;0.006944;0.006944;0.006944;0.006944;0.006944;0.020833;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.208333;0.006944;0.006944;0.006944;0.006944;0.006944
rv;0.002132;0.490405;0.002132;0.002132;0.002132;0.002132;0.002132;0.245203;0.183369;0.023454;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132
ru;0.000301;0.013868;0.030449;0.000603;0.144709;0.013868;0.004522;0.053361;0.003316;0.000301;0.002713;0.000301;0.040398;0.028037;0.000301;0.000603;0.035273;0.577932;0.000301;0.000301;0.000301;0.012964;0.023515;0.001507;0.000301;0.000301;0.000301;0.008441;0.000301;0.000301;0.000301
rx;0.018868;0.396226;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
rz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
rq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303
r.;0.009901;0.009901;0.009901;0.574257;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.138614;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
r#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
e(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ei;0.000688;0.000688;0.080523;0.002753;0.005506;0.099794;0.346869;0.000688;0.000688;0.000688;0.000688;0.000688;0.374398;0.003441;0.000688;0.000688;0.000688;0.010323;0.001376;0.000688;0.000688;0.000688;0.011012;0.002753;0.046800;0.000688;0.000688;0.002065;0.000688;0.000688;0.000688
et;0.000206;0.088284;0.132632;0.264233;0.101073;0.001031;0.007838;0.089109;0.038779;0.007632;0.001031;0.000206;0.002063;0.000413;0.017533;0.041873;0.006394;0.000206;0.000206;0.156147;0.033003;0.000619;0.001444;0.002888;0.000206;0.003713;0.000206;0.000413;0.000206;0.000206;0.000206
e ;0.000022;0.082267;0.140715;0.003097;0.073020;0.023753;0.027474;0.021792;0.108093;0.060832;0.043407;0.007754;0.027007;0.038259;0.021681;0.000780;0.044833;0.033825;0.007242;0.037212;0.073265;0.043785;0.024065;0.031753;0.006841;0.013459;0.000134;0.000178;0.003186;0.000111;0.000156
es;0.000095;0.045199;0.162813;0.445523;0.124560;0.000095;0.000095;0.074032;0.001713;0.005234;0.000190;0.000095;0.023979;0.000856;0.000095;0.066419;0.010277;0.000190;0.000381;0.001808;0.000095;0.024646;0.000476;0.000095;0.000381;0.010087;0.000095;0.000095;0.000190;0.000095;0.000095
eg;0.001190;0.157143;0.001190;0.010714;0.010714;0.008333;0.086905;0.105952;0.379762;0.063095;0.001190;0.001190;0.003571;0.001190;0.058333;0.005952;0.001190;0.016667;0.001190;0.003571;0.001190;0.001190;0.002381;0.001190;0.001190;0.067857;0.001190;0.001190;0.001190;0.001190;0.001190
er;0.000056;0.043800;0.024101;0.272563;0.118869;0.005362;0.008015;0.261049;0.031608;0.004120;0.002032;0.003838;0.032003;0.005588;0.071344;0.049670;0.011571;0.016538;0.000621;0.001298;0.002201;0.002822;0.002822;0.004854;0.021731;0.001242;0.000056;0.000056;0.000056;0.000056;0.000056
ee;0.000260;0.018466;0.086606;0.201560;0.016385;0.000260;0.019246;0.000260;0.000520;0.000260;0.000260;0.000520;0.262679;0.102471;0.000520;0.039272;0.020546;0.074902;0.052016;0.000260;0.001300;0.039792;0.055657;0.000780;0.000520;0.000260;0.000520;0.003121;0.000260;0.000260;0.000260
ea;0.000132;0.000132;0.080724;0.043070;0.097899;0.003964;0.191703;0.000132;0.000132;0.000132;0.001718;0.000132;0.122341;0.084423;0.000132;0.006738;0.021932;0.012419;0.036729;0.073061;0.000264;0.004228;0.194477;0.000793;0.012155;0.009777;0.000132;0.000132;0.000132;0.000132;0.000132
eo;0.000504;0.001007;0.001007;0.033233;0.007049;0.001511;0.070493;0.000504;0.000504;0.000504;0.000504;0.000504;0.114300;0.000504;0.000504;0.006042;0.004532;0.001511;0.000504;0.000504;0.000504;0.711480;0.024169;0.003525;0.000504;0.011581;0.000504;0.000504;0.000504;0.000504;0.000504
eb;0.002232;0.006696;0.093750;0.026786;0.049107;0.002232;0.116071;0.015625;0.250000;0.301339;0.015625;0.002232;0.002232;0.002232;0.020089;0.004464;0.002232;0.002232;0.002232;0.002232;0.002232;0.002232;0.002232;0.002232;0.002232;0.058036;0.002232;0.002232;0.002232;0.002232;0.002232
ej;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.220000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000
en;0.000082;0.015603;0.340904;0.298750;0.045911;0.008823;0.001062;0.040356;0.020913;0.010457;0.000082;0.001961;0.006617;0.065518;0.003268;0.048444;0.075811;0.000327;0.000163;0.000163;0.000245;0.000408;0.001307;0.001470;0.003268;0.007516;0.000082;0.000245;0.000082;0.000082;0.000082
ed;0.000137;0.064255;0.000137;0.727908;0.007672;0.008357;0.000548;0.017126;0.002740;0.009316;0.000685;0.000137;0.000411;0.011782;0.007261;0.113303;0.000411;0.000959;0.000137;0.000137;0.000548;0.000274;0.010275;0.000137;0.000137;0.014523;0.000137;0.000137;0.000137;0.000137;0.000137
ey;0.000334;0.000334;0.000334;0.660321;0.011356;0.000334;0.135939;0.008684;0.000334;0.016032;0.000668;0.000334;0.000334;0.005344;0.000334;0.107548;0.000334;0.001336;0.000334;0.000334;0.000334;0.000334;0.012692;0.000668;0.033066;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334
e);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ec;0.000239;0.110421;0.266491;0.001912;0.000478;0.000239;0.024857;0.067639;0.278681;0.143403;0.000239;0.000239;0.000239;0.001195;0.001673;0.000239;0.000239;0.000239;0.017686;0.042065;0.000239;0.000239;0.007887;0.000239;0.000239;0.031549;0.000239;0.000239;0.000239;0.000239;0.000239
em;0.000307;0.049065;0.000613;0.231831;0.070837;0.000307;0.000307;0.211898;0.061024;0.135235;0.124195;0.000307;0.000920;0.000307;0.009506;0.038638;0.000307;0.003373;0.000307;0.000307;0.000613;0.051825;0.004906;0.000307;0.000307;0.000920;0.000307;0.000307;0.000307;0.000307;0.000307
ek;0.004065;0.036585;0.004065;0.426829;0.166667;0.004065;0.004065;0.130081;0.008130;0.004065;0.004065;0.004065;0.020325;0.008130;0.004065;0.077236;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.020325;0.004065;0.004065;0.020325;0.004065;0.004065;0.004065;0.004065;0.004065
eh;0.005435;0.206522;0.005435;0.010870;0.005435;0.005435;0.010870;0.070652;0.342391;0.179348;0.005435;0.005435;0.048913;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435
ew;0.000794;0.027778;0.001587;0.453175;0.278571;0.000794;0.002381;0.075397;0.018254;0.008730;0.001587;0.000794;0.000794;0.000794;0.000794;0.079365;0.000794;0.002381;0.000794;0.030952;0.000794;0.004762;0.001587;0.000794;0.000794;0.000794;0.000794;0.000794;0.000794;0.000794;0.000794
ep;0.000736;0.031664;0.153166;0.103829;0.017673;0.000736;0.071429;0.096465;0.111193;0.124448;0.000736;0.000736;0.000736;0.000736;0.000736;0.022828;0.000736;0.000736;0.000736;0.026510;0.000736;0.002209;0.033137;0.000736;0.000736;0.192194;0.000736;0.000736;0.000736;0.000736;0.000736
el;0.000194;0.133204;0.011036;0.103582;0.045692;0.000387;0.001742;0.099903;0.051113;0.017619;0.000194;0.000194;0.000194;0.008712;0.153727;0.018006;0.005034;0.002517;0.000194;0.000194;0.000194;0.025750;0.255760;0.046660;0.016651;0.000581;0.000194;0.000194;0.000194;0.000194;0.000194
ef;0.000818;0.168576;0.139116;0.041735;0.018003;0.000818;0.006547;0.149755;0.026187;0.200491;0.000818;0.000818;0.000818;0.000818;0.002455;0.006547;0.000818;0.000818;0.000818;0.000818;0.000818;0.000818;0.018003;0.134206;0.000818;0.073650;0.000818;0.000818;0.000818;0.000818;0.000818
ev;0.000332;0.080929;0.000332;0.000663;0.000332;0.000332;0.000332;0.868657;0.030182;0.010945;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332;0.000332
eu;0.005495;0.005495;0.175824;0.021978;0.005495;0.010989;0.291209;0.005495;0.005495;0.005495;0.005495;0.005495;0.060440;0.247253;0.005495;0.010989;0.005495;0.005495;0.005495;0.005495;0.005495;0.038462;0.005495;0.005495;0.005495;0.005495;0.021978;0.005495;0.005495;0.005495;0.005495
ex;0.000627;0.087774;0.177429;0.054545;0.001254;0.000627;0.000627;0.032602;0.225705;0.026332;0.000627;0.000627;0.000627;0.000627;0.001881;0.016301;0.080878;0.000627;0.000627;0.002508;0.000627;0.253918;0.000627;0.000627;0.000627;0.027586;0.000627;0.000627;0.000627;0.000627;0.000627
ez;0.013333;0.053333;0.013333;0.133333;0.013333;0.013333;0.013333;0.146667;0.013333;0.173333;0.013333;0.013333;0.013333;0.013333;0.013333;0.093333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.066667;0.013333;0.013333;0.013333;0.013333;0.013333
eq;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.855072;0.004831;0.004831;0.004831;0.004831;0.004831
e.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
e#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
a(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ai;0.000374;0.001121;0.039970;0.002988;0.031005;0.094882;0.074337;0.000374;0.001494;0.000374;0.000374;0.000374;0.313784;0.269705;0.000374;0.000374;0.000374;0.061636;0.000374;0.000374;0.000374;0.000374;0.098618;0.000374;0.003362;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374
at;0.000053;0.130904;0.025365;0.499894;0.077950;0.000318;0.004395;0.130693;0.005295;0.011491;0.000053;0.000053;0.000371;0.000159;0.000053;0.079750;0.007361;0.000900;0.000053;0.015886;0.000053;0.000053;0.000371;0.001748;0.000053;0.006302;0.000106;0.000159;0.000053;0.000053;0.000053
a ;0.000143;0.033381;0.068902;0.002996;0.097432;0.045221;0.046790;0.002996;0.038944;0.022539;0.061769;0.009272;0.027817;0.041655;0.012839;0.001569;0.073039;0.053352;0.005136;0.041084;0.053352;0.071897;0.105563;0.045078;0.024964;0.003424;0.000143;0.000428;0.007561;0.000143;0.000571
as;0.000136;0.054404;0.080720;0.518135;0.068176;0.000136;0.000136;0.061767;0.002727;0.026725;0.000136;0.000136;0.021271;0.000136;0.004500;0.083311;0.005181;0.001091;0.031361;0.026998;0.000409;0.003136;0.000545;0.000136;0.000136;0.007772;0.000136;0.000136;0.000136;0.000136;0.000136
ag;0.000661;0.073364;0.000661;0.007931;0.008592;0.021811;0.148050;0.351619;0.244547;0.076669;0.000661;0.000661;0.010575;0.000661;0.000661;0.002644;0.000661;0.007270;0.000661;0.008592;0.000661;0.000661;0.000661;0.000661;0.000661;0.026438;0.000661;0.000661;0.000661;0.000661;0.000661
ar;0.000112;0.058599;0.140885;0.094859;0.058374;0.038954;0.029973;0.275932;0.034688;0.027952;0.006062;0.000225;0.015828;0.066233;0.045465;0.017737;0.014818;0.011226;0.019645;0.000225;0.000225;0.000898;0.034463;0.001010;0.002133;0.000112;0.002582;0.000337;0.000225;0.000112;0.000112
ae;0.004274;0.055556;0.004274;0.008547;0.004274;0.008547;0.008547;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274;0.012821;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274;0.799145;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274;0.004274
aa;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.048780;0.073171;0.073171;0.024390;0.048780;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
ao;0.016393;0.016393;0.016393;0.065574;0.180328;0.016393;0.278689;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
ab;0.000309;0.041988;0.000309;0.003087;0.047854;0.002161;0.005249;0.025008;0.004322;0.641556;0.004940;0.000309;0.001235;0.000309;0.004940;0.000617;0.005866;0.000309;0.000309;0.000617;0.000309;0.000309;0.196357;0.000309;0.000309;0.009571;0.000309;0.000309;0.000309;0.000309;0.000309
aj;0.007874;0.015748;0.007874;0.078740;0.015748;0.007874;0.007874;0.007874;0.023622;0.629921;0.007874;0.015748;0.007874;0.007874;0.007874;0.031496;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874
an;0.000051;0.022624;0.088306;0.165962;0.036943;0.020076;0.000153;0.006268;0.024357;0.010089;0.000306;0.000051;0.015389;0.474650;0.056408;0.033682;0.024662;0.000102;0.011822;0.000102;0.000153;0.000051;0.000051;0.000255;0.000051;0.002191;0.000510;0.000051;0.000051;0.004586;0.000051
ad;0.000361;0.081257;0.000361;0.327194;0.019140;0.001083;0.001806;0.193572;0.023113;0.020585;0.001445;0.005417;0.003250;0.032864;0.055977;0.049476;0.001806;0.071506;0.000361;0.005417;0.001083;0.000361;0.013723;0.000722;0.070423;0.014085;0.000361;0.000361;0.002167;0.000361;0.000361
ay;0.000239;0.106708;0.003820;0.540224;0.125806;0.000477;0.000477;0.017904;0.001432;0.002387;0.073526;0.000239;0.001194;0.000955;0.000239;0.097159;0.000239;0.022201;0.000239;0.000239;0.000239;0.001194;0.000477;0.000716;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239
a);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ac;0.000254;0.036802;0.395939;0.004315;0.000254;0.000254;0.009898;0.123858;0.014467;0.001015;0.000254;0.000254;0.000254;0.000254;0.050000;0.001015;0.096193;0.000254;0.198985;0.057868;0.000254;0.000254;0.002030;0.000254;0.000254;0.002284;0.000254;0.000254;0.001269;0.000254;0.000254
am;0.000366;0.083394;0.000366;0.120337;0.013168;0.000366;0.000366;0.358449;0.097659;0.079371;0.050110;0.000366;0.004389;0.000366;0.001097;0.021946;0.000366;0.010241;0.000366;0.000732;0.000366;0.151792;0.000366;0.000366;0.000366;0.001097;0.000366;0.000366;0.000366;0.000366;0.000366
ak;0.000559;0.167691;0.000559;0.069871;0.012297;0.000559;0.001118;0.560089;0.001677;0.002236;0.000559;0.000559;0.000559;0.000559;0.000559;0.008944;0.000559;0.160425;0.000559;0.002236;0.000559;0.000559;0.000559;0.002236;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559
ah;0.001299;0.001299;0.001299;0.738961;0.007792;0.001299;0.001299;0.048052;0.051948;0.009091;0.001299;0.001299;0.003896;0.001299;0.001299;0.085714;0.001299;0.001299;0.001299;0.001299;0.001299;0.001299;0.006494;0.001299;0.001299;0.019481;0.001299;0.001299;0.001299;0.001299;0.001299
aw;0.001751;0.015762;0.001751;0.257443;0.054291;0.001751;0.005254;0.021016;0.288967;0.001751;0.001751;0.001751;0.017513;0.001751;0.206655;0.049037;0.001751;0.005254;0.019264;0.003503;0.001751;0.001751;0.003503;0.022767;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751
ap;0.000714;0.056429;0.015000;0.040714;0.022857;0.000714;0.010714;0.117857;0.047143;0.060000;0.000714;0.000714;0.002143;0.000714;0.005714;0.005714;0.000714;0.002857;0.001429;0.025714;0.000714;0.569286;0.000714;0.000714;0.000714;0.005714;0.000714;0.000714;0.000714;0.000714;0.000714
al;0.000092;0.065842;0.023733;0.190969;0.064087;0.000739;0.012928;0.024841;0.007388;0.011820;0.000277;0.000092;0.000092;0.045526;0.009234;0.042756;0.002678;0.011174;0.074891;0.000092;0.011728;0.000831;0.378428;0.006556;0.000277;0.011728;0.000092;0.000185;0.000185;0.000646;0.000092
af;0.002000;0.024000;0.480000;0.006000;0.002000;0.004000;0.058000;0.072000;0.002000;0.042000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.268000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000
av;0.000323;0.219709;0.000323;0.000323;0.000323;0.000323;0.000323;0.686268;0.051373;0.026494;0.000323;0.000323;0.000323;0.000323;0.001939;0.000323;0.000323;0.000323;0.000323;0.000323;0.000323;0.000323;0.000646;0.000323;0.001939;0.004200;0.000323;0.000323;0.000323;0.000323;0.000323
au;0.000497;0.000497;0.065574;0.020368;0.596125;0.116741;0.018381;0.000497;0.000497;0.000497;0.000497;0.000497;0.017387;0.085445;0.000497;0.003477;0.006955;0.004968;0.000497;0.000497;0.000497;0.000497;0.050671;0.000994;0.000497;0.000497;0.003974;0.000497;0.000497;0.000497;0.000497
ax;0.005319;0.069149;0.005319;0.441489;0.005319;0.005319;0.005319;0.170213;0.053191;0.010638;0.005319;0.005319;0.005319;0.005319;0.005319;0.079787;0.005319;0.005319;0.005319;0.005319;0.005319;0.047872;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319
