smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
hu;0.002222;0.008889;0.002222;0.002222;0.004444;0.002222;0.091111;0.002222;0.002222;0.160000;0.002222;0.006667;0.002222;0.508889;0.031111;0.006667;0.002222;0.051111;0.002222;0.002222;0.002222;0.006667;0.002222;0.073333;0.002222;0.002222;0.004444;0.002222;0.002222;0.002222;0.002222;0.002222;0.002222
hg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hd;0.020833;0.020833;0.083333;0.125000;0.020833;0.020833;0.125000;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
hx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h,;0.005988;0.005988;0.005988;0.772455;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.041916;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988
h.;0.012048;0.012048;0.012048;0.373494;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.253012;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
h?;0.022222;0.022222;0.022222;0.088889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.222222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
