smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
w,;0.007519;0.007519;0.007519;0.721805;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.045113;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
w.;0.016949;0.016949;0.016949;0.254237;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.033898;0.016949;0.016949;0.016949;0.203390;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
w?;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.266667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
w#;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
l(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lh;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
li;0.000168;0.000672;0.000168;0.002183;0.071692;0.034419;0.000168;0.000168;0.009906;0.104265;0.000168;0.000504;0.065144;0.023002;0.193083;0.013096;0.000168;0.070013;0.069846;0.000504;0.019812;0.003694;0.000336;0.064976;0.211551;0.029046;0.008899;0.001511;0.000168;0.000168;0.000168;0.000168;0.000168
l ;0.000176;0.025370;0.092495;0.001938;0.023080;0.006871;0.040169;0.028717;0.069063;0.015328;0.046335;0.033474;0.045807;0.034179;0.141297;0.044750;0.000176;0.069415;0.034003;0.002290;0.116455;0.051621;0.009866;0.016561;0.007223;0.000176;0.033650;0.000176;0.008457;0.000176;0.000176;0.000352;0.000176
le;0.000158;0.000474;0.000632;0.387168;0.004899;0.030341;0.014064;0.002370;0.000790;0.030025;0.001580;0.001264;0.035714;0.058312;0.073325;0.002212;0.054678;0.078856;0.030973;0.000316;0.093552;0.000316;0.000158;0.023230;0.000158;0.000158;0.050885;0.009008;0.000158;0.006321;0.006479;0.001264;0.000158
lv;0.003185;0.003185;0.022293;0.003185;0.875796;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.006369;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185;0.003185
lr;0.008475;0.008475;0.067797;0.008475;0.644068;0.008475;0.008475;0.016949;0.016949;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.016949;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475
ly;0.000229;0.000229;0.005497;0.823179;0.000229;0.000229;0.002061;0.000229;0.000229;0.001374;0.000687;0.000229;0.000229;0.000687;0.002290;0.000229;0.128035;0.008704;0.000229;0.000229;0.000229;0.000229;0.000229;0.000229;0.000229;0.002978;0.000229;0.000229;0.000229;0.010536;0.007558;0.001832;0.000229
lo;0.000424;0.000424;0.003818;0.008910;0.000424;0.023759;0.036063;0.004667;0.145948;0.105218;0.098854;0.000424;0.027577;0.000424;0.132372;0.013577;0.002546;0.065762;0.000424;0.000424;0.012728;0.052185;0.013577;0.243106;0.000849;0.000424;0.001273;0.000424;0.000424;0.001273;0.000849;0.000424;0.000424
ln;0.017241;0.017241;0.017241;0.034483;0.431034;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
lw;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.014815;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.755556;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
ll;0.000168;0.000168;0.049815;0.422753;0.073039;0.000168;0.000168;0.308145;0.027768;0.000673;0.000168;0.000337;0.000337;0.001178;0.001346;0.002524;0.054695;0.012959;0.001515;0.000168;0.010098;0.001515;0.003871;0.000505;0.000673;0.000168;0.001010;0.000168;0.000168;0.019185;0.003534;0.000841;0.000168
lc;0.010309;0.082474;0.020619;0.010309;0.010309;0.010309;0.010309;0.010309;0.536082;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.020619;0.010309;0.051546;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
lm;0.004566;0.004566;0.082192;0.292237;0.041096;0.004566;0.004566;0.004566;0.292237;0.004566;0.004566;0.004566;0.004566;0.013699;0.004566;0.004566;0.091324;0.018265;0.004566;0.004566;0.041096;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.009132;0.013699;0.004566;0.004566
lt;0.001160;0.182135;0.119490;0.240139;0.058005;0.001160;0.012761;0.061485;0.010441;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.025522;0.047564;0.001160;0.001160;0.030162;0.001160;0.178654;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.003480;0.006961;0.001160;0.001160
lb;0.016129;0.016129;0.016129;0.016129;0.290323;0.016129;0.016129;0.016129;0.080645;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.048387;0.016129;0.080645;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
l);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ls;0.000941;0.002822;0.022578;0.292568;0.095014;0.000941;0.000941;0.000941;0.480715;0.000941;0.000941;0.000941;0.000941;0.000941;0.014111;0.001881;0.047037;0.000941;0.000941;0.000941;0.000941;0.000941;0.000941;0.000941;0.001881;0.000941;0.001881;0.000941;0.000941;0.011289;0.007526;0.001881;0.000941
lf;0.001534;0.007669;0.035276;0.636503;0.030675;0.001534;0.032209;0.001534;0.027607;0.001534;0.004601;0.003067;0.019939;0.001534;0.001534;0.001534;0.093558;0.004601;0.003067;0.001534;0.010736;0.003067;0.009202;0.003067;0.001534;0.001534;0.007669;0.001534;0.001534;0.018405;0.023006;0.006135;0.001534
lq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
la;0.000381;0.000763;0.067506;0.005721;0.000381;0.003814;0.131579;0.091533;0.000381;0.097635;0.061022;0.000381;0.083905;0.041953;0.223494;0.018307;0.001144;0.099542;0.001144;0.000381;0.000381;0.009535;0.033562;0.011060;0.003051;0.000763;0.007628;0.001144;0.000381;0.000381;0.000381;0.000381;0.000381
lp;0.005155;0.030928;0.097938;0.268041;0.113402;0.005155;0.010309;0.005155;0.030928;0.005155;0.005155;0.010309;0.005155;0.005155;0.005155;0.005155;0.036082;0.159794;0.097938;0.005155;0.030928;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155
lu;0.001316;0.002632;0.005263;0.002632;0.235526;0.001316;0.034211;0.001316;0.001316;0.057895;0.001316;0.001316;0.019737;0.051316;0.289474;0.011842;0.001316;0.101316;0.001316;0.001316;0.023684;0.001316;0.001316;0.003947;0.001316;0.001316;0.126316;0.010526;0.001316;0.001316;0.001316;0.001316;0.001316
lg;0.021739;0.021739;0.043478;0.021739;0.108696;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.130435;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
lk;0.002119;0.002119;0.262712;0.417373;0.150424;0.002119;0.002119;0.002119;0.002119;0.008475;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.033898;0.065678;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.004237;0.004237;0.002119;0.002119
lz;0.019608;0.372549;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
ld;0.000418;0.002923;0.014614;0.717745;0.025052;0.005428;0.062630;0.000418;0.001253;0.042589;0.002088;0.003758;0.000418;0.000418;0.000835;0.002088;0.079332;0.017537;0.000418;0.000418;0.000418;0.000835;0.000835;0.000418;0.000418;0.000418;0.000418;0.000418;0.000418;0.006263;0.006681;0.001670;0.000418
lx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l,;0.005556;0.005556;0.005556;0.761111;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.066667;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556
l.;0.011494;0.011494;0.011494;0.390805;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.252874;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
l?;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.255814;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
l#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
c(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ch;0.000292;0.000292;0.139141;0.409822;0.062555;0.000292;0.023970;0.030400;0.113709;0.021631;0.002046;0.000585;0.000292;0.002338;0.000292;0.000292;0.042385;0.002631;0.001169;0.000292;0.130956;0.000292;0.006139;0.000585;0.000292;0.000292;0.000292;0.000292;0.000292;0.002338;0.002923;0.000585;0.000292
ci;0.000512;0.000512;0.000512;0.000512;0.242704;0.022529;0.020993;0.000512;0.079877;0.040963;0.000512;0.014849;0.000512;0.000512;0.087046;0.001024;0.000512;0.090630;0.026114;0.000512;0.239119;0.064516;0.000512;0.001024;0.000512;0.014337;0.045059;0.000512;0.000512;0.000512;0.000512;0.000512;0.000512
c ;0.001238;0.016089;0.103960;0.004950;0.045792;0.007426;0.045792;0.012376;0.048267;0.011139;0.045792;0.032178;0.044554;0.051980;0.090347;0.042079;0.001238;0.074257;0.037129;0.007426;0.160891;0.063119;0.006188;0.006188;0.002475;0.001238;0.024752;0.001238;0.004950;0.001238;0.001238;0.001238;0.001238
ce;0.000297;0.000594;0.011876;0.419537;0.010392;0.000297;0.087589;0.000297;0.001188;0.091152;0.000297;0.008610;0.000297;0.005641;0.001188;0.004751;0.061164;0.163895;0.006532;0.000297;0.001781;0.052850;0.000297;0.000297;0.000297;0.000297;0.047803;0.000297;0.000297;0.009204;0.008314;0.002078;0.000297
cv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cr;0.001079;0.001079;0.319310;0.001079;0.320388;0.001079;0.001079;0.012945;0.144552;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.114347;0.001079;0.059331;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079;0.001079
cy;0.006098;0.006098;0.006098;0.536585;0.006098;0.006098;0.006098;0.006098;0.006098;0.128049;0.006098;0.012195;0.012195;0.006098;0.006098;0.006098;0.073171;0.012195;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.054878;0.018293;0.006098;0.006098
co;0.000227;0.005456;0.000455;0.001364;0.001819;0.017049;0.050011;0.000455;0.009775;0.354399;0.001819;0.040009;0.000909;0.278472;0.001137;0.008638;0.000455;0.011139;0.000909;0.000227;0.002046;0.006592;0.184360;0.012276;0.000455;0.000227;0.007956;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227
cn;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cl;0.001314;0.001314;0.160315;0.001314;0.256242;0.001314;0.001314;0.014455;0.070959;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.256242;0.001314;0.206307;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314
cc;0.002558;0.010230;0.020460;0.002558;0.358056;0.002558;0.030691;0.002558;0.176471;0.002558;0.002558;0.012788;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.099744;0.002558;0.227621;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558
cm;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ct;0.000347;0.000347;0.313236;0.215870;0.063063;0.000347;0.017325;0.000347;0.027374;0.006237;0.000347;0.059945;0.000347;0.001386;0.000347;0.000347;0.025295;0.035690;0.002079;0.000347;0.009356;0.000347;0.209633;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.003119;0.003119;0.001386;0.000347
cb;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
c);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cs;0.005587;0.005587;0.011173;0.625698;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.072626;0.005587;0.078212;0.005587;0.005587;0.005587;0.005587;0.011173;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.027933;0.022346;0.011173;0.005587
cf;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ca;0.000181;0.000362;0.005433;0.008149;0.000181;0.000362;0.040927;0.000181;0.000181;0.242304;0.000181;0.262224;0.000362;0.027707;0.079681;0.003079;0.002173;0.040384;0.000543;0.000181;0.000181;0.026440;0.240674;0.001268;0.000362;0.000181;0.014306;0.000181;0.000181;0.000724;0.000362;0.000181;0.000181
cp;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cu;0.000937;0.000937;0.014058;0.001874;0.002812;0.000937;0.145267;0.000937;0.001874;0.000937;0.000937;0.491097;0.000937;0.041237;0.047798;0.005623;0.000937;0.196813;0.000937;0.000937;0.000937;0.021556;0.001874;0.000937;0.000937;0.009372;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937;0.000937
cg;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ck;0.001553;0.004658;0.038820;0.546584;0.097826;0.001553;0.001553;0.012422;0.003106;0.026398;0.006211;0.034161;0.001553;0.001553;0.004658;0.004658;0.062112;0.063665;0.001553;0.001553;0.003106;0.001553;0.001553;0.035714;0.001553;0.001553;0.001553;0.001553;0.001553;0.018634;0.010870;0.003106;0.001553
cz;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cd;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
cx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
c,;0.021277;0.021277;0.021277;0.276596;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
c.;0.022222;0.022222;0.022222;0.200000;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.088889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222
