smoothed;3
(;s;t;a;e; ;o;r;n;y;g;l;d;h;i;);c;p;u;f;k;w;m;b;v;z;j;x;,;q;.;#
tw;0.004000;0.004000;0.004000;0.040000;0.236000;0.004000;0.520000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.092000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000
tm;0.011111;0.011111;0.011111;0.144444;0.488889;0.011111;0.033333;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
tb;0.017544;0.017544;0.017544;0.210526;0.070175;0.017544;0.017544;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.122807;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
tv;0.014085;0.042254;0.014085;0.014085;0.014085;0.450704;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.098592;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
tz;0.024390;0.024390;0.024390;0.024390;0.073171;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
tj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
t,;0.006369;0.006369;0.006369;0.006369;0.006369;0.273885;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.535032;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369
tq;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
t.;0.006061;0.006061;0.006061;0.006061;0.006061;0.042424;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.715152;0.006061;0.006061;0.006061;0.006061;0.006061;0.012121;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.060606;0.006061
t#;0.014706;0.014706;0.014706;0.014706;0.014706;0.088235;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.470588;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
a(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
as;0.000382;0.072929;0.114548;0.001145;0.084765;0.447117;0.035892;0.000382;0.012600;0.019091;0.000382;0.001145;0.000382;0.031310;0.047728;0.076365;0.007255;0.002291;0.005727;0.000382;0.027491;0.000764;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.003055;0.000382;0.003055;0.001145
at;0.000184;0.067831;0.026838;0.007904;0.152390;0.479412;0.015809;0.001471;0.000368;0.000184;0.000919;0.001103;0.000368;0.020588;0.107537;0.063787;0.018934;0.000368;0.015441;0.001103;0.000184;0.000184;0.003676;0.000735;0.000184;0.000184;0.000184;0.000184;0.004963;0.000184;0.004228;0.002574
aa;0.027027;0.054054;0.027027;0.027027;0.027027;0.054054;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ae;0.019231;0.038462;0.019231;0.038462;0.019231;0.057692;0.019231;0.038462;0.019231;0.019231;0.019231;0.307692;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
a ;0.000356;0.085501;0.075169;0.032419;0.003563;0.004988;0.012113;0.039900;0.028500;0.012113;0.039188;0.087994;0.051657;0.046669;0.024581;0.002138;0.089776;0.073032;0.003919;0.061275;0.009263;0.052369;0.054150;0.075169;0.016031;0.001425;0.009263;0.000356;0.001069;0.005344;0.000356;0.000356
ao;0.022222;0.111111;0.044444;0.022222;0.022222;0.066667;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.044444;0.044444;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ar;0.000312;0.074813;0.105050;0.036783;0.240648;0.099127;0.028055;0.039900;0.013716;0.032731;0.040524;0.050499;0.084165;0.000623;0.047693;0.020885;0.010599;0.001870;0.000312;0.002182;0.030237;0.002182;0.017145;0.006858;0.003741;0.000312;0.000312;0.000312;0.004364;0.000312;0.002805;0.000935
an;0.000153;0.037253;0.078951;0.014104;0.009045;0.164801;0.009811;0.000153;0.013337;0.063621;0.031581;0.000153;0.437989;0.000613;0.036946;0.036333;0.033880;0.000307;0.003833;0.000153;0.016557;0.000767;0.003066;0.001073;0.000307;0.000307;0.000460;0.000613;0.001993;0.000153;0.001073;0.000613
ay;0.000861;0.130809;0.001721;0.005164;0.014630;0.514630;0.021515;0.000861;0.004303;0.000861;0.000861;0.005164;0.002582;0.000861;0.101549;0.099828;0.000861;0.000861;0.000861;0.002582;0.000861;0.001721;0.007745;0.031842;0.000861;0.000861;0.000861;0.000861;0.024096;0.000861;0.017212;0.000861
ag;0.001590;0.052464;0.001590;0.165342;0.364070;0.071542;0.063593;0.060413;0.012719;0.001590;0.057234;0.009539;0.001590;0.006359;0.052464;0.009539;0.001590;0.006359;0.036566;0.001590;0.001590;0.001590;0.001590;0.001590;0.001590;0.001590;0.001590;0.001590;0.001590;0.001590;0.003180;0.003180
al;0.000313;0.057035;0.032278;0.012222;0.023190;0.200564;0.011282;0.012535;0.000313;0.016296;0.000940;0.420871;0.014102;0.000627;0.048574;0.045754;0.003761;0.001567;0.010968;0.009401;0.041366;0.011595;0.013162;0.000940;0.003447;0.000627;0.000313;0.000313;0.002820;0.000313;0.001567;0.000940
ad;0.000903;0.036134;0.001807;0.009033;0.210479;0.318880;0.022584;0.002710;0.003613;0.043360;0.002710;0.036134;0.055104;0.002710;0.052394;0.063234;0.008130;0.000903;0.010840;0.000903;0.000903;0.000903;0.044264;0.000903;0.039747;0.000903;0.004517;0.000903;0.011743;0.002710;0.003613;0.006323
ah;0.006803;0.027211;0.006803;0.006803;0.054422;0.448980;0.034014;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.095238;0.006803;0.006803;0.013605;0.006803;0.006803;0.006803;0.027211;0.006803;0.006803;0.006803;0.013605;0.006803;0.081633;0.006803;0.047619;0.013605
ai;0.001164;0.041909;0.060536;0.002328;0.001164;0.001164;0.004657;0.105937;0.381839;0.001164;0.071013;0.086147;0.166473;0.001164;0.002328;0.002328;0.002328;0.001164;0.001164;0.001164;0.001164;0.002328;0.047730;0.001164;0.002328;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164
a);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ac;0.000708;0.000708;0.372521;0.005666;0.175637;0.003541;0.002833;0.014873;0.000708;0.025496;0.000708;0.007082;0.000708;0.083569;0.025496;0.001416;0.082861;0.000708;0.007082;0.000708;0.177762;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.002125;0.000708;0.000708
ap;0.001767;0.060071;0.017668;0.037102;0.088339;0.044170;0.024735;0.019435;0.001767;0.021201;0.001767;0.005300;0.001767;0.042403;0.022968;0.007067;0.003534;0.568905;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.005300;0.001767;0.003534;0.001767;0.001767;0.001767
au;0.000879;0.434095;0.039543;0.000879;0.003515;0.002636;0.000879;0.018453;0.008787;0.000879;0.197715;0.019332;0.242531;0.000879;0.000879;0.000879;0.008787;0.001757;0.000879;0.000879;0.000879;0.000879;0.005272;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879
af;0.004329;0.008658;0.454545;0.004329;0.064935;0.004329;0.004329;0.064935;0.008658;0.004329;0.004329;0.004329;0.004329;0.004329;0.021645;0.008658;0.004329;0.004329;0.004329;0.259740;0.004329;0.004329;0.004329;0.004329;0.004329;0.008658;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329
ak;0.001880;0.015038;0.003759;0.001880;0.684211;0.050752;0.005639;0.003759;0.003759;0.001880;0.001880;0.003759;0.001880;0.001880;0.165414;0.013158;0.001880;0.001880;0.005639;0.005639;0.001880;0.001880;0.001880;0.001880;0.001880;0.001880;0.001880;0.001880;0.001880;0.001880;0.003759;0.001880
aw;0.003968;0.095238;0.003968;0.285714;0.039683;0.218254;0.003968;0.003968;0.031746;0.087302;0.003968;0.011905;0.003968;0.003968;0.003968;0.051587;0.003968;0.003968;0.003968;0.035714;0.027778;0.003968;0.015873;0.007937;0.003968;0.003968;0.003968;0.003968;0.007937;0.003968;0.007937;0.007937
am;0.000995;0.014925;0.000995;0.086567;0.410945;0.092537;0.067662;0.000995;0.006965;0.004975;0.000995;0.003980;0.000995;0.000995;0.100498;0.021891;0.000995;0.106468;0.000995;0.000995;0.000995;0.000995;0.026866;0.027861;0.000995;0.000995;0.000995;0.000995;0.005970;0.000995;0.004975;0.000995
ab;0.000903;0.078591;0.000903;0.005420;0.009033;0.025294;0.474255;0.005420;0.000903;0.035230;0.000903;0.249322;0.001807;0.000903;0.060524;0.003613;0.001807;0.000903;0.009937;0.000903;0.000903;0.000903;0.000903;0.022584;0.000903;0.000903;0.000903;0.000903;0.000903;0.000903;0.001807;0.000903
av;0.001127;0.001127;0.001127;0.058625;0.740699;0.001127;0.048478;0.001127;0.001127;0.005637;0.001127;0.001127;0.001127;0.001127;0.116122;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127
az;0.007812;0.007812;0.007812;0.031250;0.054688;0.031250;0.054688;0.007812;0.007812;0.125000;0.007812;0.007812;0.007812;0.007812;0.476562;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.031250;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812
aj;0.015625;0.015625;0.015625;0.031250;0.031250;0.015625;0.437500;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
ax;0.005181;0.010363;0.072539;0.005181;0.145078;0.409326;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.025907;0.103627;0.005181;0.025907;0.005181;0.010363;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.031088;0.005181;0.036269;0.020725
a,;0.020833;0.020833;0.020833;0.020833;0.020833;0.125000;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.250000;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
aq;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a.;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.244444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222
a#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
e(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
es;0.000271;0.131343;0.144098;0.000814;0.055088;0.425237;0.004613;0.000271;0.021167;0.000271;0.000271;0.003256;0.002171;0.005156;0.041248;0.085482;0.012754;0.024423;0.013840;0.000271;0.001628;0.000271;0.000814;0.000543;0.001357;0.000271;0.000271;0.000271;0.010855;0.000271;0.009498;0.001900
et;0.000685;0.103425;0.155479;0.037671;0.087671;0.274658;0.008219;0.006164;0.001370;0.015068;0.000685;0.004110;0.000685;0.126712;0.063014;0.051370;0.006164;0.000685;0.006849;0.002055;0.000685;0.028767;0.000685;0.002055;0.000685;0.001370;0.000685;0.000685;0.006164;0.000685;0.004110;0.000685
ea;0.000390;0.123245;0.124805;0.000390;0.000390;0.021841;0.000390;0.239080;0.071763;0.000390;0.010530;0.148206;0.103744;0.033541;0.000390;0.006240;0.030811;0.004680;0.007800;0.001560;0.026911;0.000780;0.019501;0.001950;0.015601;0.000780;0.000390;0.000390;0.001170;0.000390;0.001560;0.000390
ee;0.000773;0.027821;0.068779;0.000773;0.000773;0.156878;0.001546;0.039413;0.254250;0.002318;0.000773;0.051777;0.112828;0.000773;0.008501;0.036321;0.020093;0.063369;0.000773;0.000773;0.047913;0.001546;0.074961;0.000773;0.001546;0.009274;0.000773;0.001546;0.003091;0.002318;0.003091;0.003864
e ;0.000070;0.066338;0.132675;0.097559;0.023712;0.002295;0.061400;0.025450;0.027536;0.022669;0.023434;0.029136;0.035603;0.044503;0.079619;0.000695;0.050275;0.044225;0.012099;0.040887;0.006189;0.072596;0.038523;0.042069;0.006745;0.000209;0.010500;0.000209;0.000417;0.002156;0.000139;0.000070
eo;0.001923;0.026923;0.003846;0.001923;0.001923;0.048077;0.001923;0.044231;0.175000;0.001923;0.003846;0.003846;0.003846;0.001923;0.001923;0.015385;0.005769;0.598077;0.013462;0.003846;0.001923;0.013462;0.001923;0.001923;0.003846;0.001923;0.001923;0.001923;0.005769;0.001923;0.001923;0.001923
er;0.000172;0.106861;0.024700;0.047684;0.221612;0.261235;0.012178;0.017324;0.030017;0.067410;0.008233;0.008062;0.001544;0.002230;0.054889;0.056947;0.014408;0.002230;0.000343;0.007719;0.001715;0.002573;0.017667;0.002744;0.016810;0.000172;0.000343;0.000172;0.005317;0.000172;0.006003;0.000515
en;0.000239;0.044933;0.309990;0.015296;0.049474;0.260038;0.010994;0.002151;0.004302;0.001434;0.012189;0.004541;0.071702;0.000478;0.024140;0.050669;0.117591;0.000478;0.004302;0.002390;0.000239;0.000239;0.000478;0.000478;0.000956;0.001673;0.003346;0.000239;0.002151;0.000239;0.001912;0.000717
ey;0.001064;0.014894;0.001064;0.002128;0.024468;0.665957;0.013830;0.105319;0.001064;0.001064;0.001064;0.008511;0.006383;0.004255;0.001064;0.095745;0.001064;0.001064;0.001064;0.002128;0.001064;0.002128;0.001064;0.002128;0.025532;0.001064;0.001064;0.001064;0.004255;0.001064;0.004255;0.002128
eg;0.003610;0.014440;0.003610;0.281588;0.057762;0.014440;0.057762;0.101083;0.104693;0.036101;0.018051;0.003610;0.003610;0.003610;0.184116;0.003610;0.003610;0.003610;0.054152;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610
el;0.000622;0.041641;0.014295;0.037290;0.092604;0.073959;0.024860;0.001865;0.000622;0.182101;0.003729;0.255438;0.015538;0.000622;0.091983;0.021131;0.004351;0.033561;0.003729;0.064015;0.000622;0.001243;0.003729;0.002486;0.021131;0.000622;0.000622;0.000622;0.002486;0.000622;0.000622;0.001243
ed;0.000355;0.012798;0.000355;0.003199;0.029506;0.670103;0.002488;0.001422;0.001422;0.003555;0.010309;0.014931;0.005688;0.000355;0.064700;0.143619;0.000711;0.000355;0.007465;0.000711;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.009954;0.000355;0.011376;0.001422
eh;0.007042;0.007042;0.007042;0.415493;0.035211;0.007042;0.119718;0.028169;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.197183;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.014085;0.007042;0.014085;0.007042;0.007042;0.007042
ei;0.001706;0.005119;0.035836;0.001706;0.001706;0.001706;0.001706;0.505119;0.228669;0.001706;0.104096;0.027304;0.003413;0.001706;0.001706;0.001706;0.003413;0.003413;0.001706;0.001706;0.001706;0.001706;0.008532;0.001706;0.032423;0.003413;0.006826;0.001706;0.001706;0.001706;0.001706;0.001706
e);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ec;0.000683;0.002732;0.224044;0.316257;0.080601;0.001366;0.110656;0.012295;0.000683;0.000683;0.000683;0.007514;0.004781;0.058060;0.082650;0.000683;0.001366;0.000683;0.066940;0.000683;0.018443;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683
ep;0.002160;0.034557;0.142549;0.077754;0.088553;0.116631;0.172786;0.060475;0.002160;0.015119;0.002160;0.049676;0.002160;0.017279;0.075594;0.030238;0.002160;0.019438;0.060475;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160
eu;0.011494;0.011494;0.218391;0.011494;0.011494;0.068966;0.011494;0.195402;0.011494;0.011494;0.045977;0.011494;0.034483;0.011494;0.011494;0.011494;0.011494;0.068966;0.011494;0.011494;0.022989;0.011494;0.057471;0.011494;0.022989;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
ef;0.002375;0.011876;0.080760;0.002375;0.171021;0.040380;0.237530;0.023753;0.004751;0.002375;0.002375;0.016627;0.002375;0.002375;0.137767;0.011876;0.002375;0.002375;0.102138;0.102138;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.011876;0.002375;0.004751;0.002375
ek;0.010417;0.145833;0.020833;0.010417;0.020833;0.333333;0.010417;0.010417;0.020833;0.010417;0.010417;0.031250;0.010417;0.010417;0.072917;0.072917;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.031250;0.010417;0.010417;0.020833
ew;0.002899;0.286957;0.002899;0.034783;0.052174;0.405797;0.005797;0.002899;0.002899;0.002899;0.002899;0.002899;0.005797;0.034783;0.011594;0.092754;0.002899;0.002899;0.002899;0.005797;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899;0.002899
em;0.000974;0.073028;0.000974;0.062317;0.206426;0.268744;0.074002;0.000974;0.002921;0.004869;0.000974;0.000974;0.000974;0.000974;0.038948;0.053554;0.000974;0.066212;0.000974;0.000974;0.000974;0.000974;0.001947;0.122687;0.000974;0.000974;0.000974;0.000974;0.002921;0.000974;0.002921;0.001947
eb;0.004444;0.062222;0.013333;0.111111;0.035556;0.013333;0.488889;0.097778;0.004444;0.008889;0.004444;0.004444;0.004444;0.004444;0.013333;0.004444;0.013333;0.004444;0.048889;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444
ev;0.001015;0.002030;0.001015;0.021320;0.846701;0.001015;0.019289;0.001015;0.001015;0.002030;0.001015;0.001015;0.001015;0.001015;0.082234;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015;0.001015
ez;0.020833;0.020833;0.020833;0.020833;0.187500;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ej;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
