smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
oh;0.001473;0.001473;0.023564;0.578792;0.001473;0.026510;0.001473;0.001473;0.010309;0.001473;0.008837;0.225331;0.001473;0.001473;0.002946;0.086892;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473
oa;0.002174;0.026087;0.002174;0.023913;0.002174;0.002174;0.073913;0.006522;0.002174;0.006522;0.002174;0.030435;0.004348;0.402174;0.019565;0.008696;0.084783;0.084783;0.004348;0.008696;0.002174;0.145652;0.023913;0.002174;0.006522;0.002174;0.002174;0.004348;0.004348;0.002174;0.002174;0.002174;0.002174
ob;0.000502;0.083793;0.070246;0.110888;0.000502;0.016056;0.000502;0.000502;0.255896;0.027095;0.024586;0.000502;0.000502;0.000502;0.005018;0.022579;0.000502;0.208229;0.000502;0.000502;0.001505;0.000502;0.000502;0.004516;0.134471;0.025590;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502
oe;0.000920;0.839926;0.000920;0.036799;0.000920;0.000920;0.006440;0.002760;0.000920;0.002760;0.000920;0.005520;0.000920;0.011960;0.000920;0.011040;0.000920;0.003680;0.004600;0.000920;0.010120;0.014719;0.000920;0.002760;0.029439;0.000920;0.000920;0.000920;0.000920;0.000920;0.000920;0.000920;0.000920
on;0.000042;0.107001;0.012471;0.326160;0.000296;0.009470;0.123658;0.000634;0.036949;0.000338;0.155449;0.047645;0.036315;0.020335;0.001184;0.052296;0.016953;0.022322;0.003424;0.000296;0.007779;0.000127;0.000930;0.002494;0.014163;0.000169;0.000296;0.000380;0.000127;0.000169;0.000042;0.000042;0.000042
og;0.000846;0.006768;0.001692;0.048223;0.000846;0.201354;0.000846;0.000846;0.034687;0.000846;0.175127;0.042301;0.011844;0.000846;0.021997;0.012690;0.000846;0.032149;0.016920;0.000846;0.000846;0.211506;0.000846;0.166667;0.000846;0.000846;0.000846;0.000846;0.000846;0.000846;0.000846;0.000846;0.000846
od;0.000327;0.025842;0.017991;0.364737;0.000654;0.017991;0.000327;0.000327;0.093883;0.001308;0.069676;0.006215;0.002290;0.021263;0.053647;0.052666;0.018646;0.001636;0.000327;0.000327;0.001636;0.001963;0.000981;0.242395;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327
ou;0.000030;0.039325;0.000030;0.358871;0.000030;0.000150;0.172107;0.000060;0.000030;0.003297;0.000030;0.051554;0.050025;0.003567;0.000030;0.051914;0.001109;0.090849;0.000030;0.015436;0.000030;0.153164;0.000030;0.000030;0.008033;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030
o);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oc;0.000551;0.001101;0.014317;0.002753;0.000551;0.301211;0.035242;0.022577;0.111784;0.000551;0.069383;0.000551;0.000551;0.000551;0.091410;0.001101;0.038546;0.005507;0.000551;0.000551;0.000551;0.118392;0.176211;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551
ol;0.000199;0.020900;0.099721;0.102309;0.000199;0.201234;0.004578;0.000597;0.031847;0.000597;0.121616;0.006568;0.000199;0.129777;0.066282;0.017118;0.000398;0.134554;0.000597;0.000597;0.003185;0.000199;0.008360;0.007166;0.039411;0.000199;0.000398;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199
om;0.000104;0.005842;0.011268;0.184038;0.000104;0.056755;0.000104;0.000104;0.023787;0.006781;0.549400;0.001669;0.000104;0.000104;0.000313;0.030777;0.000209;0.000730;0.050496;0.065936;0.004903;0.000104;0.000104;0.005216;0.000104;0.000209;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104
op;0.000177;0.006549;0.009558;0.036637;0.000531;0.037699;0.016814;0.038584;0.003540;0.000177;0.097168;0.000177;0.000177;0.000177;0.013097;0.007257;0.000354;0.660000;0.003009;0.051858;0.000177;0.008850;0.000531;0.005310;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177
of;0.000072;0.000072;0.001430;0.780392;0.000072;0.001645;0.013372;0.000072;0.000930;0.000072;0.016447;0.000072;0.000072;0.000072;0.000143;0.139302;0.000072;0.000072;0.000072;0.000072;0.044479;0.000072;0.000072;0.000215;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072
or;0.000057;0.030322;0.003388;0.334635;0.004020;0.035950;0.132085;0.000976;0.016654;0.000861;0.124620;0.016827;0.013840;0.038247;0.000632;0.057199;0.012807;0.030667;0.032275;0.004135;0.000115;0.023718;0.054614;0.030839;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
ok;0.000408;0.057166;0.001633;0.412413;0.000408;0.080849;0.000408;0.000408;0.248265;0.000408;0.124541;0.000408;0.000408;0.000408;0.000408;0.053083;0.000408;0.009800;0.000408;0.000408;0.000408;0.000408;0.000408;0.002450;0.000408;0.000408;0.000408;0.000408;0.000408;0.000408;0.000408;0.000408;0.000408
oy;0.003195;0.169329;0.009585;0.274760;0.003195;0.057508;0.003195;0.003195;0.031949;0.009585;0.214058;0.003195;0.003195;0.012780;0.003195;0.051118;0.022364;0.003195;0.067093;0.003195;0.012780;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195
ov;0.000421;0.000421;0.005057;0.009692;0.000421;0.104509;0.000421;0.000421;0.017278;0.000421;0.850400;0.000421;0.000421;0.000421;0.000421;0.001686;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421
oj;0.015625;0.015625;0.015625;0.109375;0.015625;0.062500;0.015625;0.015625;0.078125;0.015625;0.296875;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
oz;0.013889;0.013889;0.041667;0.055556;0.013889;0.027778;0.013889;0.013889;0.013889;0.013889;0.458333;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.027778;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
ox;0.004695;0.004695;0.004695;0.384977;0.004695;0.164319;0.004695;0.004695;0.004695;0.014085;0.037559;0.004695;0.004695;0.004695;0.004695;0.075117;0.004695;0.004695;0.004695;0.004695;0.075117;0.004695;0.004695;0.126761;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695
oq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
o.;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
o,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 (;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 s;0.000035;0.000142;0.350193;0.005030;0.002019;0.037828;0.133142;0.079729;0.129175;0.000071;0.107817;0.001842;0.000035;0.000106;0.050544;0.000850;0.028548;0.009917;0.007155;0.040945;0.000106;0.000035;0.005100;0.008572;0.000035;0.000071;0.000035;0.000035;0.000744;0.000035;0.000035;0.000035;0.000035
 o;0.000037;0.000298;0.000223;0.000074;0.012580;0.001228;0.032902;0.015185;0.000372;0.013473;0.000037;0.210548;0.000037;0.001675;0.085194;0.000037;0.002456;0.010124;0.000521;0.019131;0.465945;0.088395;0.019763;0.000037;0.018237;0.000149;0.000149;0.000968;0.000037;0.000074;0.000037;0.000037;0.000037
  ;0.000779;0.053780;0.082619;0.039751;0.046765;0.085737;0.084957;0.028059;0.104443;0.021824;0.014809;0.016368;0.003118;0.018706;0.000779;0.006235;0.023383;0.006235;0.070148;0.053780;0.010133;0.012471;0.003897;0.198753;0.002338;0.003897;0.001559;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779
 w;0.000029;0.000029;0.090966;0.000486;0.000029;0.103451;0.000057;0.288726;0.242386;0.000029;0.258614;0.000057;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.014513;0.000029;0.000086;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029
 i;0.000021;0.135761;0.000206;0.270408;0.000021;0.000351;0.205167;0.000021;0.000103;0.000021;0.000021;0.204487;0.000577;0.019445;0.000021;0.046972;0.000763;0.004763;0.052910;0.000515;0.040497;0.002928;0.000062;0.000021;0.013135;0.000021;0.000041;0.000021;0.000639;0.000021;0.000021;0.000021;0.000021
 t;0.000013;0.000372;0.177846;0.000038;0.010096;0.015355;0.000013;0.720531;0.026490;0.000013;0.019037;0.000026;0.000013;0.000013;0.003220;0.000013;0.000013;0.000013;0.000090;0.000013;0.000013;0.024822;0.000013;0.001180;0.000654;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
 h;0.000061;0.000122;0.141153;0.000122;0.000122;0.107685;0.000061;0.000061;0.448789;0.000673;0.263399;0.000061;0.000061;0.000061;0.031877;0.000061;0.000061;0.000061;0.001591;0.000184;0.000061;0.000245;0.000061;0.002814;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
 a;0.000019;0.047055;0.000038;0.183168;0.005322;0.002133;0.046748;0.000961;0.000058;0.066116;0.000077;0.360150;0.018061;0.008243;0.006437;0.040945;0.028033;0.081871;0.016121;0.005534;0.008800;0.071746;0.000134;0.000192;0.001537;0.000058;0.000038;0.000134;0.000019;0.000192;0.000019;0.000019;0.000019
 b;0.000051;0.000617;0.056880;0.000514;0.000051;0.060939;0.000051;0.000103;0.085346;0.000103;0.439112;0.000103;0.000051;0.000051;0.230244;0.000051;0.000103;0.034272;0.000051;0.000051;0.000051;0.049378;0.000051;0.041311;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051
 e;0.000136;0.038639;0.000136;0.000407;0.000136;0.027657;0.012202;0.000271;0.076871;0.000949;0.000678;0.136795;0.005016;0.027386;0.005965;0.000136;0.021556;0.063720;0.032538;0.004474;0.013015;0.012337;0.000136;0.008270;0.324837;0.000136;0.000407;0.165130;0.019523;0.000136;0.000136;0.000136;0.000136
 n;0.000114;0.000341;0.653715;0.000341;0.000454;0.029880;0.000114;0.000114;0.062940;0.001022;0.214610;0.000114;0.000114;0.001022;0.024881;0.000114;0.000227;0.000114;0.000114;0.005226;0.000568;0.002159;0.000114;0.000568;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114
 g;0.000094;0.000094;0.468201;0.000094;0.000187;0.051721;0.000094;0.000842;0.038066;0.000094;0.195754;0.000374;0.000281;0.000655;0.116255;0.000094;0.000094;0.010382;0.000281;0.000187;0.000094;0.114572;0.000094;0.000561;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094
 d;0.000074;0.000223;0.508315;0.000817;0.000297;0.226206;0.000074;0.000668;0.077951;0.000074;0.136303;0.000074;0.000074;0.000074;0.012621;0.000148;0.002153;0.000148;0.000148;0.000297;0.000074;0.029473;0.000074;0.002895;0.000074;0.000074;0.000074;0.000074;0.000074;0.000148;0.000074;0.000074;0.000074
 u;0.000235;0.274247;0.000235;0.000235;0.000235;0.000706;0.008710;0.024718;0.000706;0.002119;0.000235;0.289077;0.002119;0.000235;0.000235;0.000235;0.002354;0.012241;0.026836;0.342750;0.001648;0.002354;0.002825;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.002589;0.000235;0.000235;0.000235
 );0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 c;0.000072;0.000289;0.406119;0.000866;0.000072;0.017607;0.000072;0.090417;0.293910;0.000433;0.036008;0.003825;0.000216;0.000144;0.033122;0.000289;0.000072;0.059388;0.000072;0.000361;0.000072;0.054265;0.000072;0.001443;0.000072;0.000144;0.000144;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072
 l;0.000077;0.000077;0.212577;0.000154;0.000077;0.503858;0.000077;0.000077;0.089429;0.000231;0.181250;0.000077;0.000309;0.000077;0.008488;0.000077;0.000154;0.000077;0.000077;0.000231;0.000077;0.000077;0.000077;0.001620;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077
 m;0.000061;0.000737;0.186291;0.000061;0.000061;0.083779;0.000184;0.000369;0.211719;0.000246;0.303360;0.000061;0.000061;0.000676;0.050488;0.000123;0.003010;0.000369;0.008353;0.000184;0.000061;0.001843;0.000061;0.147227;0.000123;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
 p;0.000076;0.005147;0.149572;0.000606;0.000076;0.028007;0.000151;0.024979;0.122020;0.000606;0.314208;0.000076;0.000076;0.000378;0.071456;0.000303;0.001211;0.054576;0.000076;0.000076;0.000076;0.224737;0.000076;0.000303;0.000076;0.000076;0.000076;0.000076;0.000076;0.000530;0.000076;0.000076;0.000076
 f;0.000085;0.000170;0.360187;0.000934;0.000170;0.162139;0.000085;0.000085;0.131070;0.000934;0.084550;0.000085;0.000170;0.000424;0.043463;0.000255;0.000085;0.017233;0.000170;0.000085;0.000085;0.196604;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085
 r;0.000103;0.000103;0.050000;0.000309;0.000206;0.295679;0.000103;0.002366;0.090432;0.000103;0.509671;0.000103;0.000103;0.000617;0.048045;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000309;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103
 k;0.000142;0.000142;0.005410;0.001424;0.000142;0.209140;0.000142;0.000712;0.013525;0.000142;0.049544;0.712272;0.000142;0.000142;0.001281;0.000285;0.000285;0.001139;0.000142;0.000142;0.000142;0.001139;0.000854;0.000285;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142
 y;0.000050;0.000050;0.780750;0.000149;0.000050;0.000050;0.000050;0.000099;0.002081;0.000050;0.215485;0.000050;0.000050;0.000050;0.000099;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050
 v;0.000433;0.000433;0.103986;0.002166;0.000433;0.315425;0.000433;0.000433;0.109185;0.000433;0.450607;0.000433;0.000433;0.000433;0.004766;0.000433;0.000433;0.000867;0.000433;0.002166;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433
 j;0.000231;0.000461;0.174204;0.000692;0.000231;0.007383;0.000231;0.000231;0.030226;0.000231;0.053530;0.000231;0.000231;0.000461;0.720351;0.000461;0.000231;0.000231;0.000231;0.000461;0.004384;0.002538;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231
 z;0.010870;0.010870;0.119565;0.043478;0.010870;0.163043;0.010870;0.010870;0.032609;0.010870;0.304348;0.010870;0.010870;0.010870;0.043478;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
 x;0.016393;0.016393;0.016393;0.229508;0.016393;0.032787;0.016393;0.016393;0.016393;0.049180;0.065574;0.016393;0.016393;0.016393;0.016393;0.065574;0.016393;0.016393;0.032787;0.032787;0.049180;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393
 q;0.001481;0.001481;0.001481;0.007407;0.001481;0.001481;0.001481;0.001481;0.035556;0.001481;0.001481;0.001481;0.001481;0.001481;0.909630;0.004444;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481;0.001481
 .;0.023810;0.023810;0.023810;0.190476;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
 ,;0.009804;0.009804;0.009804;0.539216;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.156863;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
 é;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 #;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
w(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ws;0.001433;0.001433;0.004298;0.789398;0.002865;0.001433;0.001433;0.008596;0.001433;0.001433;0.004298;0.001433;0.001433;0.001433;0.012894;0.111748;0.002865;0.001433;0.001433;0.020057;0.001433;0.007163;0.004298;0.001433;0.001433;0.001433;0.001433;0.001433;0.001433;0.001433;0.001433;0.001433;0.001433
wo;0.000221;0.000221;0.012809;0.087014;0.024956;0.000221;0.001325;0.000442;0.000883;0.000442;0.000221;0.037765;0.000221;0.000442;0.337014;0.022747;0.000221;0.001546;0.058746;0.001104;0.000663;0.403710;0.004417;0.000663;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221;0.000221
w ;0.000105;0.042553;0.031443;0.001887;0.105335;0.168431;0.175453;0.036998;0.099361;0.035007;0.013416;0.011844;0.007756;0.040352;0.020438;0.000524;0.018447;0.019809;0.036998;0.019914;0.017399;0.009747;0.003668;0.071586;0.001677;0.007337;0.000838;0.000105;0.000943;0.000105;0.000314;0.000105;0.000105
ww;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
wi;0.000205;0.027909;0.000205;0.000205;0.000205;0.000205;0.672276;0.000205;0.000205;0.000205;0.002257;0.106505;0.001026;0.007798;0.000205;0.000205;0.003489;0.146522;0.001026;0.002873;0.015596;0.004309;0.003489;0.000205;0.000410;0.000205;0.000821;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205
wt;0.011765;0.011765;0.058824;0.011765;0.011765;0.035294;0.011765;0.529412;0.023529;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.023529;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
wh;0.000083;0.000083;0.165612;0.000083;0.000083;0.122315;0.000083;0.000083;0.370691;0.000083;0.277685;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.061366;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083
wa;0.000092;0.531996;0.000092;0.000740;0.000092;0.014148;0.032365;0.000185;0.000092;0.000740;0.000092;0.151470;0.004069;0.001202;0.000092;0.000092;0.000277;0.018125;0.000277;0.000277;0.000185;0.051322;0.007398;0.182449;0.000740;0.000092;0.000370;0.000462;0.000092;0.000092;0.000092;0.000092;0.000092
wb;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
we;0.000086;0.011219;0.000086;0.310097;0.000086;0.013702;0.000428;0.000086;0.014302;0.005053;0.056950;0.033399;0.000086;0.019440;0.000086;0.047272;0.000086;0.161771;0.000086;0.000343;0.000086;0.286632;0.000086;0.000086;0.037767;0.000086;0.000086;0.000086;0.000086;0.000086;0.000086;0.000086;0.000086
wn;0.000873;0.037555;0.000873;0.761572;0.003493;0.016594;0.006114;0.000873;0.000873;0.000873;0.034934;0.000873;0.000873;0.000873;0.000873;0.110917;0.000873;0.002620;0.000873;0.002620;0.000873;0.002620;0.000873;0.001747;0.000873;0.000873;0.000873;0.000873;0.000873;0.000873;0.000873;0.000873;0.000873
wg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wd;0.012500;0.025000;0.012500;0.437500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.062500;0.062500;0.012500;0.012500;0.012500;0.050000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
wu;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
w);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wc;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
wl;0.006897;0.027586;0.006897;0.027586;0.006897;0.020690;0.006897;0.006897;0.006897;0.006897;0.600000;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.131034;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897
