smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
se;0.000070;0.031117;0.000070;0.429847;0.001186;0.000767;0.020442;0.002093;0.020512;0.000767;0.101026;0.063839;0.002163;0.071374;0.000349;0.069281;0.032722;0.061327;0.003488;0.004395;0.001605;0.049257;0.000209;0.001047;0.009628;0.000070;0.000209;0.016396;0.004465;0.000070;0.000070;0.000070;0.000070
sn;0.001099;0.001099;0.029670;0.001099;0.001099;0.003297;0.824176;0.001099;0.035165;0.014286;0.058242;0.001099;0.001099;0.001099;0.003297;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099;0.004396;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099;0.001099
sg;0.011494;0.011494;0.022989;0.011494;0.011494;0.114943;0.011494;0.011494;0.011494;0.011494;0.275862;0.011494;0.011494;0.011494;0.195402;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.068966;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
sd;0.014286;0.042857;0.100000;0.057143;0.014286;0.071429;0.014286;0.014286;0.300000;0.014286;0.042857;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
su;0.000352;0.052836;0.000352;0.000352;0.000352;0.021486;0.001057;0.000352;0.054597;0.070447;0.126805;0.017964;0.010567;0.026418;0.000352;0.000352;0.097922;0.029588;0.068334;0.177527;0.011272;0.226488;0.000352;0.000352;0.000704;0.000352;0.000352;0.000352;0.000352;0.000352;0.000352;0.000352;0.000352
s);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
sc;0.000551;0.000551;0.107438;0.002755;0.000551;0.216529;0.000551;0.290358;0.099174;0.000551;0.034711;0.000551;0.000551;0.000551;0.092011;0.000551;0.000551;0.006061;0.000551;0.000551;0.000551;0.137190;0.000551;0.001102;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551
sl;0.001129;0.001129;0.067720;0.001129;0.001129;0.115124;0.001129;0.001129;0.335214;0.001129;0.074492;0.001129;0.001129;0.001129;0.005643;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129;0.371332;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129;0.001129
sm;0.000995;0.015920;0.046766;0.540299;0.000995;0.038806;0.000995;0.000995;0.194030;0.000995;0.030846;0.000995;0.000995;0.000995;0.002985;0.105473;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995
sp;0.000438;0.000438;0.139851;0.006138;0.000438;0.071021;0.000438;0.013591;0.071460;0.000438;0.633056;0.006138;0.000438;0.000438;0.006576;0.001315;0.002192;0.012714;0.000438;0.000438;0.000438;0.026304;0.000438;0.000877;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438
