smoothed;3
(;);n;o;r;d;s;t;m; ;h;a;p;e;c;i;l;y;f;u;g;w;b;k;v;#
m(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
m);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mn;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.243590;0.012821;0.012821;0.012821;0.397436;0.012821;0.064103;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
mo;0.000369;0.001107;0.142857;0.014027;0.301956;0.028424;0.126246;0.046881;0.065338;0.011443;0.000738;0.001107;0.000369;0.001107;0.138797;0.002215;0.002215;0.000369;0.000369;0.048357;0.002215;0.000369;0.001477;0.007383;0.053156;0.001107
mr;0.019231;0.096154;0.019231;0.019231;0.019231;0.019231;0.134615;0.019231;0.019231;0.307692;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
md;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ms;0.001193;0.025060;0.001193;0.002387;0.001193;0.001193;0.001193;0.023866;0.001193;0.762530;0.001193;0.001193;0.001193;0.155131;0.001193;0.003580;0.001193;0.004773;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193
mt;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mm;0.001934;0.003868;0.001934;0.059961;0.001934;0.001934;0.001934;0.001934;0.001934;0.007737;0.001934;0.042553;0.001934;0.382979;0.001934;0.342360;0.001934;0.013540;0.001934;0.112186;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934
m ;0.000268;0.000268;0.042303;0.054083;0.017135;0.028648;0.079518;0.171084;0.025435;0.000268;0.041767;0.140562;0.025435;0.011245;0.027041;0.085676;0.024632;0.020348;0.029719;0.016064;0.036145;0.058099;0.034538;0.004016;0.006693;0.019009
mh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ma;0.000240;0.000960;0.191025;0.000480;0.085673;0.048236;0.020638;0.131509;0.000720;0.034077;0.008639;0.000720;0.013439;0.000240;0.011039;0.032397;0.043916;0.098392;0.000480;0.000240;0.045836;0.000240;0.010559;0.171586;0.000480;0.048236
mp;0.000504;0.013098;0.000504;0.108816;0.023174;0.000504;0.048363;0.028212;0.000504;0.261965;0.010579;0.188413;0.000504;0.084635;0.000504;0.017128;0.181360;0.002519;0.000504;0.024685;0.000504;0.000504;0.000504;0.001008;0.000504;0.000504
me;0.000129;0.021191;0.220571;0.015377;0.062024;0.043416;0.056338;0.063703;0.032433;0.327562;0.002326;0.106215;0.000129;0.010854;0.002714;0.000129;0.013180;0.000258;0.000258;0.000129;0.000646;0.003230;0.015247;0.000129;0.000258;0.001551
mc;0.007937;0.007937;0.007937;0.007937;0.007937;0.071429;0.007937;0.007937;0.023810;0.007937;0.007937;0.015873;0.007937;0.007937;0.579365;0.007937;0.063492;0.007937;0.007937;0.007937;0.055556;0.007937;0.007937;0.039683;0.007937;0.007937
mi;0.000436;0.000436;0.381326;0.000436;0.007853;0.027923;0.101658;0.104276;0.001309;0.009162;0.000436;0.006981;0.000436;0.005236;0.063264;0.000436;0.187609;0.000436;0.001309;0.000873;0.079843;0.000436;0.000436;0.007417;0.000436;0.009599
ml;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.161290;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
my;0.001453;0.014535;0.001453;0.001453;0.001453;0.001453;0.058140;0.008721;0.001453;0.883721;0.001453;0.001453;0.001453;0.004360;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453;0.001453
mf;0.022222;0.022222;0.022222;0.444444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
mu;0.001626;0.001626;0.104065;0.001626;0.110569;0.001626;0.134959;0.016260;0.026016;0.001626;0.003252;0.001626;0.001626;0.006504;0.474797;0.001626;0.091057;0.001626;0.001626;0.001626;0.006504;0.001626;0.001626;0.001626;0.001626;0.001626
mg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mb;0.001605;0.008026;0.001605;0.046549;0.016051;0.001605;0.009631;0.001605;0.001605;0.046549;0.001605;0.073836;0.001605;0.650080;0.001605;0.085072;0.035313;0.001605;0.001605;0.003210;0.001605;0.001605;0.001605;0.001605;0.001605;0.001605
mk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
m#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 (;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 );0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 n;0.000187;0.000373;0.000187;0.578869;0.000187;0.000187;0.000187;0.000187;0.000187;0.001680;0.000187;0.086242;0.000373;0.224006;0.000187;0.059922;0.000187;0.000560;0.001120;0.043494;0.000187;0.000187;0.000560;0.000187;0.000187;0.000187
 o;0.000064;0.000129;0.221384;0.000064;0.097633;0.001612;0.000645;0.037918;0.000129;0.001290;0.007223;0.000645;0.018443;0.000064;0.004256;0.000580;0.006578;0.000064;0.447669;0.092410;0.000129;0.011092;0.018572;0.006642;0.024183;0.000580
 r;0.000165;0.000660;0.000165;0.068107;0.000165;0.000165;0.000165;0.000165;0.000165;0.002639;0.003133;0.088061;0.000165;0.619888;0.000165;0.141326;0.000165;0.002639;0.000165;0.070745;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165
 d;0.000116;0.000116;0.001978;0.436649;0.035137;0.000116;0.000233;0.000116;0.000116;0.004188;0.000349;0.075044;0.000116;0.217917;0.002909;0.204538;0.000116;0.001978;0.000116;0.016987;0.000116;0.000582;0.000116;0.000116;0.000116;0.000116
 s;0.000064;0.000127;0.001463;0.232477;0.000064;0.000064;0.000191;0.138532;0.008459;0.001018;0.118687;0.101895;0.041852;0.161366;0.021117;0.050948;0.024679;0.008778;0.000064;0.077598;0.000064;0.004834;0.000064;0.003689;0.000064;0.001845
 t;0.000022;0.000044;0.000022;0.183512;0.038047;0.000022;0.000044;0.000022;0.000022;0.000532;0.697910;0.024425;0.000022;0.020388;0.000022;0.013888;0.000022;0.000422;0.000022;0.004149;0.000022;0.015818;0.000022;0.000022;0.000532;0.000022
 m;0.000117;0.000469;0.000117;0.213138;0.002229;0.000117;0.000352;0.000117;0.000469;0.001056;0.000117;0.308270;0.000117;0.244575;0.011613;0.094194;0.000117;0.065455;0.000117;0.056540;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117
  ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 h;0.000091;0.000091;0.000091;0.112172;0.000091;0.000091;0.000091;0.000091;0.000182;0.001638;0.000091;0.408115;0.000091;0.295852;0.000091;0.135189;0.000091;0.002547;0.000091;0.042667;0.000091;0.000091;0.000091;0.000091;0.000091;0.000091
 a;0.000033;0.000978;0.370164;0.000033;0.078224;0.019230;0.049607;0.042176;0.019067;0.198462;0.000978;0.000033;0.010300;0.000065;0.028878;0.002314;0.069946;0.000033;0.010234;0.004498;0.019491;0.004954;0.068186;0.000065;0.001760;0.000293
 p;0.000103;0.000719;0.000103;0.186954;0.286081;0.000103;0.001849;0.000103;0.000924;0.001335;0.013559;0.145455;0.000103;0.194761;0.000308;0.034104;0.067488;0.000205;0.000616;0.064510;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103
 e;0.000210;0.000210;0.150840;0.000210;0.010294;0.022059;0.037605;0.006092;0.067017;0.002101;0.000210;0.063445;0.026471;0.000210;0.016807;0.056723;0.101050;0.005882;0.032983;0.006092;0.002311;0.000210;0.000210;0.000210;0.196429;0.194118
 c;0.000092;0.000551;0.000735;0.419873;0.050785;0.000092;0.000092;0.000092;0.000184;0.002939;0.106254;0.269630;0.000092;0.023694;0.000184;0.023602;0.073469;0.002020;0.000092;0.022775;0.000092;0.000092;0.002296;0.000092;0.000092;0.000092
 i;0.000045;0.001025;0.269059;0.000089;0.003923;0.016139;0.203834;0.215426;0.052653;0.178511;0.000045;0.000045;0.000178;0.000045;0.001427;0.000045;0.004102;0.000045;0.047838;0.000045;0.000669;0.000045;0.000045;0.000045;0.004637;0.000045
 l;0.000142;0.000142;0.000142;0.209302;0.000142;0.000142;0.000142;0.000142;0.000142;0.002978;0.000142;0.133579;0.000142;0.176546;0.000425;0.465400;0.000425;0.003120;0.000142;0.005814;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142
 y;0.000156;0.000156;0.000156;0.849148;0.000156;0.000156;0.000156;0.000156;0.000156;0.000938;0.000156;0.002032;0.000156;0.144286;0.000156;0.000156;0.000156;0.000156;0.000156;0.000313;0.000156;0.000156;0.000156;0.000156;0.000156;0.000156
 f;0.000122;0.000244;0.000122;0.371753;0.143676;0.000122;0.000122;0.000122;0.000122;0.006464;0.000122;0.142822;0.000122;0.093548;0.000122;0.165020;0.029150;0.000244;0.000122;0.045005;0.000122;0.000122;0.000244;0.000122;0.000122;0.000122
 u;0.000459;0.000459;0.323691;0.000459;0.007805;0.000459;0.327365;0.008724;0.001837;0.003673;0.000459;0.000459;0.304867;0.000459;0.000459;0.000459;0.009183;0.000459;0.000459;0.000459;0.002296;0.000459;0.000918;0.002296;0.000918;0.000459
 g;0.000170;0.000340;0.000170;0.413922;0.103226;0.000170;0.000170;0.000170;0.000170;0.001698;0.001358;0.054160;0.000170;0.217317;0.000170;0.092190;0.017148;0.001188;0.000170;0.094737;0.000170;0.000340;0.000170;0.000170;0.000170;0.000170
 w;0.000057;0.000057;0.000057;0.115459;0.016348;0.000057;0.000057;0.000057;0.000057;0.000684;0.307701;0.224994;0.000057;0.196229;0.000057;0.137446;0.000057;0.000057;0.000057;0.000114;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
 b;0.000092;0.000092;0.000092;0.062276;0.050995;0.000092;0.000092;0.000092;0.000092;0.005962;0.000092;0.117215;0.000092;0.443639;0.000092;0.048519;0.023388;0.067688;0.000092;0.178758;0.000092;0.000092;0.000092;0.000092;0.000092;0.000092
 k;0.000402;0.000402;0.550422;0.026517;0.001205;0.000402;0.000402;0.000402;0.000402;0.002812;0.002411;0.009642;0.000402;0.082764;0.000402;0.310165;0.000804;0.001205;0.000402;0.005625;0.000402;0.000804;0.000402;0.000402;0.000402;0.000402
 v;0.000660;0.001319;0.000660;0.218997;0.000660;0.000660;0.006596;0.000660;0.000660;0.004617;0.000660;0.111478;0.000660;0.393799;0.000660;0.242744;0.000660;0.001319;0.000660;0.007916;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660
 #;0.000309;0.000617;0.000309;0.173457;0.000309;0.000309;0.000309;0.000309;0.000309;0.007716;0.000309;0.047840;0.000309;0.034568;0.000309;0.003086;0.000309;0.000309;0.000309;0.726852;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309
h(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
h);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hn;0.002950;0.047198;0.002950;0.041298;0.002950;0.002950;0.067847;0.002950;0.002950;0.690265;0.002950;0.002950;0.002950;0.076696;0.002950;0.017699;0.002950;0.002950;0.002950;0.002950;0.002950;0.002950;0.002950;0.002950;0.002950;0.002950
ho;0.000201;0.002610;0.020482;0.047992;0.034538;0.006024;0.097992;0.018273;0.027309;0.201606;0.000201;0.002410;0.027108;0.005221;0.007028;0.012851;0.056627;0.000201;0.000201;0.247992;0.001606;0.177711;0.001606;0.001205;0.000803;0.000201
hr;0.001767;0.001767;0.001767;0.441696;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767;0.021201;0.001767;0.395760;0.001767;0.074205;0.001767;0.001767;0.001767;0.030035;0.001767;0.001767;0.001767;0.001767;0.001767;0.001767
hd;0.020000;0.020000;0.020000;0.040000;0.200000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.300000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
hs;0.008696;0.052174;0.008696;0.008696;0.008696;0.008696;0.008696;0.017391;0.008696;0.730435;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
ht;0.000608;0.068651;0.001215;0.000608;0.000608;0.000608;0.071689;0.001215;0.003038;0.699271;0.002430;0.000608;0.000608;0.063183;0.000608;0.021871;0.020656;0.030377;0.007898;0.000608;0.000608;0.000608;0.000608;0.000608;0.000608;0.000608
hm;0.012195;0.012195;0.012195;0.036585;0.012195;0.012195;0.024390;0.012195;0.024390;0.048780;0.012195;0.048780;0.012195;0.573171;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
h ;0.000175;0.000175;0.012985;0.055975;0.015266;0.022460;0.051588;0.167573;0.044394;0.000175;0.042288;0.124759;0.027022;0.012283;0.042990;0.166520;0.023513;0.030883;0.018249;0.005440;0.021934;0.058607;0.031584;0.010177;0.005089;0.007896
hh;0.033333;0.100000;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ha;0.000065;0.000065;0.057312;0.001565;0.032536;0.039056;0.066571;0.603443;0.009128;0.000522;0.000065;0.000065;0.030971;0.003130;0.000978;0.002999;0.007172;0.000130;0.000391;0.000326;0.000196;0.000587;0.000782;0.001043;0.140771;0.000130
hp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
he;0.000039;0.004439;0.061719;0.002396;0.174236;0.006993;0.040544;0.009350;0.023493;0.547576;0.000039;0.020625;0.000236;0.001061;0.003614;0.024004;0.009704;0.068869;0.000354;0.000039;0.000039;0.000432;0.000039;0.000039;0.000079;0.000039
hc;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.509091;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
hi;0.000103;0.000103;0.350640;0.002271;0.019715;0.001755;0.360549;0.018373;0.048101;0.003097;0.000103;0.001961;0.018167;0.004955;0.122419;0.000103;0.027353;0.000103;0.003509;0.000103;0.014657;0.000103;0.000826;0.000413;0.000206;0.000310
hl;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.016000;0.008000;0.008000;0.008000;0.448000;0.008000;0.120000;0.008000;0.240000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000
hy;0.002193;0.063596;0.002193;0.002193;0.006579;0.004386;0.024123;0.004386;0.002193;0.796053;0.002193;0.002193;0.059211;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193
hf;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hu;0.001698;0.001698;0.339559;0.001698;0.122241;0.005093;0.088285;0.035654;0.117148;0.003396;0.005093;0.001698;0.003396;0.001698;0.015280;0.001698;0.001698;0.001698;0.003396;0.001698;0.235993;0.001698;0.003396;0.001698;0.001698;0.001698
hg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hw;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.096774;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hb;0.019608;0.019608;0.019608;0.509804;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
hk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
hv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
h#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
a(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
a);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
an;0.000050;0.004278;0.012735;0.009750;0.000050;0.551388;0.030196;0.070242;0.000050;0.191374;0.000348;0.008357;0.000050;0.005920;0.020346;0.018854;0.000298;0.046065;0.000149;0.000945;0.019650;0.000348;0.000099;0.007810;0.000149;0.000497
ao;0.011628;0.011628;0.011628;0.011628;0.395349;0.011628;0.197674;0.093023;0.011628;0.023256;0.034884;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.023256;0.011628;0.011628
ar;0.000122;0.006201;0.013982;0.026626;0.031246;0.076231;0.053982;0.149301;0.014468;0.100426;0.000243;0.030638;0.001581;0.279027;0.022128;0.045350;0.022857;0.042918;0.001094;0.000122;0.047903;0.000122;0.003891;0.025775;0.002796;0.000973
ad;0.000377;0.017696;0.007907;0.018449;0.001130;0.070783;0.026732;0.000377;0.072289;0.422816;0.001130;0.017696;0.000377;0.146461;0.004142;0.056852;0.015060;0.053840;0.000753;0.007530;0.000753;0.001506;0.001130;0.000377;0.048569;0.005271
as;0.000132;0.009095;0.017925;0.033742;0.000132;0.000132;0.065902;0.100567;0.000527;0.553315;0.036773;0.002372;0.003032;0.074733;0.006063;0.048768;0.001054;0.009622;0.000132;0.006986;0.000132;0.000132;0.000132;0.028206;0.000132;0.000264
at;0.000058;0.012646;0.000116;0.007251;0.001624;0.000058;0.075120;0.033645;0.001450;0.540635;0.016532;0.004583;0.000058;0.133766;0.014734;0.146818;0.002030;0.000522;0.000638;0.007135;0.000058;0.000232;0.000058;0.000116;0.000058;0.000058
am;0.000450;0.007647;0.009447;0.039586;0.000450;0.000450;0.019793;0.000450;0.013945;0.125506;0.000450;0.120558;0.155196;0.398111;0.000450;0.083671;0.000450;0.001799;0.000450;0.002249;0.000450;0.000450;0.016644;0.000450;0.000450;0.000450
a ;0.000132;0.000132;0.035568;0.016072;0.046502;0.051508;0.091951;0.070346;0.048478;0.000132;0.031616;0.031485;0.079304;0.003425;0.081807;0.024107;0.103280;0.006060;0.047556;0.001844;0.044526;0.067185;0.070742;0.010934;0.020155;0.015150
ah;0.001701;0.110544;0.001701;0.039116;0.001701;0.001701;0.001701;0.001701;0.001701;0.687075;0.001701;0.027211;0.001701;0.037415;0.001701;0.001701;0.062925;0.001701;0.001701;0.003401;0.001701;0.001701;0.001701;0.001701;0.001701;0.001701
aa;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ap;0.000740;0.003701;0.000740;0.061436;0.003701;0.002961;0.072539;0.019985;0.000740;0.103627;0.046632;0.046632;0.518875;0.079201;0.000740;0.029608;0.001480;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740
ae;0.008264;0.016529;0.008264;0.016529;0.016529;0.016529;0.008264;0.008264;0.008264;0.024793;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.743802;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264
ac;0.000304;0.000304;0.000608;0.007903;0.011854;0.000304;0.000608;0.407903;0.000608;0.001824;0.073860;0.006991;0.000304;0.149544;0.072948;0.024316;0.004559;0.021277;0.000304;0.003343;0.000304;0.000304;0.000304;0.206991;0.000304;0.002128
ai;0.000418;0.000418;0.373278;0.000418;0.095198;0.197495;0.030898;0.049687;0.061795;0.000418;0.000418;0.000835;0.000418;0.000418;0.001253;0.001253;0.120668;0.000418;0.000418;0.000418;0.059290;0.000418;0.000418;0.000418;0.002505;0.000418
al;0.000110;0.008119;0.000110;0.007571;0.012618;0.010314;0.075049;0.027211;0.008558;0.278473;0.000110;0.008339;0.000768;0.017994;0.003401;0.043011;0.413759;0.003292;0.003840;0.006254;0.000658;0.011960;0.000549;0.055629;0.002194;0.000110
ay;0.000296;0.042667;0.001481;0.006519;0.000296;0.000296;0.115556;0.000296;0.008000;0.648000;0.000889;0.001185;0.000296;0.024889;0.000593;0.080296;0.002370;0.000296;0.000296;0.000296;0.000296;0.000593;0.063407;0.000296;0.000296;0.000296
af;0.002183;0.002183;0.002183;0.002183;0.078603;0.002183;0.002183;0.401747;0.002183;0.006550;0.002183;0.002183;0.002183;0.096070;0.002183;0.006550;0.006550;0.002183;0.353712;0.002183;0.010917;0.002183;0.002183;0.002183;0.002183;0.002183
au;0.000654;0.000654;0.010458;0.000654;0.014379;0.069281;0.671895;0.069935;0.004575;0.006536;0.000654;0.000654;0.000654;0.000654;0.013725;0.000654;0.053595;0.000654;0.001307;0.000654;0.073203;0.000654;0.000654;0.001961;0.000654;0.000654
ag;0.000656;0.004590;0.013770;0.092459;0.080656;0.000656;0.003934;0.000656;0.001311;0.014426;0.001967;0.234098;0.000656;0.377049;0.000656;0.108852;0.005902;0.000656;0.000656;0.028197;0.024918;0.000656;0.000656;0.000656;0.000656;0.000656
aw;0.001610;0.024155;0.037037;0.001610;0.008052;0.001610;0.115942;0.001610;0.016103;0.381643;0.006441;0.193237;0.001610;0.022544;0.001610;0.008052;0.008052;0.101449;0.037037;0.001610;0.001610;0.001610;0.003221;0.019324;0.001610;0.001610
ab;0.000349;0.000349;0.000349;0.662827;0.009424;0.001047;0.030366;0.000349;0.000349;0.017801;0.000349;0.004188;0.000349;0.006283;0.000349;0.045375;0.194415;0.009075;0.000349;0.008028;0.000349;0.000349;0.006283;0.000349;0.000349;0.000349
ak;0.000647;0.003881;0.001294;0.001940;0.000647;0.006468;0.012937;0.001294;0.000647;0.062743;0.000647;0.003234;0.000647;0.711514;0.000647;0.180466;0.000647;0.001940;0.001940;0.000647;0.000647;0.001294;0.001294;0.000647;0.000647;0.000647
av;0.000355;0.000355;0.000355;0.042629;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.025577;0.000355;0.774067;0.000355;0.147425;0.000355;0.002842;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355
a#;0.002079;0.006237;0.002079;0.160083;0.002079;0.002079;0.002079;0.002079;0.002079;0.201663;0.002079;0.020790;0.035343;0.103950;0.002079;0.309771;0.002079;0.097713;0.002079;0.024948;0.002079;0.002079;0.002079;0.002079;0.002079;0.006237
