smoothed;3
(;s;o; ;w;h;y;a;r;e;n;t;f;l;i;g;c;u;j;);m;p;d;b;k;v;x;#
lc;0.018868;0.018868;0.377358;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.132075;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
lu;0.007576;0.075758;0.007576;0.007576;0.007576;0.015152;0.007576;0.007576;0.030303;0.113636;0.053030;0.151515;0.015152;0.037879;0.007576;0.007576;0.121212;0.007576;0.007576;0.007576;0.083333;0.015152;0.030303;0.136364;0.015152;0.007576;0.007576;0.007576
lj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
l);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
lm;0.014925;0.014925;0.417910;0.149254;0.014925;0.014925;0.014925;0.014925;0.014925;0.044776;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
lp;0.016129;0.032258;0.032258;0.290323;0.016129;0.048387;0.016129;0.032258;0.032258;0.064516;0.016129;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.112903;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
ld;0.002762;0.027624;0.002762;0.671271;0.005525;0.005525;0.002762;0.002762;0.013812;0.024862;0.088398;0.005525;0.002762;0.008287;0.013812;0.005525;0.005525;0.002762;0.002762;0.082873;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762
lb;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
lk;0.009174;0.027523;0.009174;0.339450;0.009174;0.009174;0.018349;0.018349;0.009174;0.110092;0.009174;0.009174;0.009174;0.009174;0.256881;0.009174;0.009174;0.009174;0.009174;0.036697;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174
lv;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.325581;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
lx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
l#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
i(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
is;0.000723;0.020969;0.005785;0.622560;0.000723;0.028923;0.001446;0.007954;0.003615;0.015184;0.011569;0.091829;0.001446;0.007954;0.010846;0.000723;0.029646;0.002892;0.000723;0.099060;0.022415;0.003615;0.000723;0.000723;0.005785;0.000723;0.000723;0.000723
io;0.002304;0.018433;0.002304;0.034562;0.002304;0.002304;0.002304;0.002304;0.013825;0.002304;0.647465;0.009217;0.002304;0.039171;0.032258;0.002304;0.002304;0.122120;0.002304;0.006912;0.018433;0.002304;0.011521;0.002304;0.002304;0.004608;0.006912;0.002304
i ;0.000802;0.055333;0.002406;0.004812;0.186047;0.056135;0.004812;0.040096;0.022454;0.011227;0.016038;0.107458;0.031275;0.027265;0.024860;0.055333;0.064956;0.009623;0.021652;0.000802;0.085806;0.007217;0.101043;0.018444;0.039294;0.000802;0.000802;0.003208
iw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ih;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
iy;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ia;0.005076;0.030457;0.005076;0.101523;0.005076;0.005076;0.005076;0.005076;0.020305;0.005076;0.192893;0.121827;0.005076;0.340102;0.005076;0.015228;0.010152;0.005076;0.005076;0.030457;0.025381;0.005076;0.005076;0.025381;0.005076;0.005076;0.005076;0.005076
ir;0.003311;0.205298;0.036424;0.178808;0.003311;0.003311;0.003311;0.006623;0.006623;0.185430;0.003311;0.059603;0.006623;0.026490;0.056291;0.003311;0.016556;0.003311;0.003311;0.039735;0.006623;0.006623;0.119205;0.003311;0.003311;0.003311;0.003311;0.003311
ie;0.002667;0.208000;0.002667;0.112000;0.048000;0.002667;0.002667;0.002667;0.032000;0.002667;0.285333;0.034667;0.013333;0.013333;0.002667;0.002667;0.024000;0.002667;0.002667;0.016000;0.002667;0.002667;0.098667;0.002667;0.002667;0.072000;0.002667;0.002667
in;0.000303;0.017592;0.001820;0.192296;0.000607;0.002426;0.001213;0.016075;0.000303;0.042463;0.005156;0.060055;0.007583;0.002123;0.016379;0.444647;0.015165;0.011829;0.000607;0.030634;0.001213;0.000303;0.048226;0.000303;0.076736;0.003336;0.000303;0.000303
it;0.000534;0.264141;0.002668;0.341515;0.000534;0.104055;0.048559;0.011740;0.001067;0.048559;0.001067;0.041089;0.000534;0.009605;0.045358;0.000534;0.004269;0.008004;0.000534;0.058698;0.000534;0.000534;0.001601;0.000534;0.000534;0.000534;0.000534;0.002134
if;0.002933;0.002933;0.005865;0.407625;0.002933;0.002933;0.008798;0.002933;0.002933;0.178886;0.002933;0.014663;0.190616;0.008798;0.076246;0.002933;0.002933;0.014663;0.002933;0.041056;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933
il;0.002463;0.009852;0.019704;0.081281;0.002463;0.002463;0.027094;0.073892;0.002463;0.083744;0.002463;0.027094;0.002463;0.455665;0.081281;0.002463;0.002463;0.002463;0.002463;0.019704;0.009852;0.004926;0.061576;0.002463;0.007389;0.004926;0.002463;0.002463
ii;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ig;0.001961;0.003922;0.001961;0.064706;0.001961;0.733333;0.001961;0.009804;0.007843;0.017647;0.050980;0.009804;0.001961;0.001961;0.015686;0.021569;0.001961;0.025490;0.001961;0.007843;0.001961;0.001961;0.001961;0.001961;0.001961;0.001961;0.001961;0.001961
ic;0.001795;0.030521;0.008977;0.147217;0.001795;0.105925;0.001795;0.215440;0.021544;0.093357;0.001795;0.068223;0.001795;0.017953;0.066427;0.001795;0.001795;0.048474;0.001795;0.032316;0.001795;0.001795;0.001795;0.001795;0.116697;0.001795;0.001795;0.001795
iu;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.052632;0.017544;0.456140;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
ij;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.333333;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
i);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
im;0.001799;0.001799;0.001799;0.347122;0.001799;0.001799;0.001799;0.086331;0.001799;0.293165;0.001799;0.001799;0.001799;0.001799;0.059353;0.001799;0.001799;0.010791;0.001799;0.088129;0.010791;0.064748;0.001799;0.005396;0.001799;0.001799;0.001799;0.001799
ip;0.009434;0.150943;0.009434;0.188679;0.009434;0.075472;0.009434;0.094340;0.009434;0.037736;0.009434;0.075472;0.009434;0.056604;0.009434;0.009434;0.009434;0.009434;0.009434;0.047170;0.009434;0.094340;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
id;0.002012;0.060362;0.004024;0.376258;0.002012;0.002012;0.002012;0.030181;0.002012;0.225352;0.114688;0.008048;0.002012;0.002012;0.022133;0.002012;0.002012;0.018109;0.002012;0.082495;0.002012;0.002012;0.024145;0.002012;0.002012;0.002012;0.002012;0.002012
ib;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.018692;0.140187;0.009346;0.009346;0.009346;0.448598;0.093458;0.009346;0.009346;0.065421;0.009346;0.009346;0.009346;0.009346;0.009346;0.028037;0.009346;0.009346;0.009346;0.009346
ik;0.001295;0.002591;0.001295;0.001295;0.001295;0.001295;0.001295;0.003886;0.001295;0.958549;0.001295;0.001295;0.001295;0.001295;0.003886;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295
iv;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.005682;0.014205;0.002841;0.801136;0.002841;0.002841;0.002841;0.002841;0.110795;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841
ix;0.015152;0.015152;0.015152;0.439394;0.015152;0.015152;0.030303;0.015152;0.015152;0.045455;0.015152;0.030303;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.106061;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
i#;0.011111;0.011111;0.011111;0.022222;0.011111;0.011111;0.011111;0.100000;0.011111;0.444444;0.011111;0.011111;0.011111;0.011111;0.055556;0.011111;0.011111;0.088889;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.044444
g(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gs;0.005208;0.005208;0.005208;0.739583;0.005208;0.010417;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.119792;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
go;0.001852;0.001852;0.118519;0.200000;0.001852;0.001852;0.001852;0.005556;0.007407;0.040741;0.153704;0.248148;0.001852;0.003704;0.129630;0.005556;0.001852;0.001852;0.001852;0.020370;0.001852;0.001852;0.029630;0.001852;0.001852;0.009259;0.001852;0.001852
g ;0.000781;0.028884;0.079625;0.005464;0.047619;0.024200;0.040593;0.135051;0.021077;0.021077;0.008587;0.230289;0.027322;0.038251;0.113973;0.007026;0.026542;0.018735;0.007806;0.000781;0.028103;0.018735;0.019516;0.040593;0.003903;0.001561;0.000781;0.003123
gw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gh;0.001866;0.003731;0.009328;0.158582;0.001866;0.001866;0.001866;0.003731;0.001866;0.005597;0.003731;0.723881;0.001866;0.007463;0.007463;0.001866;0.001866;0.001866;0.001866;0.029851;0.001866;0.001866;0.001866;0.014925;0.001866;0.001866;0.001866;0.001866
gy;0.021739;0.021739;0.021739;0.282609;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.108696;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
ga;0.005917;0.035503;0.005917;0.005917;0.005917;0.005917;0.011834;0.005917;0.029586;0.005917;0.230769;0.053254;0.005917;0.130178;0.218935;0.011834;0.005917;0.005917;0.005917;0.005917;0.088757;0.011834;0.005917;0.017751;0.005917;0.059172;0.005917;0.011834
gr;0.005291;0.005291;0.190476;0.005291;0.005291;0.005291;0.052910;0.222222;0.005291;0.380952;0.005291;0.005291;0.005291;0.005291;0.031746;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291
ge;0.002119;0.067797;0.014831;0.146186;0.002119;0.002119;0.002119;0.006356;0.095339;0.006356;0.080508;0.472458;0.004237;0.010593;0.002119;0.002119;0.002119;0.002119;0.002119;0.031780;0.004237;0.002119;0.027542;0.002119;0.002119;0.002119;0.002119;0.002119
gn;0.015873;0.015873;0.111111;0.079365;0.015873;0.015873;0.015873;0.079365;0.015873;0.126984;0.015873;0.015873;0.015873;0.015873;0.190476;0.015873;0.015873;0.015873;0.015873;0.031746;0.047619;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
gt;0.027027;0.027027;0.054054;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
gf;0.028571;0.028571;0.228571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
gl;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.043478;0.217391;0.014493;0.188406;0.014493;0.014493;0.014493;0.014493;0.202899;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
gi;0.005714;0.074286;0.022857;0.068571;0.005714;0.005714;0.005714;0.028571;0.028571;0.011429;0.245714;0.017143;0.005714;0.017143;0.005714;0.022857;0.171429;0.005714;0.005714;0.011429;0.005714;0.005714;0.005714;0.005714;0.005714;0.194286;0.005714;0.005714
gg;0.017544;0.017544;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.122807;0.228070;0.017544;0.017544;0.017544;0.122807;0.070175;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.035088
gc;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gu;0.004630;0.037037;0.004630;0.004630;0.004630;0.004630;0.435185;0.115741;0.064815;0.115741;0.041667;0.023148;0.004630;0.023148;0.037037;0.004630;0.004630;0.004630;0.004630;0.004630;0.023148;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630
gj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
g);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gm;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.156250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gd;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
gb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
g#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
c(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cs;0.021739;0.021739;0.043478;0.369565;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
co;0.001464;0.035139;0.017570;0.001464;0.002928;0.027818;0.001464;0.008785;0.035139;0.001464;0.218155;0.004392;0.002928;0.073206;0.005857;0.007321;0.019034;0.190337;0.001464;0.002928;0.266471;0.026354;0.010249;0.004392;0.013177;0.017570;0.001464;0.001464
c ;0.008621;0.077586;0.077586;0.008621;0.077586;0.025862;0.034483;0.094828;0.043103;0.034483;0.025862;0.060345;0.060345;0.025862;0.068966;0.025862;0.034483;0.008621;0.017241;0.008621;0.043103;0.043103;0.025862;0.034483;0.008621;0.008621;0.008621;0.008621
cw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ch;0.002092;0.002092;0.100418;0.328452;0.002092;0.002092;0.010460;0.115063;0.020921;0.154812;0.023013;0.004184;0.002092;0.002092;0.127615;0.002092;0.002092;0.025105;0.002092;0.054393;0.002092;0.002092;0.002092;0.002092;0.002092;0.002092;0.002092;0.002092
cy;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412
ca;0.001259;0.054156;0.001259;0.006297;0.001259;0.001259;0.001259;0.001259;0.062972;0.001259;0.238035;0.057935;0.008816;0.192695;0.005038;0.002519;0.001259;0.240554;0.001259;0.002519;0.070529;0.031486;0.006297;0.002519;0.001259;0.002519;0.001259;0.001259
cr;0.004950;0.004950;0.148515;0.004950;0.004950;0.004950;0.009901;0.272277;0.004950;0.267327;0.004950;0.004950;0.004950;0.004950;0.153465;0.004950;0.004950;0.039604;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950
ce;0.001905;0.125714;0.005714;0.384762;0.001905;0.001905;0.001905;0.011429;0.072381;0.007619;0.091429;0.001905;0.001905;0.089524;0.009524;0.001905;0.001905;0.009524;0.001905;0.080000;0.007619;0.051429;0.026667;0.001905;0.001905;0.001905;0.001905;0.001905
cn;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ct;0.002841;0.048295;0.062500;0.164773;0.002841;0.002841;0.002841;0.008523;0.017045;0.102273;0.002841;0.002841;0.002841;0.099432;0.207386;0.002841;0.002841;0.204545;0.002841;0.034091;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841;0.002841
cf;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cl;0.006536;0.006536;0.169935;0.006536;0.006536;0.006536;0.019608;0.130719;0.006536;0.235294;0.006536;0.006536;0.006536;0.006536;0.117647;0.006536;0.006536;0.183007;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
ci;0.003876;0.065891;0.069767;0.003876;0.003876;0.003876;0.003876;0.174419;0.011628;0.232558;0.120155;0.085271;0.019380;0.015504;0.003876;0.007752;0.003876;0.003876;0.003876;0.003876;0.003876;0.054264;0.058140;0.003876;0.003876;0.015504;0.003876;0.015504
cg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
cc;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.058824;0.014706;0.397059;0.014706;0.014706;0.014706;0.029412;0.029412;0.014706;0.014706;0.132353;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
cu;0.006250;0.193750;0.006250;0.006250;0.006250;0.006250;0.006250;0.012500;0.187500;0.018750;0.006250;0.075000;0.006250;0.262500;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.025000;0.012500;0.006250;0.018750;0.006250;0.006250;0.006250;0.081250
cj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
c);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cm;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cp;0.029412;0.029412;0.029412;0.176471;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cd;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
cb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ck;0.003106;0.086957;0.006211;0.509317;0.009317;0.003106;0.015528;0.009317;0.021739;0.093168;0.006211;0.006211;0.003106;0.027950;0.049689;0.003106;0.003106;0.009317;0.003106;0.083851;0.012422;0.003106;0.003106;0.015528;0.003106;0.003106;0.003106;0.003106
cv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
c#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
u(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
