smoothed;3
(;s;t;a;i;c;);v;.;o; ;n;l;r;h;e;y;,;f;u;d;g;m;p;j;w;!;k;b;x;?;q;z;#
in;0.000375;0.038981;0.065592;0.022114;0.031109;0.049100;0.011994;0.010870;0.006747;0.004498;0.151424;0.005997;0.002249;0.000375;0.003373;0.052849;0.004123;0.003373;0.011619;0.007871;0.045352;0.419790;0.000375;0.000375;0.003373;0.000375;0.000375;0.039730;0.000375;0.000375;0.003373;0.000750;0.000375;0.000375
il;0.002183;0.024017;0.032751;0.015284;0.126638;0.002183;0.015284;0.002183;0.004367;0.080786;0.045852;0.002183;0.399563;0.002183;0.002183;0.102620;0.021834;0.010917;0.002183;0.004367;0.072052;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183
ir;0.003497;0.122378;0.027972;0.027972;0.045455;0.045455;0.031469;0.003497;0.013986;0.017483;0.195804;0.006993;0.129371;0.027972;0.003497;0.136364;0.013986;0.010490;0.003497;0.003497;0.062937;0.010490;0.010490;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.010490;0.003497;0.003497;0.003497
ih;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ie;0.002564;0.271795;0.094872;0.002564;0.002564;0.012821;0.025641;0.035897;0.015385;0.002564;0.074359;0.182051;0.002564;0.053846;0.002564;0.002564;0.002564;0.023077;0.015385;0.002564;0.069231;0.002564;0.002564;0.002564;0.002564;0.069231;0.005128;0.002564;0.002564;0.002564;0.002564;0.002564;0.002564;0.002564
iy;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
i,;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.214286;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
if;0.003205;0.003205;0.028846;0.006410;0.099359;0.003205;0.022436;0.003205;0.003205;0.003205;0.378205;0.003205;0.009615;0.003205;0.003205;0.141026;0.054487;0.003205;0.169872;0.012821;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205
iu;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
id;0.002625;0.036745;0.002625;0.026247;0.047244;0.002625;0.007874;0.002625;0.020997;0.002625;0.162730;0.034121;0.007874;0.002625;0.002625;0.519685;0.002625;0.015748;0.002625;0.028871;0.026247;0.010499;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625
ig;0.003356;0.016779;0.003356;0.016779;0.040268;0.003356;0.013423;0.003356;0.010067;0.030201;0.050336;0.114094;0.003356;0.010067;0.563758;0.010067;0.003356;0.006711;0.003356;0.026846;0.003356;0.013423;0.010067;0.003356;0.003356;0.006711;0.003356;0.003356;0.003356;0.003356;0.003356;0.003356;0.003356;0.003356
im;0.001946;0.019455;0.001946;0.058366;0.040856;0.001946;0.019455;0.001946;0.011673;0.042802;0.422179;0.001946;0.001946;0.001946;0.005837;0.178988;0.001946;0.017510;0.001946;0.005837;0.001946;0.001946;0.019455;0.110895;0.001946;0.001946;0.005837;0.001946;0.001946;0.001946;0.003891;0.001946;0.001946;0.001946
ip;0.012500;0.100000;0.062500;0.037500;0.037500;0.012500;0.050000;0.012500;0.012500;0.037500;0.137500;0.012500;0.075000;0.012500;0.037500;0.050000;0.012500;0.025000;0.012500;0.025000;0.012500;0.012500;0.025000;0.050000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
ij;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
iw;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
i!;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ik;0.003968;0.003968;0.003968;0.003968;0.007937;0.003968;0.003968;0.003968;0.003968;0.007937;0.007937;0.003968;0.003968;0.003968;0.003968;0.857143;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968
ib;0.007194;0.007194;0.007194;0.064748;0.107914;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.014388;0.330935;0.007194;0.007194;0.179856;0.014388;0.007194;0.007194;0.086331;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.014388;0.007194;0.007194;0.007194;0.007194;0.007194
ix;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.191489;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
i?;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
iq;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.170732;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
iz;0.006944;0.006944;0.006944;0.201389;0.069444;0.006944;0.006944;0.006944;0.006944;0.013889;0.006944;0.006944;0.006944;0.006944;0.006944;0.333333;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.180556;0.006944
i#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
c(;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cs;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.092105;0.013158;0.131579;0.013158;0.263158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.078947;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.052632;0.013158;0.013158;0.013158
ct;0.002591;0.028497;0.002591;0.010363;0.277202;0.002591;0.025907;0.002591;0.012953;0.038860;0.155440;0.005181;0.049223;0.020725;0.002591;0.077720;0.002591;0.020725;0.002591;0.222798;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591;0.002591
ca;0.001486;0.025260;0.092125;0.002972;0.002972;0.002972;0.005944;0.004458;0.005944;0.001486;0.010401;0.188707;0.236256;0.080238;0.001486;0.001486;0.004458;0.013373;0.001486;0.147103;0.016345;0.007429;0.019316;0.090639;0.001486;0.001486;0.001486;0.008915;0.014859;0.001486;0.001486;0.001486;0.001486;0.001486
ci;0.002825;0.228814;0.062147;0.206215;0.002825;0.002825;0.002825;0.067797;0.002825;0.031073;0.002825;0.042373;0.005650;0.033898;0.002825;0.155367;0.002825;0.005650;0.025424;0.002825;0.033898;0.005650;0.005650;0.011299;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.005650;0.002825;0.025424;0.002825
cc;0.012500;0.012500;0.012500;0.025000;0.037500;0.012500;0.012500;0.012500;0.012500;0.262500;0.012500;0.012500;0.012500;0.012500;0.012500;0.200000;0.012500;0.012500;0.012500;0.112500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
c);0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cv;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
c.;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
co;0.001387;0.011096;0.004161;0.005548;0.004161;0.006935;0.001387;0.020804;0.001387;0.016644;0.001387;0.321775;0.059639;0.062413;0.005548;0.001387;0.001387;0.001387;0.005548;0.135922;0.004161;0.008322;0.292649;0.009709;0.001387;0.001387;0.001387;0.001387;0.002774;0.001387;0.001387;0.001387;0.001387;0.001387
c ;0.008929;0.107143;0.098214;0.089286;0.089286;0.062500;0.008929;0.017857;0.008929;0.026786;0.008929;0.017857;0.008929;0.017857;0.035714;0.017857;0.008929;0.008929;0.053571;0.026786;0.008929;0.017857;0.053571;0.044643;0.008929;0.044643;0.008929;0.017857;0.026786;0.008929;0.008929;0.008929;0.008929;0.008929
cn;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cl;0.007353;0.007353;0.007353;0.161765;0.073529;0.007353;0.007353;0.007353;0.007353;0.139706;0.007353;0.007353;0.007353;0.007353;0.007353;0.191176;0.007353;0.007353;0.007353;0.220588;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353
cr;0.005952;0.005952;0.005952;0.083333;0.315476;0.005952;0.005952;0.005952;0.005952;0.089286;0.005952;0.005952;0.005952;0.005952;0.005952;0.267857;0.017857;0.005952;0.005952;0.059524;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952
ch;0.002004;0.002004;0.004008;0.160321;0.162325;0.002004;0.028056;0.002004;0.032064;0.068136;0.292585;0.002004;0.004008;0.056112;0.002004;0.072144;0.022044;0.030060;0.002004;0.020040;0.002004;0.002004;0.004008;0.002004;0.002004;0.004008;0.002004;0.002004;0.002004;0.002004;0.004008;0.002004;0.002004;0.002004
ce;0.001684;0.084175;0.001684;0.005051;0.013468;0.003367;0.048822;0.001684;0.055556;0.010101;0.254209;0.085859;0.148148;0.074074;0.001684;0.011785;0.001684;0.050505;0.001684;0.003367;0.033670;0.001684;0.005051;0.069024;0.001684;0.001684;0.008418;0.001684;0.001684;0.001684;0.010101;0.001684;0.001684;0.001684
cy;0.017857;0.035714;0.017857;0.017857;0.017857;0.053571;0.071429;0.017857;0.071429;0.017857;0.142857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.107143;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
c,;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.186047;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
cf;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cu;0.005155;0.128866;0.077320;0.005155;0.005155;0.077320;0.005155;0.005155;0.005155;0.015464;0.005155;0.005155;0.355670;0.103093;0.005155;0.010309;0.005155;0.005155;0.010309;0.005155;0.010309;0.005155;0.072165;0.010309;0.005155;0.005155;0.005155;0.005155;0.015464;0.005155;0.005155;0.005155;0.005155;0.005155
cd;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cm;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cp;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cw;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
c!;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ck;0.003279;0.085246;0.006557;0.019672;0.137705;0.006557;0.016393;0.003279;0.065574;0.019672;0.360656;0.009836;0.032787;0.003279;0.003279;0.068852;0.009836;0.013115;0.009836;0.022951;0.006557;0.006557;0.006557;0.016393;0.003279;0.003279;0.006557;0.003279;0.022951;0.003279;0.013115;0.003279;0.003279;0.003279
cb;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cx;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
c?;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
cz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
c#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)(;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)s;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)t;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)a;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)i;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)c;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
));0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)v;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
).;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)o;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
) ;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)n;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)l;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)r;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)h;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)e;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)y;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
),;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)f;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)u;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)d;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)g;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
)m;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
