smoothed;3
(;b;u;t; ;o;c;h;a;n;g;e;p;i;s;j;y;w;r;);l;k;v;m;f;d;x;#
so;0.000144;0.001151;0.031353;0.002733;0.356105;0.006903;0.041996;0.000144;0.000863;0.133324;0.000431;0.001726;0.005609;0.002301;0.000144;0.000144;0.000863;0.000575;0.098806;0.013663;0.050626;0.000144;0.002445;0.228103;0.003596;0.015389;0.000575;0.000144
sc;0.000919;0.000919;0.092831;0.000919;0.000919;0.143382;0.000919;0.181066;0.136949;0.000919;0.000919;0.090074;0.000919;0.132353;0.000919;0.000919;0.000919;0.000919;0.193934;0.000919;0.011029;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919
sh;0.000234;0.000935;0.014723;0.000935;0.145595;0.323907;0.000234;0.000234;0.061930;0.001636;0.000234;0.218743;0.000467;0.196308;0.000935;0.000234;0.003505;0.000234;0.003272;0.008647;0.003272;0.000234;0.000234;0.012152;0.000467;0.000234;0.000234;0.000234
sa;0.000252;0.004783;0.024673;0.027442;0.011078;0.000504;0.010070;0.000252;0.001007;0.129909;0.029204;0.000252;0.007553;0.168681;0.012840;0.000252;0.323011;0.051108;0.020141;0.002518;0.030211;0.003021;0.025176;0.084844;0.011078;0.019386;0.000504;0.000252
sn;0.001372;0.002743;0.002743;0.828532;0.001372;0.045267;0.001372;0.001372;0.037037;0.001372;0.001372;0.035665;0.001372;0.016461;0.001372;0.001372;0.004115;0.001372;0.001372;0.001372;0.001372;0.001372;0.001372;0.001372;0.001372;0.001372;0.001372;0.001372
sg;0.014925;0.014925;0.462687;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.044776;0.014925;0.014925;0.014925;0.014925;0.119403;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
se;0.000099;0.004075;0.001690;0.015307;0.489812;0.000199;0.029321;0.000398;0.020972;0.061028;0.001789;0.089454;0.003876;0.000795;0.037372;0.000099;0.002684;0.001888;0.063115;0.022364;0.053474;0.000199;0.020873;0.009641;0.001392;0.055462;0.009939;0.002684
sp;0.000677;0.000677;0.008125;0.000677;0.002031;0.174678;0.000677;0.012187;0.083277;0.000677;0.000677;0.487475;0.000677;0.127962;0.000677;0.000677;0.004739;0.000677;0.058903;0.000677;0.028436;0.000677;0.000677;0.000677;0.000677;0.000677;0.000677;0.000677
si;0.000239;0.040899;0.000239;0.111457;0.003588;0.122937;0.109065;0.000239;0.029658;0.187515;0.041378;0.009089;0.003348;0.000239;0.047118;0.000239;0.000239;0.000239;0.011002;0.000239;0.021287;0.000239;0.036355;0.024874;0.000718;0.132983;0.054772;0.009806
ss;0.000304;0.000609;0.057212;0.000304;0.421789;0.033171;0.000304;0.013086;0.055386;0.000609;0.000304;0.123859;0.003043;0.207851;0.000609;0.000304;0.011869;0.001217;0.005478;0.031345;0.006391;0.000304;0.000304;0.011869;0.011564;0.000304;0.000304;0.000304
sj;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
sy;0.001848;0.001848;0.001848;0.001848;0.325323;0.001848;0.092421;0.001848;0.001848;0.027726;0.001848;0.001848;0.003697;0.001848;0.262477;0.001848;0.001848;0.001848;0.081331;0.038817;0.057301;0.001848;0.001848;0.075786;0.001848;0.001848;0.001848;0.001848
sw;0.003984;0.003984;0.003984;0.003984;0.003984;0.067729;0.003984;0.003984;0.107570;0.003984;0.003984;0.545817;0.003984;0.183267;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984
sr;0.006623;0.006623;0.046358;0.006623;0.006623;0.125828;0.006623;0.006623;0.529801;0.006623;0.006623;0.139073;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623
s);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
sl;0.001437;0.001437;0.034483;0.001437;0.001437;0.070402;0.001437;0.001437;0.326149;0.001437;0.001437;0.090517;0.001437;0.181034;0.001437;0.001437;0.265805;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437
sk;0.002151;0.002151;0.006452;0.004301;0.303226;0.012903;0.002151;0.002151;0.040860;0.002151;0.002151;0.219355;0.002151;0.260215;0.008602;0.002151;0.070968;0.002151;0.002151;0.027957;0.006452;0.002151;0.002151;0.002151;0.004301;0.002151;0.002151;0.002151
sv;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
sm;0.001284;0.001284;0.015404;0.001284;0.431322;0.075738;0.001284;0.001284;0.260591;0.001284;0.001284;0.056483;0.001284;0.069320;0.012837;0.001284;0.001284;0.001284;0.001284;0.052632;0.001284;0.001284;0.001284;0.001284;0.001284;0.001284;0.001284;0.001284
sf;0.010309;0.010309;0.412371;0.010309;0.010309;0.092784;0.010309;0.010309;0.020619;0.010309;0.010309;0.164948;0.010309;0.030928;0.010309;0.010309;0.051546;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
sd;0.013699;0.013699;0.013699;0.013699;0.027397;0.082192;0.013699;0.013699;0.465753;0.013699;0.013699;0.082192;0.013699;0.027397;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
sx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
s#;0.010753;0.010753;0.698925;0.010753;0.021505;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
j(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ju;0.000322;0.000644;0.000322;0.000322;0.000322;0.000322;0.000322;0.000644;0.006441;0.015781;0.001932;0.000322;0.000966;0.006441;0.907246;0.000322;0.000322;0.000322;0.007729;0.000322;0.005153;0.001288;0.000322;0.008374;0.000322;0.032528;0.000322;0.000322
jt;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
j ;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.100000;0.050000;0.025000;0.050000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
jo;0.001026;0.230769;0.060513;0.001026;0.007179;0.001026;0.009231;0.204103;0.004103;0.041026;0.003077;0.051282;0.001026;0.063590;0.016410;0.001026;0.081026;0.001026;0.115897;0.002051;0.002051;0.095385;0.001026;0.001026;0.001026;0.001026;0.001026;0.001026
jc;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ja;0.002833;0.005666;0.002833;0.002833;0.008499;0.002833;0.280453;0.002833;0.002833;0.048159;0.019830;0.002833;0.033994;0.141643;0.011331;0.002833;0.025496;0.025496;0.093484;0.005666;0.002833;0.079320;0.011331;0.133144;0.002833;0.008499;0.005666;0.033994
jn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
je;0.002488;0.007463;0.002488;0.032338;0.002488;0.002488;0.216418;0.004975;0.037313;0.007463;0.002488;0.004975;0.002488;0.002488;0.131841;0.002488;0.002488;0.184080;0.159204;0.004975;0.034826;0.002488;0.002488;0.002488;0.134328;0.002488;0.002488;0.004975
jp;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333
ji;0.016667;0.016667;0.016667;0.033333;0.016667;0.016667;0.016667;0.050000;0.016667;0.150000;0.033333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.050000;0.016667;0.033333;0.300000;0.016667;0.016667;0.016667;0.016667
js;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jy;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jr;0.025641;0.025641;0.025641;0.025641;0.282051;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
j);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jl;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jk;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
jv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jm;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jf;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
jd;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
jx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
j#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
y(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yb;0.002475;0.002475;0.002475;0.002475;0.002475;0.430693;0.002475;0.002475;0.009901;0.002475;0.002475;0.495050;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.004950;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475
yu;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.081081;0.027027;0.027027;0.054054;0.054054;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027
yt;0.002075;0.002075;0.002075;0.002075;0.002075;0.004149;0.002075;0.894191;0.018672;0.002075;0.002075;0.006224;0.002075;0.029046;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075
y ;0.000043;0.044553;0.007468;0.137909;0.000258;0.051206;0.042708;0.047686;0.103571;0.022577;0.033222;0.021161;0.032106;0.075114;0.067001;0.012705;0.020903;0.083269;0.024509;0.000129;0.033951;0.010688;0.005880;0.031161;0.043137;0.045283;0.000215;0.001588
yo;0.000108;0.000108;0.929804;0.000434;0.001736;0.000108;0.000108;0.000108;0.000108;0.045893;0.000434;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.019204;0.000108;0.000108;0.000108;0.000108;0.000108;0.000217;0.000108;0.000108;0.000108
yc;0.007576;0.007576;0.007576;0.007576;0.007576;0.015152;0.007576;0.416667;0.030303;0.007576;0.007576;0.015152;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.348485;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576
yh;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ya;0.005128;0.015385;0.005128;0.030769;0.066667;0.005128;0.005128;0.056410;0.005128;0.333333;0.010256;0.005128;0.005128;0.005128;0.015385;0.005128;0.005128;0.005128;0.097436;0.025641;0.200000;0.015385;0.005128;0.020513;0.005128;0.035897;0.005128;0.005128
yn;0.007353;0.007353;0.014706;0.058824;0.154412;0.029412;0.044118;0.007353;0.191176;0.022059;0.007353;0.080882;0.007353;0.169118;0.022059;0.007353;0.014706;0.007353;0.007353;0.051471;0.007353;0.007353;0.007353;0.007353;0.007353;0.029412;0.007353;0.014706
yg;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ye;0.000298;0.002685;0.000298;0.028640;0.011635;0.000298;0.000298;0.000298;0.736874;0.000298;0.000298;0.010143;0.002983;0.000298;0.102029;0.000298;0.000298;0.000298;0.051014;0.001193;0.012530;0.000298;0.000597;0.005072;0.000298;0.030131;0.000298;0.000298
yp;0.005495;0.005495;0.016484;0.109890;0.005495;0.076923;0.005495;0.032967;0.016484;0.010989;0.005495;0.576923;0.005495;0.038462;0.010989;0.005495;0.005495;0.005495;0.010989;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
yi;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.951654;0.001272;0.006361;0.001272;0.001272;0.008906;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.002545;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272
ys;0.000589;0.001179;0.001768;0.114319;0.763701;0.001179;0.000589;0.000589;0.001179;0.000589;0.000589;0.031232;0.000589;0.026517;0.004125;0.000589;0.000589;0.000589;0.000589;0.043017;0.000589;0.000589;0.000589;0.000589;0.001768;0.000589;0.000589;0.000589
yj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yy;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yw;0.006289;0.006289;0.006289;0.006289;0.006289;0.094340;0.006289;0.352201;0.383648;0.006289;0.006289;0.012579;0.006289;0.012579;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289
yr;0.001236;0.001236;0.003708;0.001236;0.003708;0.008653;0.001236;0.001236;0.011125;0.001236;0.001236;0.882571;0.001236;0.059333;0.002472;0.001236;0.001236;0.001236;0.002472;0.002472;0.001236;0.001236;0.001236;0.001236;0.001236;0.001236;0.001236;0.001236
y);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yl;0.005051;0.005051;0.040404;0.005051;0.015152;0.015152;0.005051;0.005051;0.050505;0.005051;0.005051;0.333333;0.005051;0.040404;0.005051;0.005051;0.010101;0.005051;0.005051;0.010101;0.277778;0.005051;0.116162;0.005051;0.005051;0.005051;0.005051;0.005051
yk;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
yv;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.774194;0.008065;0.016129;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065
ym;0.005102;0.071429;0.005102;0.005102;0.071429;0.265306;0.005102;0.005102;0.045918;0.035714;0.005102;0.158163;0.224490;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.020408;0.005102;0.005102;0.005102;0.010204;0.005102;0.005102;0.005102;0.005102
yf;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.239130;0.021739;0.021739;0.021739;0.021739;0.195652;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
yd;0.011494;0.011494;0.011494;0.011494;0.241379;0.022989;0.011494;0.011494;0.218391;0.011494;0.011494;0.137931;0.011494;0.022989;0.034483;0.011494;0.011494;0.011494;0.080460;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
yx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
y#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.184211;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
w(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
wb;0.020000;0.020000;0.020000;0.020000;0.020000;0.160000;0.020000;0.020000;0.180000;0.020000;0.020000;0.080000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
wu;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wt;0.023256;0.023256;0.046512;0.023256;0.093023;0.069767;0.023256;0.232558;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
w ;0.000174;0.031283;0.015468;0.183003;0.000521;0.035280;0.020681;0.064824;0.086548;0.013382;0.013903;0.019639;0.021376;0.129128;0.041363;0.011470;0.072298;0.108794;0.012687;0.000174;0.025547;0.003476;0.001912;0.036323;0.021376;0.027633;0.000174;0.001564
wo;0.000285;0.000571;0.313267;0.000285;0.140656;0.009415;0.000285;0.000285;0.000285;0.057917;0.000285;0.001141;0.000285;0.000285;0.000285;0.000285;0.000285;0.015977;0.391726;0.002568;0.005706;0.003994;0.000285;0.052496;0.000285;0.000285;0.000285;0.000285
wc;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
wh;0.000131;0.000131;0.000131;0.000131;0.000131;0.233381;0.000131;0.000131;0.298942;0.000131;0.000131;0.255061;0.000131;0.144704;0.000131;0.000131;0.064908;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131
wa;0.000146;0.000584;0.000146;0.052593;0.000292;0.000146;0.000877;0.000292;0.000146;0.158072;0.008619;0.000146;0.000438;0.015486;0.451717;0.000146;0.184368;0.000292;0.069978;0.000438;0.041782;0.003798;0.005698;0.000584;0.000730;0.002045;0.000292;0.000146
wn;0.001166;0.002331;0.001166;0.008159;0.794872;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.051282;0.002331;0.011655;0.031469;0.001166;0.003497;0.002331;0.001166;0.062937;0.006993;0.001166;0.001166;0.001166;0.003497;0.001166;0.001166;0.001166
wg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
we;0.000145;0.006366;0.000145;0.001447;0.320168;0.000145;0.000145;0.000145;0.031250;0.057726;0.000579;0.078993;0.000579;0.022425;0.023582;0.000145;0.000145;0.000145;0.283999;0.003617;0.111545;0.000145;0.031829;0.000145;0.000145;0.024016;0.000145;0.000145
wp;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
wi;0.000236;0.000236;0.000236;0.542433;0.000236;0.000236;0.004715;0.000236;0.000236;0.119048;0.001179;0.001179;0.004479;0.000236;0.038190;0.000236;0.000236;0.000236;0.002593;0.000236;0.248468;0.002122;0.000943;0.002357;0.015559;0.012258;0.000236;0.001414
ws;0.001946;0.001946;0.023346;0.003891;0.819066;0.003891;0.001946;0.001946;0.001946;0.001946;0.001946;0.015564;0.027237;0.003891;0.001946;0.001946;0.001946;0.005837;0.003891;0.052529;0.003891;0.003891;0.001946;0.003891;0.001946;0.001946;0.001946;0.001946
wj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
wy;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085;0.591549;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085;0.014085
ww;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
