smoothed;3
(;w;h;o;s; ;l;i;b;e;r;a;c;);y;u;m;n;k;p;d;t;g;x;v;f;j;q;z;.;,;#
 j;0.000412;0.000823;0.000412;0.153561;0.000412;0.000823;0.000412;0.021820;0.000412;0.054343;0.011116;0.063812;0.000412;0.000412;0.000412;0.682174;0.000412;0.000412;0.001647;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412;0.000823;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412
 q;0.001873;0.001873;0.001873;0.001873;0.001873;0.007491;0.001873;0.003745;0.001873;0.001873;0.003745;0.005618;0.001873;0.001873;0.001873;0.928839;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873;0.001873
 z;0.010526;0.010526;0.010526;0.242105;0.010526;0.084211;0.010526;0.052632;0.010526;0.252632;0.010526;0.010526;0.010526;0.010526;0.042105;0.042105;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.021053;0.010526;0.010526;0.010526
 .;0.017544;0.017544;0.017544;0.017544;0.017544;0.333333;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.140351;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
 ,;0.018182;0.018182;0.018182;0.018182;0.018182;0.345455;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.109091;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
 #;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
l(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
lw;0.004115;0.004115;0.004115;0.008230;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.864198;0.008230;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115;0.004115
lh;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
lo;0.000347;0.130208;0.000347;0.189583;0.067014;0.012500;0.000347;0.001042;0.011806;0.000694;0.027083;0.014583;0.033333;0.001736;0.013889;0.029861;0.000347;0.115972;0.000347;0.013194;0.002431;0.182292;0.081944;0.000694;0.063889;0.000347;0.000347;0.002083;0.000694;0.000347;0.000347;0.000347
ls;0.001114;0.001114;0.005568;0.278396;0.001114;0.400891;0.001114;0.005568;0.004454;0.185969;0.001114;0.003341;0.001114;0.081292;0.003341;0.001114;0.001114;0.001114;0.001114;0.001114;0.001114;0.006682;0.001114;0.001114;0.001114;0.001114;0.001114;0.001114;0.001114;0.001114;0.001114;0.001114
l ;0.000168;0.057321;0.041015;0.069255;0.059506;0.002521;0.036645;0.100857;0.050933;0.013952;0.042864;0.089091;0.038326;0.001345;0.053622;0.007228;0.037317;0.020171;0.009077;0.033619;0.027231;0.134140;0.026727;0.000336;0.007900;0.025887;0.009077;0.003194;0.000168;0.000168;0.000168;0.000168
ll;0.000133;0.000666;0.000133;0.035562;0.017048;0.436867;0.000400;0.056873;0.001465;0.067528;0.000666;0.020911;0.000533;0.061268;0.289691;0.001865;0.001998;0.001465;0.000266;0.000666;0.000133;0.001066;0.000133;0.000133;0.000133;0.001598;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133
li;0.000146;0.000146;0.001464;0.020053;0.083577;0.001171;0.000732;0.000146;0.016247;0.073624;0.000439;0.018296;0.071136;0.000146;0.000146;0.000732;0.014930;0.105386;0.319965;0.017711;0.003806;0.115925;0.023712;0.000732;0.037178;0.047717;0.000146;0.000585;0.023566;0.000146;0.000146;0.000146
lb;0.016129;0.016129;0.016129;0.209677;0.016129;0.016129;0.016129;0.032258;0.016129;0.177419;0.016129;0.064516;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.032258;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
le;0.000133;0.002256;0.000265;0.000929;0.068888;0.402310;0.001062;0.000398;0.003451;0.006371;0.017388;0.082825;0.012742;0.074728;0.003716;0.000398;0.026812;0.028803;0.000265;0.001195;0.050040;0.105787;0.054154;0.005442;0.016326;0.032254;0.000133;0.000265;0.000265;0.000133;0.000133;0.000133
lr;0.005376;0.005376;0.005376;0.010753;0.005376;0.021505;0.005376;0.252688;0.005376;0.553763;0.005376;0.005376;0.005376;0.005376;0.016129;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376
la;0.000312;0.079776;0.005921;0.000312;0.084450;0.027111;0.000623;0.070115;0.020567;0.000312;0.127142;0.000312;0.123403;0.004986;0.054846;0.053911;0.022125;0.092241;0.005609;0.006544;0.042692;0.152072;0.005609;0.004674;0.009660;0.000312;0.000312;0.000623;0.002493;0.000312;0.000312;0.000312
lc;0.013699;0.013699;0.027397;0.438356;0.013699;0.013699;0.013699;0.027397;0.013699;0.027397;0.068493;0.041096;0.013699;0.013699;0.013699;0.027397;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
l);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ly;0.000211;0.004861;0.000211;0.000423;0.004438;0.810017;0.000211;0.007185;0.000211;0.000423;0.000423;0.001057;0.000211;0.157227;0.000211;0.000423;0.001479;0.004227;0.000423;0.000845;0.000211;0.000634;0.000845;0.000423;0.000211;0.000423;0.000211;0.000211;0.001479;0.000211;0.000211;0.000211
lu;0.001466;0.001466;0.001466;0.001466;0.165689;0.008798;0.001466;0.004399;0.143695;0.092375;0.035191;0.011730;0.032258;0.001466;0.001466;0.001466;0.041056;0.049853;0.005865;0.002933;0.127566;0.228739;0.014663;0.008798;0.001466;0.004399;0.001466;0.001466;0.001466;0.001466;0.001466;0.001466
lm;0.004184;0.004184;0.004184;0.359833;0.054393;0.259414;0.008368;0.037657;0.004184;0.100418;0.004184;0.041841;0.004184;0.029289;0.004184;0.004184;0.008368;0.008368;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184
ln;0.019231;0.019231;0.019231;0.019231;0.038462;0.038462;0.019231;0.019231;0.019231;0.346154;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
lk;0.001164;0.001164;0.001164;0.002328;0.054715;0.299185;0.001164;0.357392;0.002328;0.194412;0.001164;0.002328;0.001164;0.057043;0.001164;0.001164;0.002328;0.002328;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164
lp;0.006329;0.006329;0.050633;0.018987;0.063291;0.373418;0.012658;0.069620;0.006329;0.107595;0.031646;0.031646;0.006329;0.069620;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.037975;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329
ld;0.000357;0.002857;0.001429;0.002857;0.014643;0.720000;0.002857;0.013571;0.001786;0.018571;0.022143;0.000357;0.000714;0.105000;0.000714;0.001071;0.003214;0.078929;0.000357;0.000357;0.000357;0.000714;0.000357;0.000357;0.003214;0.001071;0.000357;0.000357;0.000357;0.000357;0.000357;0.000357
lt;0.001239;0.002478;0.214374;0.009913;0.029740;0.276332;0.001239;0.070632;0.001239;0.073110;0.033457;0.013631;0.001239;0.058240;0.034696;0.154895;0.002478;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.003717;0.001239;0.001239;0.001239
lg;0.013333;0.013333;0.013333;0.133333;0.013333;0.013333;0.013333;0.186667;0.213333;0.040000;0.013333;0.066667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
lx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
lv;0.005319;0.005319;0.005319;0.010638;0.005319;0.010638;0.005319;0.042553;0.005319;0.781915;0.005319;0.010638;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319
lf;0.002146;0.004292;0.006438;0.004292;0.008584;0.615880;0.004292;0.072961;0.002146;0.034335;0.019313;0.038627;0.006438;0.105150;0.002146;0.002146;0.002146;0.002146;0.002146;0.017167;0.019313;0.006438;0.002146;0.002146;0.002146;0.002146;0.002146;0.002146;0.002146;0.002146;0.002146;0.002146
lj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
lq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
lz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
l.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
l,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
l#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
iw;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ih;0.021739;0.021739;0.021739;0.239130;0.043478;0.043478;0.021739;0.043478;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
io;0.000273;0.000818;0.000273;0.000273;0.007636;0.025907;0.055904;0.001091;0.001091;0.000273;0.019907;0.000273;0.003272;0.003545;0.000273;0.082356;0.000545;0.772293;0.000273;0.001091;0.008181;0.006545;0.001636;0.003818;0.000545;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273
is;0.000098;0.000098;0.023306;0.009988;0.029867;0.587642;0.008226;0.020564;0.000196;0.024285;0.004211;0.015864;0.014591;0.093713;0.000685;0.000881;0.026244;0.011555;0.003036;0.002938;0.000783;0.117117;0.002644;0.000098;0.000098;0.000392;0.000098;0.000392;0.000098;0.000098;0.000098;0.000098
i ;0.000155;0.143543;0.060545;0.005265;0.054506;0.000465;0.024311;0.025085;0.018427;0.004181;0.021833;0.054506;0.048312;0.000310;0.005574;0.010684;0.058532;0.011768;0.054971;0.009755;0.156395;0.127129;0.051719;0.000155;0.001239;0.022298;0.026788;0.000929;0.000155;0.000155;0.000155;0.000155
il;0.000356;0.000356;0.000356;0.008890;0.018848;0.071124;0.470839;0.086771;0.001067;0.108464;0.000711;0.029516;0.000356;0.013158;0.079659;0.002489;0.014936;0.000356;0.001422;0.000711;0.065789;0.018492;0.000356;0.000356;0.001778;0.000711;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356
ii;0.015625;0.015625;0.015625;0.015625;0.031250;0.281250;0.015625;0.171875;0.015625;0.015625;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.031250;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
ib;0.001695;0.001695;0.001695;0.001695;0.003390;0.003390;0.425424;0.089831;0.006780;0.330508;0.013559;0.011864;0.001695;0.003390;0.001695;0.074576;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695
ie;0.000425;0.102804;0.000425;0.000425;0.248513;0.070093;0.022090;0.000425;0.000425;0.000425;0.054376;0.000425;0.017842;0.019116;0.000425;0.002974;0.000850;0.143585;0.000850;0.000850;0.076041;0.066270;0.004673;0.000850;0.142311;0.019966;0.000425;0.000425;0.000425;0.000425;0.000425;0.000425
ir;0.000455;0.000455;0.000455;0.030055;0.176230;0.266393;0.051002;0.030055;0.000911;0.203097;0.009563;0.027322;0.017304;0.061931;0.006831;0.000455;0.018215;0.003188;0.002277;0.004098;0.033698;0.042350;0.009107;0.000455;0.000455;0.000911;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455
ia;0.000593;0.000593;0.000593;0.000593;0.021945;0.140569;0.324437;0.001779;0.020166;0.000593;0.037367;0.001186;0.005931;0.026097;0.000593;0.020166;0.010083;0.217082;0.000593;0.001779;0.001186;0.144721;0.016014;0.000593;0.000593;0.000593;0.000593;0.000593;0.000593;0.000593;0.000593;0.000593
ic;0.000232;0.000232;0.111214;0.007183;0.036376;0.132067;0.019694;0.059546;0.000232;0.146664;0.004634;0.223123;0.000695;0.075070;0.010426;0.024096;0.000232;0.000232;0.089898;0.000232;0.000232;0.055144;0.000232;0.000232;0.000232;0.000232;0.000232;0.000232;0.000232;0.000232;0.000232;0.000463
i);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
iy;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
iu;0.013333;0.013333;0.013333;0.013333;0.186667;0.066667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.360000;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
im;0.000275;0.000275;0.000550;0.004948;0.029687;0.422760;0.000550;0.035184;0.002474;0.228147;0.000550;0.051127;0.000275;0.067620;0.000275;0.007422;0.051677;0.000275;0.000275;0.092358;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275
in;0.000052;0.000052;0.001188;0.003151;0.023551;0.182522;0.003512;0.026185;0.000207;0.044830;0.000052;0.016372;0.020297;0.028096;0.001343;0.006043;0.000516;0.004287;0.070757;0.000671;0.055108;0.066780;0.429449;0.000052;0.005785;0.008109;0.000620;0.000207;0.000052;0.000052;0.000052;0.000052
ik;0.000437;0.000437;0.000437;0.000874;0.000437;0.001747;0.000437;0.008737;0.000437;0.973351;0.000437;0.001311;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.002621;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437
ip;0.001949;0.001949;0.023392;0.007797;0.066277;0.385965;0.074074;0.009747;0.001949;0.048733;0.003899;0.076023;0.001949;0.064327;0.001949;0.003899;0.013645;0.001949;0.001949;0.099415;0.001949;0.083821;0.001949;0.001949;0.001949;0.005848;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949
id;0.000273;0.000273;0.000273;0.001364;0.035188;0.364157;0.003819;0.018276;0.000818;0.340153;0.000546;0.018549;0.000546;0.056192;0.000546;0.012002;0.000546;0.116203;0.000273;0.000273;0.020458;0.000818;0.005456;0.000273;0.000273;0.000818;0.000273;0.000273;0.000273;0.000273;0.000273;0.000273
it;0.000084;0.000084;0.163085;0.003456;0.206490;0.321281;0.006827;0.054952;0.000506;0.062958;0.000506;0.013485;0.004383;0.053097;0.047535;0.009692;0.000590;0.001011;0.000084;0.000253;0.001011;0.045849;0.000084;0.000084;0.000084;0.000253;0.000084;0.000084;0.001601;0.000253;0.000084;0.000169
ig;0.000310;0.000310;0.721981;0.000619;0.001548;0.052941;0.000929;0.020743;0.000310;0.011765;0.020124;0.049845;0.000310;0.009907;0.000310;0.014551;0.001548;0.058824;0.000310;0.000619;0.000310;0.000619;0.028483;0.000310;0.000310;0.000310;0.000310;0.000310;0.000310;0.000310;0.000310;0.000310
ix;0.006623;0.006623;0.006623;0.033113;0.006623;0.509934;0.006623;0.019868;0.006623;0.046358;0.006623;0.013245;0.006623;0.099338;0.026490;0.013245;0.006623;0.006623;0.006623;0.006623;0.006623;0.079470;0.006623;0.006623;0.006623;0.013245;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623
iv;0.000445;0.000445;0.000445;0.013790;0.000445;0.004004;0.000445;0.149911;0.000445;0.779804;0.000445;0.040036;0.000445;0.000445;0.000890;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445;0.000445
if;0.000402;0.000402;0.000402;0.008048;0.000402;0.467203;0.020523;0.101408;0.000402;0.132394;0.000402;0.002817;0.000402;0.055936;0.039839;0.010865;0.000402;0.000402;0.000402;0.000402;0.000402;0.030181;0.000402;0.000402;0.000402;0.122334;0.000402;0.000402;0.000402;0.000402;0.000402;0.000402
ij;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.022727;0.045455;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
iq;0.016667;0.016667;0.016667;0.016667;0.016667;0.033333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.466667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
iz;0.002141;0.002141;0.002141;0.012848;0.002141;0.008565;0.002141;0.079229;0.002141;0.633833;0.002141;0.167024;0.002141;0.006424;0.002141;0.012848;0.004283;0.004283;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.023555;0.002141;0.002141;0.002141
i.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
i,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
i#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bh;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bo;0.000371;0.004446;0.001112;0.080771;0.004076;0.004076;0.007781;0.002223;0.008522;0.000741;0.086699;0.014450;0.001482;0.000371;0.037421;0.529826;0.007410;0.015932;0.000741;0.000741;0.100037;0.067432;0.002223;0.011486;0.007040;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371
bs;0.002571;0.002571;0.002571;0.293059;0.002571;0.133676;0.015424;0.074550;0.002571;0.061697;0.002571;0.002571;0.182519;0.051414;0.002571;0.046272;0.002571;0.002571;0.002571;0.002571;0.002571;0.082262;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571
b ;0.003597;0.075540;0.025180;0.068345;0.039568;0.003597;0.021583;0.133094;0.043165;0.010791;0.025180;0.115108;0.003597;0.003597;0.050360;0.014388;0.068345;0.017986;0.007194;0.032374;0.043165;0.082734;0.032374;0.003597;0.007194;0.046763;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597
bl;0.000587;0.000587;0.000587;0.044040;0.000587;0.000587;0.000587;0.148561;0.000587;0.495596;0.002349;0.156782;0.000587;0.000587;0.119201;0.018790;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587;0.000587
bi;0.000907;0.000907;0.000907;0.052584;0.025385;0.026292;0.215775;0.000907;0.010879;0.026292;0.041704;0.049864;0.005440;0.007253;0.000907;0.000907;0.000907;0.091568;0.004533;0.000907;0.017226;0.181324;0.223028;0.000907;0.000907;0.000907;0.000907;0.001813;0.005440;0.000907;0.000907;0.000907
bb;0.008333;0.008333;0.008333;0.016667;0.008333;0.016667;0.100000;0.208333;0.008333;0.208333;0.008333;0.066667;0.041667;0.008333;0.133333;0.016667;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333
be;0.000151;0.000755;0.014644;0.000151;0.019777;0.248490;0.071256;0.052234;0.000151;0.103261;0.091335;0.018871;0.208484;0.044988;0.003321;0.000151;0.000151;0.018720;0.000151;0.000151;0.010417;0.039855;0.008605;0.000151;0.001057;0.041818;0.000151;0.000151;0.000151;0.000151;0.000151;0.000151
br;0.001332;0.001332;0.001332;0.207723;0.001332;0.001332;0.001332;0.288948;0.001332;0.230360;0.002663;0.187750;0.001332;0.001332;0.011984;0.037284;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332;0.001332
ba;0.000586;0.000586;0.001172;0.000586;0.129467;0.007030;0.059754;0.011131;0.127709;0.000586;0.056825;0.002343;0.277094;0.001172;0.002929;0.001757;0.045108;0.084944;0.006444;0.005858;0.092560;0.063269;0.015817;0.000586;0.000586;0.000586;0.000586;0.000586;0.000586;0.000586;0.000586;0.000586
bc;0.010870;0.010870;0.010870;0.021739;0.032609;0.304348;0.010870;0.010870;0.010870;0.010870;0.010870;0.086957;0.010870;0.076087;0.010870;0.184783;0.010870;0.010870;0.010870;0.010870;0.021739;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
b);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
by;0.001241;0.001241;0.001241;0.001241;0.011166;0.806452;0.006203;0.002481;0.001241;0.007444;0.002481;0.001241;0.001241;0.126551;0.001241;0.001241;0.001241;0.001241;0.001241;0.007444;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241;0.001241
