smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
rd;0.000838;0.002515;0.131601;0.021794;0.000838;0.032691;0.002515;0.442582;0.000838;0.000838;0.000838;0.124057;0.073764;0.000838;0.001676;0.071249;0.000838;0.001676;0.000838;0.067058;0.000838;0.001676;0.007544;0.000838;0.000838;0.001676;0.000838;0.000838;0.001676;0.000838;0.000838;0.000838;0.000838
rs;0.000355;0.000709;0.106066;0.000355;0.001064;0.085491;0.000709;0.458319;0.156084;0.002838;0.009223;0.000355;0.046116;0.000709;0.000355;0.015963;0.000355;0.023058;0.000355;0.067755;0.000355;0.017382;0.001774;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.001064;0.000355;0.000355;0.000355
ra;0.000241;0.006981;0.022147;0.097256;0.100626;0.004333;0.032258;0.028647;0.297063;0.017333;0.026240;0.018777;0.000241;0.012037;0.004333;0.054887;0.000722;0.012759;0.150698;0.006018;0.004815;0.009870;0.006259;0.002407;0.031295;0.018055;0.025518;0.000241;0.006981;0.000241;0.000241;0.000241;0.000241
rv;0.002439;0.002439;0.246341;0.002439;0.002439;0.031707;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.226829;0.002439;0.002439;0.424390;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439
rr;0.001171;0.001171;0.228337;0.001171;0.001171;0.107728;0.001171;0.005855;0.001171;0.001171;0.001171;0.004684;0.091335;0.001171;0.001171;0.235363;0.001171;0.004684;0.001171;0.005855;0.001171;0.092506;0.196721;0.001171;0.001171;0.001171;0.001171;0.001171;0.001171;0.001171;0.001171;0.001171;0.001171
ri;0.000197;0.000197;0.098994;0.016762;0.142181;0.036679;0.051469;0.001972;0.104516;0.010254;0.027805;0.055413;0.028988;0.022284;0.000197;0.000197;0.000986;0.000197;0.118911;0.000592;0.015382;0.001380;0.001183;0.008282;0.210807;0.028594;0.014001;0.000592;0.000197;0.000197;0.000197;0.000197;0.000197
rj;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.094340;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.320755;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
rh;0.008696;0.008696;0.165217;0.008696;0.008696;0.286957;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.252174;0.008696;0.008696;0.017391;0.008696;0.008696;0.008696;0.008696;0.008696;0.017391;0.026087;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
rn;0.000958;0.000958;0.243295;0.002874;0.003831;0.068966;0.174330;0.158046;0.000958;0.000958;0.001916;0.043103;0.098659;0.000958;0.000958;0.150383;0.000958;0.000958;0.000958;0.027778;0.000958;0.000958;0.006705;0.000958;0.000958;0.000958;0.000958;0.000958;0.000958;0.000958;0.000958;0.000958;0.000958
r);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rf;0.006623;0.006623;0.350993;0.006623;0.006623;0.059603;0.006623;0.019868;0.006623;0.006623;0.006623;0.006623;0.092715;0.006623;0.019868;0.019868;0.006623;0.006623;0.006623;0.013245;0.006623;0.258278;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623
ru;0.000378;0.000378;0.049453;0.035108;0.036240;0.000755;0.532654;0.001133;0.030955;0.035108;0.016233;0.118913;0.003020;0.000378;0.002265;0.010948;0.000378;0.000378;0.087958;0.000378;0.000378;0.000378;0.000378;0.000378;0.018875;0.010570;0.003398;0.000755;0.000378;0.000378;0.000378;0.000378;0.000378
ry;0.000358;0.004292;0.000715;0.003219;0.001073;0.061874;0.001788;0.590844;0.045780;0.001431;0.002146;0.006438;0.054721;0.000358;0.000358;0.078326;0.000358;0.000358;0.000715;0.115880;0.000358;0.000358;0.000358;0.000358;0.000358;0.024678;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358
rk;0.001393;0.001393;0.201950;0.019499;0.001393;0.027855;0.001393;0.433148;0.001393;0.002786;0.001393;0.073816;0.022284;0.001393;0.001393;0.114206;0.001393;0.001393;0.002786;0.065460;0.001393;0.002786;0.002786;0.001393;0.001393;0.002786;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393
rg;0.001558;0.001558;0.420561;0.004673;0.001558;0.028037;0.001558;0.023364;0.001558;0.001558;0.001558;0.003115;0.146417;0.001558;0.001558;0.105919;0.001558;0.014019;0.001558;0.009346;0.001558;0.197819;0.012461;0.001558;0.001558;0.001558;0.001558;0.001558;0.001558;0.001558;0.001558;0.001558;0.001558
rb;0.011364;0.011364;0.068182;0.045455;0.011364;0.068182;0.011364;0.022727;0.011364;0.011364;0.011364;0.022727;0.306818;0.011364;0.011364;0.113636;0.011364;0.011364;0.022727;0.034091;0.011364;0.022727;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
rz;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
rx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
r.;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.603053;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.160305;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634
r,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ré;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
r#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
iw;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ie;0.000470;0.098307;0.000470;0.023989;0.040452;0.000941;0.000470;0.063029;0.022107;0.000470;0.111947;0.269991;0.000470;0.151458;0.047037;0.000470;0.000470;0.000470;0.111007;0.008467;0.034337;0.005174;0.000470;0.000470;0.000941;0.002822;0.000470;0.000470;0.000470;0.000470;0.000470;0.000470;0.000470
il;0.000372;0.000743;0.094424;0.494052;0.001487;0.003346;0.003346;0.076952;0.024907;0.000372;0.060223;0.022305;0.020818;0.005948;0.000372;0.105948;0.000372;0.000372;0.001115;0.011524;0.000372;0.004833;0.059851;0.001115;0.000743;0.001115;0.000372;0.000372;0.000372;0.000372;0.000372;0.000372;0.000743
ic;0.000197;0.000197;0.107529;0.007863;0.000197;0.008846;0.000197;0.101238;0.052683;0.000197;0.000197;0.038726;0.339689;0.000197;0.002949;0.065658;0.000197;0.149794;0.000197;0.024769;0.000197;0.021820;0.024376;0.049538;0.000197;0.000983;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197
io;0.000235;0.003523;0.000235;0.023016;0.000705;0.000235;0.000235;0.018788;0.008690;0.000235;0.006106;0.003758;0.000235;0.000235;0.021606;0.000235;0.000235;0.000235;0.845467;0.003288;0.000235;0.059887;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235
im;0.000298;0.000298;0.263487;0.000298;0.000298;0.023845;0.043219;0.331446;0.000298;0.107303;0.000298;0.035171;0.067660;0.000298;0.000298;0.056930;0.000298;0.000298;0.000298;0.049776;0.000298;0.010432;0.000298;0.000298;0.000298;0.004173;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298
i ;0.000229;0.128463;0.003893;0.022670;0.030456;0.003893;0.140829;0.000229;0.199908;0.008473;0.122739;0.046256;0.048546;0.001603;0.019235;0.023357;0.021754;0.051294;0.009847;0.000229;0.023815;0.005038;0.004809;0.028853;0.036638;0.014655;0.000458;0.000229;0.000687;0.000229;0.000229;0.000229;0.000229
it;0.000090;0.000090;0.080018;0.004060;0.007848;0.004871;0.001173;0.295986;0.049256;0.000090;0.000631;0.178439;0.015697;0.000090;0.000541;0.090032;0.000090;0.148760;0.003428;0.046008;0.000180;0.011186;0.056834;0.001443;0.000180;0.001083;0.001173;0.000090;0.000090;0.000090;0.000090;0.000180;0.000180
ip;0.002160;0.002160;0.030238;0.209503;0.002160;0.002160;0.004320;0.282937;0.028078;0.099352;0.002160;0.086393;0.077754;0.002160;0.017279;0.030238;0.002160;0.006479;0.002160;0.064795;0.004320;0.012959;0.006479;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160;0.002160
id;0.000269;0.001880;0.378625;0.001880;0.000269;0.001074;0.000269;0.324114;0.012889;0.000269;0.018260;0.025242;0.054243;0.000269;0.000269;0.023362;0.000269;0.000269;0.089420;0.050483;0.000269;0.011815;0.000806;0.000269;0.000806;0.000537;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269
is;0.000090;0.000090;0.026214;0.007567;0.014593;0.010450;0.013783;0.611476;0.094316;0.003243;0.001531;0.033150;0.013422;0.000090;0.009098;0.023061;0.000090;0.015224;0.008107;0.104045;0.000540;0.000540;0.000901;0.004054;0.002973;0.000360;0.000090;0.000090;0.000450;0.000090;0.000090;0.000090;0.000090
ia;0.000567;0.000567;0.002834;0.328231;0.003968;0.000567;0.010204;0.216553;0.104875;0.000567;0.000567;0.030045;0.000567;0.000567;0.029478;0.002268;0.000567;0.001134;0.199546;0.044785;0.000567;0.003968;0.000567;0.000567;0.003968;0.007937;0.000567;0.000567;0.000567;0.000567;0.000567;0.000567;0.000567
iv;0.000629;0.000629;0.769037;0.000629;0.000629;0.007552;0.000629;0.003776;0.000629;0.000629;0.000629;0.000629;0.047829;0.000629;0.000629;0.153556;0.000629;0.000629;0.000629;0.000629;0.000629;0.000629;0.001259;0.000629;0.000629;0.000629;0.000629;0.000629;0.000629;0.000629;0.000629;0.000629;0.000629
ir;0.000467;0.000467;0.198880;0.012138;0.017740;0.010271;0.032213;0.261905;0.034547;0.002334;0.038749;0.127918;0.138189;0.001867;0.013539;0.028478;0.000467;0.000467;0.000934;0.052754;0.000934;0.001401;0.002334;0.002334;0.014006;0.001401;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467
ii;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.173913;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.065217;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
ij;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
ih;0.025641;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
in;0.000047;0.000047;0.030645;0.002515;0.022122;0.002375;0.000279;0.200075;0.064177;0.000233;0.039912;0.024218;0.019374;0.017232;0.000047;0.019188;0.000233;0.000373;0.005728;0.033532;0.010199;0.004890;0.000978;0.075261;0.425717;0.000093;0.000047;0.000140;0.000140;0.000047;0.000047;0.000047;0.000047
i);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
if;0.000563;0.000563;0.066967;0.001688;0.000563;0.019133;0.000563;0.513225;0.038267;0.000563;0.000563;0.001688;0.001125;0.000563;0.000563;0.087226;0.000563;0.000563;0.000563;0.059088;0.150253;0.009004;0.040518;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563
iu;0.011364;0.011364;0.011364;0.250000;0.011364;0.011364;0.204545;0.011364;0.011364;0.011364;0.011364;0.204545;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
iy;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
ik;0.000387;0.000387;0.974874;0.000387;0.000387;0.000773;0.000387;0.000387;0.001160;0.000387;0.000387;0.000387;0.001546;0.000387;0.000387;0.005412;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.005798;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
ig;0.000319;0.000319;0.034142;0.000957;0.000319;0.003191;0.000957;0.065731;0.000319;0.000319;0.000319;0.001276;0.082642;0.000319;0.029994;0.009892;0.000319;0.544671;0.159221;0.011168;0.000319;0.029355;0.000319;0.000319;0.020740;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319
ib;0.001658;0.001658;0.162521;0.515755;0.001658;0.014925;0.001658;0.008292;0.001658;0.001658;0.001658;0.013267;0.024876;0.001658;0.009950;0.135987;0.001658;0.001658;0.001658;0.001658;0.001658;0.053068;0.014925;0.001658;0.001658;0.009950;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658
iz;0.002283;0.002283;0.534247;0.002283;0.002283;0.059361;0.002283;0.013699;0.002283;0.002283;0.002283;0.002283;0.203196;0.002283;0.002283;0.095890;0.002283;0.002283;0.002283;0.004566;0.002283;0.013699;0.002283;0.002283;0.002283;0.002283;0.018265;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283
ix;0.007353;0.007353;0.132353;0.007353;0.007353;0.088235;0.007353;0.419118;0.066176;0.014706;0.007353;0.007353;0.007353;0.007353;0.007353;0.014706;0.007353;0.007353;0.007353;0.073529;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353
iq;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.084746;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.033898;0.016949;0.372881;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
i.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ié;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
j(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
je;0.004926;0.137931;0.009852;0.004926;0.315271;0.059113;0.004926;0.004926;0.029557;0.004926;0.004926;0.014778;0.029557;0.004926;0.088670;0.004926;0.004926;0.004926;0.044335;0.004926;0.152709;0.004926;0.004926;0.004926;0.004926;0.009852;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926
jl;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jc;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
jo;0.001181;0.001181;0.068477;0.001181;0.001181;0.001181;0.001181;0.003542;0.001181;0.001181;0.001181;0.014168;0.003542;0.001181;0.081464;0.042503;0.001181;0.299882;0.077922;0.001181;0.001181;0.079103;0.028335;0.094451;0.001181;0.181818;0.001181;0.001181;0.001181;0.001181;0.001181;0.001181;0.001181
jm;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
j ;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.069767;0.046512;0.023256;0.046512;0.069767;0.023256;0.046512;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
jt;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jp;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jd;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
js;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ja;0.003876;0.007752;0.003876;0.015504;0.135659;0.003876;0.193798;0.003876;0.003876;0.065891;0.019380;0.015504;0.003876;0.007752;0.155039;0.100775;0.003876;0.019380;0.073643;0.003876;0.007752;0.003876;0.038760;0.062016;0.003876;0.003876;0.015504;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876
jv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jr;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.388889;0.018519;0.018519;0.018519
ji;0.017857;0.017857;0.017857;0.107143;0.017857;0.017857;0.232143;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.107143;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
jj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jh;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jn;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
j);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jf;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ju;0.000576;0.000576;0.000576;0.012097;0.000576;0.000576;0.014401;0.000576;0.000576;0.000576;0.085829;0.834101;0.002304;0.001152;0.013825;0.000576;0.000576;0.000576;0.021313;0.000576;0.000576;0.000576;0.000576;0.000576;0.000576;0.000576;0.000576;0.001152;0.000576;0.000576;0.000576;0.000576;0.000576
jy;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
jb;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
