smoothed;3
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
nl;0.001350;0.001350;0.117409;0.001350;0.012146;0.001350;0.132254;0.001350;0.001350;0.001350;0.001350;0.001350;0.013495;0.001350;0.001350;0.685560;0.002699;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350;0.001350
no;0.000081;0.000081;0.000162;0.002921;0.000568;0.126481;0.000892;0.026448;0.000162;0.012251;0.001379;0.025637;0.000162;0.345205;0.017443;0.001460;0.014360;0.000568;0.003002;0.001947;0.004543;0.000487;0.010466;0.001379;0.400779;0.000081;0.000081;0.000081;0.000406;0.000243;0.000081;0.000081;0.000081
n ;0.000038;0.027071;0.024288;0.033172;0.057193;0.004919;0.135471;0.032409;0.022191;0.011134;0.016929;0.017844;0.114233;0.203531;0.001144;0.061692;0.008160;0.005529;0.024822;0.025737;0.047203;0.021733;0.035688;0.003889;0.057040;0.000038;0.000572;0.005834;0.000153;0.000153;0.000114;0.000038;0.000038
ni;0.000297;0.005636;0.037081;0.001483;0.051913;0.005933;0.000297;0.048947;0.000297;0.218333;0.024622;0.000297;0.021359;0.262830;0.001187;0.000297;0.001187;0.001187;0.113319;0.005933;0.111540;0.018985;0.000890;0.022842;0.000297;0.026402;0.013646;0.000297;0.001483;0.000297;0.000297;0.000297;0.000297
nm;0.003012;0.003012;0.846386;0.003012;0.003012;0.003012;0.006024;0.003012;0.003012;0.003012;0.003012;0.003012;0.036145;0.003012;0.003012;0.003012;0.024096;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012;0.003012
nd;0.000064;0.000255;0.069359;0.003630;0.010254;0.703395;0.035284;0.001656;0.000064;0.000255;0.000510;0.008343;0.016241;0.000127;0.101841;0.002229;0.004522;0.000064;0.000064;0.001146;0.038087;0.000828;0.000510;0.000064;0.000637;0.000064;0.000064;0.000064;0.000064;0.000064;0.000127;0.000064;0.000064
nn;0.000575;0.000575;0.148276;0.000575;0.060920;0.008046;0.090805;0.000575;0.000575;0.000575;0.000575;0.000575;0.626437;0.000575;0.000575;0.043103;0.004598;0.000575;0.000575;0.000575;0.003448;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575
ng;0.000056;0.000222;0.030537;0.018634;0.000501;0.750640;0.005507;0.000111;0.000556;0.000167;0.000111;0.002392;0.006675;0.002948;0.109078;0.000222;0.002614;0.000111;0.000056;0.000111;0.066303;0.001391;0.000056;0.000056;0.000056;0.000111;0.000056;0.000056;0.000056;0.000056;0.000334;0.000167;0.000056
nr;0.014085;0.014085;0.394366;0.014085;0.042254;0.014085;0.084507;0.014085;0.014085;0.014085;0.014085;0.014085;0.070423;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
na;0.000284;0.001986;0.000284;0.250213;0.000284;0.297589;0.009929;0.065248;0.007943;0.020426;0.019291;0.042837;0.000284;0.160851;0.040567;0.000567;0.001986;0.002553;0.008227;0.004255;0.008511;0.002270;0.033191;0.003688;0.001135;0.013333;0.000284;0.000284;0.000284;0.000567;0.000284;0.000284;0.000284
nt;0.000053;0.007407;0.084945;0.015827;0.037303;0.576552;0.057607;0.000266;0.000107;0.000107;0.000053;0.045830;0.025686;0.000053;0.089102;0.003944;0.005649;0.000053;0.000053;0.000107;0.048388;0.000107;0.000160;0.000053;0.000053;0.000107;0.000053;0.000053;0.000053;0.000053;0.000107;0.000053;0.000053
n);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ny;0.000413;0.000413;0.003304;0.000413;0.021892;0.529533;0.004131;0.033044;0.000413;0.000413;0.000413;0.000413;0.002065;0.195787;0.086328;0.000413;0.000413;0.000826;0.000826;0.000413;0.004131;0.000413;0.059893;0.000413;0.048327;0.000413;0.000413;0.000413;0.001239;0.000413;0.001239;0.000413;0.000413
nu;0.001613;0.001613;0.085484;0.004839;0.048387;0.004839;0.075806;0.351613;0.009677;0.035484;0.003226;0.011290;0.050000;0.172581;0.001613;0.001613;0.008065;0.011290;0.033871;0.006452;0.017742;0.045161;0.001613;0.001613;0.001613;0.001613;0.001613;0.001613;0.001613;0.001613;0.001613;0.001613;0.001613
nk;0.000288;0.000575;0.014384;0.003452;0.000288;0.782221;0.039988;0.000575;0.000288;0.002589;0.000288;0.002014;0.009206;0.000288;0.105293;0.000863;0.000288;0.000288;0.000288;0.000288;0.031933;0.000863;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000575;0.000288
nc;0.000305;0.053980;0.632815;0.043306;0.082647;0.001830;0.064349;0.000305;0.000305;0.000305;0.000305;0.042391;0.007929;0.029582;0.000610;0.033852;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305
np;0.018519;0.037037;0.018519;0.111111;0.037037;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.092593;0.037037;0.018519;0.018519;0.018519;0.148148;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
ns;0.000190;0.020715;0.118966;0.002471;0.012923;0.372862;0.120487;0.001330;0.000190;0.000190;0.003801;0.000380;0.013873;0.141771;0.066325;0.000380;0.039529;0.000570;0.021095;0.010452;0.000570;0.004371;0.000190;0.000190;0.044090;0.000190;0.000190;0.000190;0.000190;0.000380;0.000380;0.000380;0.000190
nf;0.002037;0.002037;0.034623;0.175153;0.399185;0.002037;0.138493;0.002037;0.002037;0.002037;0.002037;0.044807;0.067210;0.002037;0.002037;0.002037;0.087576;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037;0.002037
nb;0.016393;0.016393;0.245902;0.016393;0.065574;0.049180;0.049180;0.016393;0.016393;0.016393;0.016393;0.032787;0.098361;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
nv;0.001460;0.001460;0.589781;0.001460;0.116788;0.001460;0.224818;0.001460;0.001460;0.001460;0.001460;0.001460;0.026277;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460;0.001460
nw;0.016393;0.180328;0.016393;0.016393;0.196721;0.016393;0.049180;0.016393;0.016393;0.016393;0.016393;0.049180;0.065574;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
nz;0.016393;0.016393;0.147541;0.016393;0.016393;0.213115;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.016393;0.081967;0.065574;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
nq;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.448276;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
nj;0.005587;0.005587;0.044693;0.005587;0.469274;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.044693;0.005587;0.005587;0.005587;0.279330;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587
nx;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
n,;0.025000;0.025000;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
n.;0.022222;0.022222;0.022222;0.022222;0.022222;0.288889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
n?;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
n#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
g(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gh;0.000182;0.000182;0.020932;0.004732;0.004732;0.133418;0.003458;0.000182;0.000182;0.000546;0.000182;0.000182;0.001274;0.801056;0.019112;0.000182;0.000182;0.000182;0.000182;0.000364;0.002366;0.000546;0.003640;0.000182;0.000364;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182
ge;0.000221;0.000221;0.003094;0.006630;0.005083;0.232928;0.000663;0.007072;0.030497;0.175912;0.000221;0.075359;0.002210;0.360000;0.037127;0.001105;0.000221;0.000442;0.000221;0.000221;0.054807;0.000442;0.001105;0.000884;0.001326;0.000221;0.000221;0.000221;0.000221;0.000221;0.000442;0.000221;0.000221
gl;0.001953;0.001953;0.546875;0.001953;0.117188;0.001953;0.095703;0.001953;0.001953;0.001953;0.001953;0.001953;0.074219;0.001953;0.001953;0.103516;0.009766;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953;0.001953
go;0.000185;0.000185;0.022349;0.002586;0.142963;0.173070;0.129664;0.000369;0.061692;0.214629;0.001108;0.010159;0.018101;0.143702;0.030107;0.000185;0.001108;0.000185;0.000185;0.000924;0.002586;0.000185;0.000185;0.041190;0.000554;0.000185;0.000185;0.000185;0.000185;0.000185;0.000554;0.000185;0.000185
g ;0.000072;0.022043;0.013311;0.037358;0.073427;0.004079;0.120948;0.031203;0.016317;0.007872;0.008874;0.019824;0.140771;0.241824;0.000787;0.037644;0.017104;0.002075;0.016675;0.025335;0.039791;0.030487;0.037572;0.004652;0.044586;0.000072;0.001718;0.003006;0.000143;0.000143;0.000143;0.000072;0.000072
gi;0.000558;0.000558;0.008371;0.002790;0.087054;0.001116;0.000558;0.012835;0.005022;0.266183;0.004464;0.054688;0.013951;0.037388;0.002232;0.000558;0.002790;0.000558;0.131138;0.000558;0.042411;0.002790;0.006696;0.304129;0.000558;0.006138;0.000558;0.000558;0.000558;0.000558;0.000558;0.000558;0.000558
gm;0.009804;0.009804;0.274510;0.009804;0.058824;0.117647;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.264706;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
gd;0.016949;0.016949;0.033898;0.016949;0.152542;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.288136;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
gn;0.002732;0.002732;0.076503;0.005464;0.122951;0.265027;0.251366;0.019126;0.002732;0.002732;0.002732;0.002732;0.103825;0.013661;0.043716;0.002732;0.002732;0.002732;0.002732;0.002732;0.030055;0.002732;0.008197;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732
gg;0.004000;0.004000;0.556000;0.068000;0.004000;0.012000;0.136000;0.004000;0.004000;0.004000;0.004000;0.088000;0.012000;0.004000;0.004000;0.008000;0.008000;0.004000;0.004000;0.004000;0.016000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000
gr;0.000474;0.000474;0.510436;0.000474;0.153226;0.000474;0.012808;0.000474;0.000474;0.000474;0.000474;0.000474;0.301708;0.000474;0.000474;0.006167;0.002846;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474;0.000474
ga;0.000497;0.000497;0.000497;0.081511;0.000497;0.002485;0.289264;0.174453;0.003976;0.113320;0.058648;0.051690;0.000497;0.095427;0.000994;0.072068;0.003976;0.000497;0.003976;0.012425;0.008946;0.000497;0.000994;0.016402;0.000497;0.001988;0.000497;0.000497;0.000497;0.000497;0.000497;0.000497;0.000497
gt;0.011364;0.261364;0.284091;0.011364;0.090909;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
g);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gy;0.003861;0.003861;0.003861;0.003861;0.003861;0.687259;0.003861;0.042471;0.003861;0.023166;0.003861;0.003861;0.003861;0.003861;0.131274;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.007722;0.003861;0.003861
gu;0.000340;0.000340;0.343633;0.021732;0.006791;0.000340;0.041766;0.218336;0.000340;0.048557;0.000340;0.036333;0.029542;0.001698;0.000679;0.231239;0.000340;0.000340;0.000340;0.000340;0.012564;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340
gk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
gc;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gp;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
gs;0.000758;0.000758;0.000758;0.000758;0.000758;0.820455;0.001515;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.010606;0.145455;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758
gf;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.438596;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
gb;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.396226;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
gv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gw;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
gz;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
gq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gx;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
g,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g.;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
g?;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
g#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
r(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rh;0.008547;0.008547;0.358974;0.008547;0.145299;0.025641;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.196581;0.008547;0.008547;0.034188;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547
re;0.000033;0.001231;0.043267;0.020752;0.000698;0.410057;0.002128;0.015664;0.031561;0.051781;0.007350;0.000898;0.164954;0.027404;0.072932;0.000266;0.000100;0.000266;0.022615;0.013369;0.090459;0.010044;0.000366;0.005720;0.001929;0.000033;0.002361;0.000964;0.000466;0.000033;0.000200;0.000067;0.000033
rl;0.001258;0.001258;0.012579;0.001258;0.020126;0.095597;0.115723;0.001258;0.367296;0.001258;0.001258;0.001258;0.012579;0.001258;0.018868;0.271698;0.001258;0.001258;0.001258;0.001258;0.037736;0.018868;0.001258;0.001258;0.001258;0.001258;0.001258;0.001258;0.001258;0.001258;0.001258;0.001258;0.001258
ro;0.000148;0.000742;0.000742;0.041865;0.025089;0.016627;0.001336;0.177405;0.021823;0.099614;0.020487;0.009501;0.020932;0.028800;0.003711;0.010837;0.136876;0.004899;0.026277;0.059086;0.024347;0.013658;0.172061;0.031918;0.043201;0.000891;0.000148;0.004899;0.001485;0.000148;0.000148;0.000148;0.000148
r ;0.000060;0.030736;0.025093;0.037820;0.063693;0.010385;0.096710;0.044543;0.028695;0.026414;0.016088;0.022572;0.095149;0.145516;0.003002;0.037940;0.007504;0.004682;0.037399;0.048505;0.071377;0.025994;0.036979;0.007804;0.067055;0.000360;0.001621;0.004983;0.000420;0.000540;0.000240;0.000060;0.000060
ri;0.000113;0.000113;0.091698;0.034358;0.033119;0.003154;0.000113;0.031542;0.017010;0.092599;0.344936;0.000113;0.032556;0.079306;0.000451;0.000225;0.000338;0.001239;0.079869;0.011716;0.066351;0.015658;0.031880;0.021291;0.000113;0.008336;0.000225;0.001014;0.000113;0.000113;0.000113;0.000113;0.000113
rm;0.000722;0.001443;0.072872;0.005051;0.018038;0.248918;0.136364;0.000722;0.000722;0.000722;0.000722;0.000722;0.233766;0.001443;0.050505;0.007215;0.004329;0.000722;0.000722;0.000722;0.191198;0.012266;0.000722;0.000722;0.001443;0.000722;0.000722;0.000722;0.000722;0.000722;0.002165;0.000722;0.000722
rd;0.000521;0.001041;0.170224;0.019781;0.004685;0.490890;0.041124;0.000521;0.000521;0.001041;0.000521;0.001041;0.028631;0.001041;0.080167;0.002082;0.002603;0.000521;0.013535;0.001041;0.122332;0.001041;0.000521;0.000521;0.009891;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521
rn;0.000892;0.003568;0.163247;0.000892;0.021409;0.277431;0.127565;0.181980;0.003568;0.000892;0.001784;0.000892;0.114184;0.001784;0.051740;0.001784;0.002676;0.000892;0.000892;0.000892;0.029438;0.001784;0.000892;0.000892;0.000892;0.000892;0.000892;0.000892;0.000892;0.000892;0.000892;0.000892;0.000892
rg;0.000690;0.000690;0.157241;0.002759;0.050345;0.002069;0.029655;0.000690;0.000690;0.000690;0.000690;0.011724;0.062069;0.000690;0.001379;0.016552;0.650345;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690
rr;0.000719;0.000719;0.286125;0.000719;0.084112;0.004313;0.277498;0.000719;0.000719;0.000719;0.000719;0.000719;0.056794;0.000719;0.001438;0.260244;0.011503;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719
ra;0.000158;0.000475;0.003642;0.228626;0.001742;0.014883;0.050507;0.034041;0.039107;0.114630;0.028816;0.013616;0.000158;0.167353;0.003958;0.008233;0.002375;0.000950;0.152312;0.045282;0.020424;0.009341;0.014725;0.010133;0.011400;0.019474;0.001900;0.000317;0.000792;0.000158;0.000158;0.000158;0.000158
rt;0.000276;0.097655;0.061517;0.003034;0.003586;0.326069;0.135172;0.003862;0.000276;0.010207;0.000552;0.002483;0.165793;0.004138;0.043586;0.052690;0.035586;0.000276;0.001103;0.000828;0.044138;0.002207;0.001103;0.000276;0.001103;0.000552;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276
r);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ry;0.000244;0.000488;0.002197;0.000488;0.026605;0.596290;0.107396;0.000488;0.001953;0.000488;0.000244;0.000244;0.001709;0.082499;0.112765;0.000244;0.000244;0.000244;0.000244;0.001709;0.002929;0.000244;0.052233;0.000244;0.004393;0.000244;0.000244;0.000244;0.000244;0.000976;0.000732;0.000244;0.000244
ru;0.000708;0.000708;0.196037;0.086341;0.000708;0.001415;0.028309;0.196745;0.010616;0.111111;0.050248;0.007077;0.002831;0.063694;0.000708;0.000708;0.000708;0.000708;0.092711;0.016985;0.100495;0.000708;0.020524;0.000708;0.000708;0.001415;0.000708;0.000708;0.002123;0.000708;0.000708;0.000708;0.000708
rk;0.001172;0.001172;0.283705;0.011723;0.004689;0.368113;0.114889;0.001172;0.001172;0.002345;0.001172;0.001172;0.003517;0.002345;0.053927;0.007034;0.001172;0.001172;0.001172;0.009379;0.111372;0.003517;0.001172;0.001172;0.001172;0.001172;0.001172;0.001172;0.001172;0.001172;0.001172;0.001172;0.001172
rc;0.001021;0.201226;0.541369;0.028601;0.011236;0.009193;0.052094;0.001021;0.001021;0.001021;0.001021;0.031665;0.007150;0.001021;0.001021;0.005107;0.084780;0.002043;0.001021;0.001021;0.004086;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021;0.001021
