smoothed;3
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
tr;0.000060;0.000121;0.000060;0.151935;0.000060;0.000121;0.000060;0.102798;0.000060;0.099904;0.000060;0.000060;0.225190;0.168154;0.000060;0.000060;0.000060;0.000060;0.000060;0.249427;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000121;0.000060;0.000060;0.000060;0.000060;0.000121;0.000060;0.000060;0.000060;0.000060;0.000060;0.000121
ta;0.000045;0.197125;0.001455;0.049850;0.009051;0.022378;0.000819;0.000136;0.004366;0.000045;0.037069;0.128536;0.000045;0.020559;0.134495;0.000136;0.017648;0.003775;0.000091;0.003411;0.000091;0.213772;0.001228;0.008778;0.086009;0.005322;0.029655;0.001092;0.000091;0.020740;0.001365;0.000045;0.000045;0.000045;0.000182;0.000136;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045
ty;0.000144;0.001729;0.000576;0.001153;0.008935;0.687995;0.000144;0.002450;0.000288;0.005909;0.000576;0.005332;0.002018;0.000288;0.001585;0.001297;0.000144;0.133737;0.000432;0.000144;0.000144;0.005765;0.000144;0.002306;0.000144;0.027526;0.001729;0.052313;0.000144;0.000144;0.050728;0.000144;0.000144;0.000144;0.000144;0.002306;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144
tn;0.001555;0.001555;0.001555;0.015552;0.001555;0.001555;0.001555;0.471229;0.001555;0.032659;0.001555;0.001555;0.416796;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.003110;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555;0.001555
tw;0.000374;0.000374;0.004483;0.103474;0.000374;0.000374;0.000374;0.346283;0.000374;0.517744;0.000374;0.002241;0.010459;0.001494;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374
tg;0.006211;0.006211;0.006211;0.012422;0.006211;0.006211;0.006211;0.111801;0.006211;0.391304;0.006211;0.074534;0.155280;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.018634;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
t);0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
tj;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.040000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
tu;0.000139;0.070902;0.000139;0.002363;0.021827;0.004727;0.105797;0.027805;0.006812;0.000278;0.015015;0.366467;0.284860;0.000139;0.054775;0.000139;0.000695;0.000695;0.000139;0.000139;0.000139;0.005422;0.000278;0.018212;0.000139;0.003059;0.005422;0.000417;0.000139;0.000139;0.000834;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000278;0.000139;0.000139;0.000139;0.000139
tz;0.005181;0.005181;0.005181;0.031088;0.005181;0.196891;0.005181;0.362694;0.031088;0.005181;0.010363;0.005181;0.010363;0.015544;0.005181;0.005181;0.015544;0.025907;0.005181;0.005181;0.005181;0.067358;0.005181;0.005181;0.005181;0.005181;0.015544;0.010363;0.005181;0.005181;0.046632;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181
tl;0.000353;0.000353;0.000353;0.042403;0.000353;0.000707;0.000353;0.408834;0.000353;0.002473;0.000707;0.000353;0.029682;0.490459;0.000353;0.000353;0.000353;0.001060;0.000353;0.000353;0.000353;0.011307;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353
tv;0.006098;0.006098;0.006098;0.006098;0.012195;0.518293;0.006098;0.012195;0.006098;0.006098;0.006098;0.006098;0.030488;0.006098;0.006098;0.006098;0.006098;0.109756;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.036585;0.006098;0.006098;0.024390;0.006098;0.006098;0.006098;0.006098;0.036585;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098
tf;0.005291;0.005291;0.005291;0.063492;0.005291;0.005291;0.005291;0.037037;0.005291;0.476190;0.005291;0.026455;0.026455;0.005291;0.005291;0.005291;0.005291;0.010582;0.005291;0.148148;0.005291;0.015873;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.010582;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291
tk;0.017544;0.017544;0.017544;0.157895;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
tp;0.008621;0.008621;0.043103;0.008621;0.086207;0.008621;0.008621;0.094828;0.008621;0.181034;0.008621;0.120690;0.051724;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.086207;0.008621;0.017241;0.008621;0.017241;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621
tb;0.005464;0.005464;0.005464;0.065574;0.005464;0.005464;0.005464;0.071038;0.005464;0.109290;0.005464;0.142077;0.311475;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.071038;0.005464;0.027322;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464
t.;0.000405;0.000405;0.000405;0.000405;0.000405;0.019449;0.000405;0.000405;0.000405;0.000810;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.962723;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000810;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405
tq;0.017544;0.017544;0.017544;0.017544;0.017544;0.210526;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
tx;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
t,;0.000356;0.000356;0.000356;0.000356;0.000356;0.838319;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.146724;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356
tá;0.018182;0.018182;0.018182;0.018182;0.018182;0.127273;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
tö;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
tã;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
t!;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
t?;0.002128;0.012766;0.004255;0.014894;0.004255;0.010638;0.002128;0.006383;0.006383;0.006383;0.002128;0.004255;0.021277;0.002128;0.006383;0.006383;0.004255;0.823404;0.002128;0.002128;0.002128;0.002128;0.002128;0.004255;0.002128;0.002128;0.004255;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128
tí;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
tó;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
tñ;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
té;0.020000;0.020000;0.020000;0.020000;0.040000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
tà;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
t¡;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
tú;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
t#;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
h(;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ht;0.000157;0.001566;0.004386;0.042450;0.145363;0.525063;0.000157;0.055764;0.002506;0.000940;0.002193;0.000783;0.004699;0.004386;0.000940;0.014098;0.000157;0.081924;0.000313;0.000627;0.000157;0.004386;0.000313;0.002036;0.000157;0.000313;0.000940;0.043390;0.000157;0.000157;0.028822;0.000157;0.000157;0.000157;0.000157;0.028822;0.000157;0.000157;0.000157;0.000157;0.000157;0.000157;0.000157;0.000157
hh;0.013158;0.013158;0.013158;0.013158;0.078947;0.013158;0.013158;0.065789;0.013158;0.197368;0.013158;0.013158;0.052632;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.092105;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
hi;0.000028;0.030780;0.000248;0.000138;0.435439;0.001569;0.002946;0.008204;0.052530;0.003909;0.074445;0.009581;0.005066;0.000110;0.264275;0.000028;0.020814;0.000385;0.000496;0.001239;0.001322;0.060569;0.000496;0.003441;0.000303;0.018969;0.001790;0.000110;0.000083;0.000028;0.000303;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028
hs;0.001319;0.017150;0.021108;0.003958;0.002639;0.692612;0.001319;0.002639;0.003958;0.006596;0.002639;0.001319;0.005277;0.002639;0.001319;0.002639;0.001319;0.124011;0.001319;0.001319;0.001319;0.001319;0.001319;0.001319;0.001319;0.006596;0.001319;0.029024;0.001319;0.001319;0.038259;0.001319;0.001319;0.001319;0.001319;0.002639;0.001319;0.001319;0.001319;0.001319;0.001319;0.001319;0.001319;0.001319
h ;0.000054;0.188240;0.047383;0.105751;0.054975;0.003554;0.018630;0.016853;0.042914;0.061221;0.039468;0.018307;0.120612;0.023261;0.019169;0.059337;0.010554;0.000808;0.011253;0.025792;0.000215;0.015776;0.005169;0.024768;0.027622;0.029345;0.026599;0.000431;0.000754;0.000108;0.000377;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054
hd;0.006452;0.006452;0.006452;0.058065;0.019355;0.064516;0.006452;0.019355;0.006452;0.019355;0.006452;0.335484;0.232258;0.006452;0.006452;0.006452;0.006452;0.019355;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452
he;0.000008;0.005695;0.000050;0.023435;0.038692;0.503301;0.008094;0.001845;0.023586;0.001300;0.001887;0.148151;0.020927;0.078282;0.048153;0.000285;0.000092;0.083725;0.000017;0.000067;0.000168;0.011139;0.000302;0.000159;0.000025;0.000059;0.000084;0.000034;0.000025;0.000017;0.000285;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008
hm;0.002045;0.002045;0.002045;0.040900;0.010225;0.024540;0.002045;0.597137;0.104294;0.040900;0.002045;0.002045;0.102249;0.002045;0.002045;0.002045;0.002045;0.004090;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.004090;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045;0.002045
ho;0.000046;0.026313;0.000137;0.004279;0.107985;0.191341;0.003278;0.003779;0.044751;0.064099;0.006601;0.046526;0.001229;0.000137;0.037330;0.142038;0.003961;0.024356;0.000273;0.195894;0.000228;0.059137;0.002868;0.000364;0.001002;0.027497;0.002231;0.000046;0.000046;0.000091;0.001457;0.000046;0.000046;0.000046;0.000046;0.000137;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046
hc;0.006536;0.006536;0.091503;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.130719;0.006536;0.013072;0.503268;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
hr;0.000336;0.000336;0.000336;0.104307;0.000336;0.002355;0.000336;0.406460;0.000336;0.429677;0.000336;0.000336;0.031965;0.002019;0.001682;0.000336;0.000336;0.000336;0.000336;0.009085;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000673;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336
ha;0.000017;0.562506;0.000529;0.009326;0.068707;0.002199;0.053792;0.003175;0.008615;0.000562;0.001521;0.035189;0.000248;0.000364;0.062754;0.000926;0.000347;0.000314;0.000050;0.001273;0.000446;0.013229;0.133562;0.000066;0.000976;0.036859;0.001902;0.000033;0.000132;0.000017;0.000116;0.000017;0.000017;0.000017;0.000017;0.000050;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
hy;0.000620;0.002480;0.000620;0.002480;0.073156;0.714817;0.011779;0.001860;0.002480;0.001240;0.000620;0.000620;0.004960;0.000620;0.000620;0.001240;0.001240;0.076875;0.000620;0.001240;0.000620;0.004340;0.000620;0.000620;0.000620;0.032238;0.002480;0.017979;0.000620;0.001240;0.023559;0.000620;0.000620;0.000620;0.000620;0.007440;0.000620;0.000620;0.000620;0.000620;0.000620;0.000620;0.000620;0.000620
hn;0.001277;0.001277;0.001277;0.146871;0.149425;0.351213;0.001277;0.106003;0.001277;0.077905;0.001277;0.001277;0.016603;0.003831;0.007663;0.001277;0.001277;0.066411;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277;0.002554;0.005109;0.001277;0.022989;0.001277;0.001277;0.001277;0.001277;0.003831;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277;0.001277
hw;0.006369;0.006369;0.019108;0.108280;0.006369;0.012739;0.006369;0.273885;0.006369;0.025478;0.006369;0.006369;0.312102;0.006369;0.006369;0.006369;0.006369;0.012739;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369
hg;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
h);0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
hj;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
hu;0.000362;0.051699;0.004338;0.001085;0.079537;0.014100;0.008677;0.002169;0.270788;0.000362;0.019161;0.228127;0.010484;0.000723;0.186913;0.000362;0.081345;0.001446;0.000362;0.000723;0.000362;0.014100;0.000362;0.003615;0.001808;0.001085;0.003615;0.002531;0.000362;0.002169;0.002531;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362;0.000362
hz;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
hl;0.003049;0.003049;0.003049;0.173780;0.009146;0.018293;0.003049;0.304878;0.003049;0.051829;0.003049;0.003049;0.054878;0.262195;0.003049;0.003049;0.003049;0.003049;0.003049;0.006098;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.012195;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049
hv;0.019231;0.019231;0.019231;0.115385;0.019231;0.019231;0.019231;0.057692;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
hf;0.013699;0.013699;0.013699;0.068493;0.013699;0.054795;0.013699;0.013699;0.013699;0.041096;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.287671;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
hk;0.020408;0.020408;0.020408;0.081633;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
