smoothed;3
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
tt;0.000160;0.000321;0.011708;0.153649;0.014114;0.071051;0.000160;0.380754;0.000160;0.058220;0.000160;0.007378;0.124298;0.032558;0.000481;0.000160;0.000160;0.012189;0.000160;0.000481;0.000160;0.122534;0.000160;0.000321;0.000160;0.000160;0.000160;0.001925;0.000160;0.000160;0.003368;0.000160;0.000160;0.000160;0.000160;0.000481;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
th;0.000006;0.000057;0.000101;0.124983;0.003033;0.059616;0.000472;0.575693;0.000164;0.024346;0.000560;0.015410;0.179709;0.000919;0.000308;0.000396;0.000013;0.009288;0.000006;0.001328;0.000006;0.000535;0.000006;0.000126;0.000006;0.000019;0.000063;0.001070;0.000164;0.000006;0.001378;0.000006;0.000006;0.000006;0.000013;0.000132;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006
ti;0.000024;0.021515;0.000073;0.000730;0.012534;0.004454;0.000803;0.036142;0.083796;0.386171;0.109497;0.009394;0.028037;0.000170;0.173627;0.001022;0.020712;0.000681;0.000024;0.000049;0.009005;0.030009;0.051475;0.012656;0.000292;0.003870;0.000706;0.000170;0.000438;0.000024;0.000706;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000901;0.000024;0.000024;0.000024;0.000024
ts;0.000053;0.001741;0.001371;0.015876;0.000105;0.789071;0.000580;0.012817;0.000316;0.002374;0.000580;0.000053;0.001582;0.001160;0.000158;0.000580;0.000053;0.116198;0.000053;0.000791;0.000053;0.000105;0.000053;0.000105;0.000422;0.000897;0.002479;0.021889;0.000053;0.000053;0.025792;0.000053;0.000053;0.000053;0.000105;0.001899;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053
t ;0.000009;0.207448;0.056517;0.100379;0.045312;0.005101;0.025160;0.015302;0.029034;0.078898;0.029675;0.020552;0.093913;0.023590;0.018238;0.101810;0.013332;0.000799;0.009114;0.009365;0.000260;0.017578;0.004683;0.023543;0.009616;0.025494;0.032816;0.000242;0.001254;0.000139;0.000697;0.000019;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009
td;0.012195;0.012195;0.012195;0.036585;0.012195;0.060976;0.012195;0.036585;0.012195;0.317073;0.012195;0.012195;0.060976;0.012195;0.012195;0.012195;0.012195;0.024390;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
te;0.000024;0.000284;0.000782;0.005262;0.094463;0.145641;0.211326;0.015977;0.030840;0.000474;0.015455;0.257621;0.016854;0.000640;0.068435;0.000806;0.007230;0.027829;0.000071;0.000782;0.000545;0.056583;0.006637;0.001683;0.000024;0.008794;0.000119;0.006163;0.000024;0.009008;0.008889;0.000024;0.000024;0.000024;0.000024;0.000450;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024
tm;0.001092;0.001092;0.001092;0.007642;0.002183;0.002183;0.001092;0.776201;0.001092;0.055677;0.001092;0.001092;0.103712;0.003275;0.001092;0.001092;0.001092;0.001092;0.001092;0.002183;0.008734;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092
to;0.000021;0.004013;0.000084;0.000857;0.001421;0.662006;0.018476;0.000418;0.007921;0.022697;0.001839;0.101532;0.000188;0.000251;0.027672;0.010032;0.010638;0.082952;0.000313;0.005476;0.000021;0.016239;0.000334;0.000460;0.000857;0.016114;0.002257;0.001045;0.000021;0.000857;0.002508;0.000021;0.000021;0.000021;0.000021;0.000230;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021
tc;0.001280;0.001280;0.633803;0.001280;0.002561;0.076825;0.001280;0.008963;0.001280;0.079385;0.001280;0.021767;0.016645;0.023047;0.001280;0.001280;0.001280;0.015365;0.001280;0.006402;0.001280;0.032010;0.001280;0.001280;0.001280;0.001280;0.001280;0.038412;0.001280;0.001280;0.005122;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280;0.001280
