smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
bw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b,;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
bu;0.002695;0.002695;0.029650;0.002695;0.040431;0.002695;0.002695;0.002695;0.002695;0.002695;0.016173;0.002695;0.018868;0.002695;0.002695;0.649596;0.043127;0.002695;0.002695;0.070081;0.002695;0.002695;0.040431;0.005391;0.005391;0.002695;0.002695;0.002695;0.021563;0.002695;0.002695;0.002695;0.002695
bp;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
br;0.008696;0.008696;0.008696;0.008696;0.008696;0.113043;0.008696;0.008696;0.034783;0.008696;0.008696;0.113043;0.008696;0.008696;0.008696;0.008696;0.008696;0.217391;0.008696;0.278261;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
ba;0.003472;0.097222;0.013889;0.006944;0.093750;0.003472;0.003472;0.003472;0.003472;0.003472;0.069444;0.003472;0.034722;0.010417;0.003472;0.038194;0.190972;0.003472;0.128472;0.003472;0.003472;0.003472;0.222222;0.003472;0.020833;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472
bl;0.003460;0.003460;0.159170;0.003460;0.003460;0.114187;0.003460;0.003460;0.062284;0.003460;0.003460;0.065744;0.003460;0.003460;0.003460;0.003460;0.003460;0.442907;0.003460;0.062284;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460
bk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bh;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bt;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
bs;0.014085;0.014085;0.014085;0.126761;0.014085;0.084507;0.014085;0.042254;0.056338;0.028169;0.014085;0.014085;0.014085;0.014085;0.014085;0.070423;0.014085;0.056338;0.014085;0.084507;0.014085;0.014085;0.098592;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085
be;0.001198;0.001198;0.005988;0.252695;0.008383;0.001198;0.002395;0.007186;0.001198;0.001198;0.075449;0.049102;0.051497;0.001198;0.014371;0.061078;0.032335;0.093413;0.008383;0.070659;0.004790;0.013174;0.165269;0.001198;0.019162;0.047904;0.001198;0.001198;0.001198;0.001198;0.001198;0.001198;0.001198
bd;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
