smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
uj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
uq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
u?;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
u#;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
p(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pb;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
py;0.020408;0.020408;0.020408;0.204082;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.102041;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
p ;0.004484;0.062780;0.026906;0.004484;0.008969;0.098655;0.094170;0.004484;0.008969;0.017937;0.017937;0.121076;0.008969;0.004484;0.026906;0.179372;0.031390;0.022422;0.026906;0.058296;0.004484;0.004484;0.026906;0.026906;0.013453;0.062780;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484
pn;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
po;0.003731;0.003731;0.003731;0.007463;0.074627;0.055970;0.037313;0.003731;0.044776;0.063433;0.156716;0.003731;0.052239;0.011194;0.003731;0.014925;0.253731;0.018657;0.003731;0.130597;0.003731;0.003731;0.007463;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731
pw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p,;0.020000;0.020000;0.020000;0.140000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
pu;0.007634;0.038168;0.007634;0.007634;0.053435;0.007634;0.007634;0.007634;0.007634;0.015267;0.152672;0.007634;0.175573;0.007634;0.007634;0.312977;0.045802;0.007634;0.015267;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634
pp;0.005208;0.005208;0.041667;0.005208;0.005208;0.109375;0.005208;0.005208;0.005208;0.005208;0.104167;0.062500;0.067708;0.005208;0.005208;0.005208;0.005208;0.411458;0.005208;0.067708;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
pr;0.002778;0.002778;0.002778;0.002778;0.002778;0.500000;0.002778;0.002778;0.002778;0.002778;0.002778;0.016667;0.002778;0.002778;0.002778;0.002778;0.002778;0.327778;0.002778;0.075000;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778
pa;0.003268;0.009804;0.022876;0.003268;0.068627;0.003268;0.013072;0.003268;0.127451;0.029412;0.333333;0.003268;0.022876;0.003268;0.006536;0.071895;0.058824;0.003268;0.003268;0.042484;0.003268;0.003268;0.084967;0.006536;0.035948;0.003268;0.003268;0.006536;0.003268;0.006536;0.003268;0.003268;0.003268
pl;0.001942;0.001942;0.033010;0.001942;0.001942;0.042718;0.001942;0.001942;0.015534;0.001942;0.001942;0.335922;0.001942;0.001942;0.001942;0.001942;0.001942;0.487379;0.001942;0.033010;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942
pk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ph;0.010638;0.010638;0.180851;0.074468;0.010638;0.159574;0.010638;0.010638;0.010638;0.010638;0.031915;0.031915;0.010638;0.010638;0.010638;0.010638;0.010638;0.117021;0.010638;0.117021;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
pt;0.010101;0.010101;0.020202;0.212121;0.010101;0.020202;0.010101;0.010101;0.030303;0.010101;0.010101;0.090909;0.010101;0.010101;0.030303;0.010101;0.070707;0.090909;0.010101;0.191919;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
ps;0.008929;0.008929;0.116071;0.348214;0.008929;0.053571;0.008929;0.044643;0.017857;0.008929;0.008929;0.008929;0.008929;0.008929;0.017857;0.008929;0.008929;0.044643;0.008929;0.008929;0.026786;0.107143;0.017857;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
pe;0.001302;0.002604;0.001302;0.046875;0.111979;0.194010;0.002604;0.003906;0.001302;0.002604;0.287760;0.044271;0.013021;0.001302;0.001302;0.010417;0.009115;0.080729;0.050781;0.001302;0.002604;0.001302;0.111979;0.001302;0.001302;0.002604;0.001302;0.001302;0.001302;0.001302;0.001302;0.002604;0.001302
pd;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
pi;0.004717;0.004717;0.004717;0.004717;0.103774;0.014151;0.004717;0.004717;0.004717;0.004717;0.136792;0.014151;0.037736;0.004717;0.004717;0.150943;0.165094;0.075472;0.023585;0.004717;0.004717;0.004717;0.155660;0.004717;0.009434;0.004717;0.009434;0.009434;0.004717;0.004717;0.004717;0.004717;0.004717
p.;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.227273;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
p);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pc;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
pm;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
pg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
pf;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
pv;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
px;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pj;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
pq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p?;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
p#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
r(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rb;0.016393;0.016393;0.016393;0.016393;0.016393;0.081967;0.016393;0.016393;0.016393;0.016393;0.032787;0.131148;0.081967;0.016393;0.016393;0.016393;0.032787;0.114754;0.016393;0.098361;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
ry;0.002924;0.005848;0.002924;0.558480;0.002924;0.076023;0.005848;0.035088;0.002924;0.002924;0.002924;0.002924;0.005848;0.005848;0.002924;0.043860;0.014620;0.002924;0.002924;0.087719;0.040936;0.058480;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924
r ;0.000642;0.043646;0.019255;0.009628;0.019897;0.056483;0.055841;0.001926;0.007702;0.042362;0.035944;0.091784;0.028241;0.007702;0.043646;0.172657;0.077022;0.029525;0.037869;0.052632;0.001926;0.001284;0.043646;0.041720;0.020539;0.039153;0.007060;0.000642;0.000642;0.004493;0.003209;0.000642;0.000642
rn;0.006329;0.006329;0.006329;0.177215;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.082278;0.006329;0.006329;0.006329;0.006329;0.170886;0.278481;0.012658;0.082278;0.018987;0.012658;0.006329;0.012658;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329
ro;0.001305;0.063969;0.010444;0.015666;0.105744;0.037859;0.041775;0.002611;0.147520;0.036554;0.049608;0.028721;0.027415;0.007833;0.003916;0.019582;0.027415;0.001305;0.040470;0.007833;0.002611;0.002611;0.020888;0.174935;0.058747;0.015666;0.030026;0.001305;0.002611;0.007833;0.001305;0.002611;0.001305
rw;0.020408;0.020408;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.204082;0.020408;0.020408;0.040816;0.020408;0.020408;0.061224;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
r,;0.007407;0.007407;0.007407;0.362963;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.407407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
ru;0.003135;0.056426;0.003135;0.003135;0.570533;0.003135;0.003135;0.003135;0.003135;0.009404;0.003135;0.003135;0.025078;0.003135;0.003135;0.062696;0.068966;0.034483;0.006270;0.012539;0.003135;0.003135;0.040752;0.037618;0.009404;0.003135;0.003135;0.003135;0.003135;0.003135;0.003135;0.003135;0.003135
rp;0.016129;0.016129;0.016129;0.048387;0.016129;0.193548;0.016129;0.016129;0.016129;0.016129;0.112903;0.032258;0.096774;0.016129;0.016129;0.032258;0.016129;0.048387;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
rr;0.005952;0.005952;0.107143;0.005952;0.005952;0.261905;0.005952;0.011905;0.005952;0.005952;0.029762;0.053571;0.005952;0.005952;0.005952;0.011905;0.005952;0.196429;0.005952;0.178571;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952
ra;0.001684;0.015152;0.015152;0.023569;0.104377;0.001684;0.013468;0.005051;0.003367;0.031987;0.035354;0.003367;0.101010;0.011785;0.001684;0.139731;0.033670;0.001684;0.021886;0.057239;0.001684;0.011785;0.158249;0.040404;0.060606;0.077441;0.011785;0.001684;0.006734;0.001684;0.001684;0.001684;0.001684
rl;0.005319;0.005319;0.351064;0.026596;0.005319;0.053191;0.005319;0.005319;0.015957;0.005319;0.005319;0.026596;0.005319;0.005319;0.005319;0.005319;0.010638;0.010638;0.287234;0.069149;0.005319;0.005319;0.005319;0.005319;0.005319;0.026596;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319
rk;0.007353;0.007353;0.007353;0.338235;0.014706;0.022059;0.007353;0.022059;0.007353;0.007353;0.014706;0.007353;0.007353;0.007353;0.007353;0.007353;0.125000;0.147059;0.007353;0.051471;0.036765;0.058824;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353
rh;0.022222;0.022222;0.044444;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.222222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
rt;0.002778;0.002778;0.005556;0.272222;0.011111;0.011111;0.011111;0.022222;0.027778;0.002778;0.025000;0.136111;0.008333;0.002778;0.075000;0.002778;0.047222;0.088889;0.002778;0.136111;0.027778;0.030556;0.005556;0.008333;0.005556;0.002778;0.002778;0.002778;0.005556;0.002778;0.002778;0.005556;0.002778
rs;0.001751;0.001751;0.001751;0.413310;0.001751;0.063047;0.001751;0.059545;0.005254;0.035026;0.001751;0.008757;0.001751;0.001751;0.010508;0.140105;0.003503;0.068301;0.001751;0.061296;0.026270;0.068301;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.003503;0.001751
re;0.000430;0.002151;0.003442;0.303356;0.044750;0.002582;0.008606;0.011188;0.001291;0.009466;0.002151;0.216007;0.029260;0.000861;0.001721;0.029260;0.101119;0.019793;0.053787;0.001721;0.018072;0.028399;0.040878;0.024527;0.013339;0.009036;0.012478;0.001291;0.000861;0.000430;0.004303;0.002582;0.000861
rd;0.003984;0.003984;0.003984;0.354582;0.003984;0.019920;0.007968;0.043825;0.003984;0.003984;0.011952;0.011952;0.019920;0.003984;0.003984;0.003984;0.163347;0.091633;0.003984;0.075697;0.043825;0.055777;0.003984;0.003984;0.003984;0.011952;0.003984;0.003984;0.003984;0.007968;0.003984;0.007968;0.003984
ri;0.001410;0.029619;0.001410;0.002821;0.141044;0.069111;0.001410;0.002821;0.001410;0.022567;0.001410;0.026798;0.002821;0.002821;0.001410;0.142454;0.070522;0.177715;0.026798;0.001410;0.001410;0.001410;0.076164;0.028209;0.121298;0.014104;0.008463;0.002821;0.012694;0.001410;0.001410;0.001410;0.001410
r.;0.009901;0.009901;0.009901;0.138614;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.059406;0.495050;0.009901;0.019802;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
r);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rc;0.007299;0.007299;0.007299;0.014599;0.007299;0.014599;0.007299;0.007299;0.036496;0.007299;0.007299;0.197080;0.029197;0.007299;0.175182;0.007299;0.007299;0.328467;0.007299;0.021898;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299
rm;0.006410;0.006410;0.012821;0.256410;0.006410;0.089744;0.006410;0.032051;0.006410;0.006410;0.006410;0.250000;0.006410;0.006410;0.006410;0.006410;0.108974;0.019231;0.006410;0.051282;0.019231;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.012821
rg;0.010526;0.010526;0.031579;0.021053;0.010526;0.105263;0.010526;0.010526;0.084211;0.010526;0.021053;0.084211;0.021053;0.010526;0.010526;0.010526;0.010526;0.294737;0.010526;0.084211;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526
rf;0.019608;0.019608;0.019608;0.019608;0.019608;0.098039;0.019608;0.019608;0.137255;0.019608;0.019608;0.078431;0.019608;0.019608;0.019608;0.019608;0.019608;0.117647;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
rv;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.166667;0.018519;0.240741;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
rx;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
rz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
rq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
