smoothed;3
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
r.;0.009091;0.009091;0.009091;0.009091;0.609091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.109091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
r,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
rö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
r#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
b(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ba;0.000238;0.000476;0.105426;0.102808;0.004046;0.000238;0.000238;0.052594;0.102570;0.232746;0.004284;0.015945;0.043789;0.166111;0.000238;0.075916;0.001190;0.003332;0.070681;0.000476;0.000952;0.006901;0.000952;0.004284;0.001428;0.000238;0.000238;0.000238;0.000476;0.000238;0.000238;0.000238;0.000238
bn;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
bd;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.127273;0.018182;0.018182;0.018182;0.181818;0.018182;0.018182;0.018182;0.145455;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
b ;0.002681;0.155496;0.021448;0.016086;0.002681;0.058981;0.018767;0.013405;0.058981;0.058981;0.008043;0.029491;0.032172;0.032172;0.072386;0.018767;0.018767;0.005362;0.109920;0.013405;0.002681;0.139410;0.029491;0.029491;0.029491;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681
bw;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
be;0.000081;0.012119;0.016401;0.011069;0.252000;0.000081;0.069807;0.118365;0.000081;0.261291;0.000162;0.008645;0.052759;0.016159;0.000162;0.000162;0.000081;0.000081;0.041771;0.000081;0.040559;0.048477;0.013735;0.006787;0.027390;0.000081;0.000081;0.000081;0.001131;0.000081;0.000081;0.000081;0.000081
br;0.000664;0.245521;0.000664;0.000664;0.000664;0.000664;0.156603;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.251493;0.000664;0.000664;0.027206;0.000664;0.000664;0.000664;0.296616;0.000664;0.004645;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664
bb;0.004854;0.029126;0.004854;0.004854;0.004854;0.004854;0.126214;0.004854;0.004854;0.019417;0.004854;0.004854;0.257282;0.004854;0.024272;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854;0.218447;0.004854;0.199029;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854
bc;0.006452;0.019355;0.006452;0.006452;0.612903;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.038710;0.006452;0.006452;0.012903;0.006452;0.006452;0.135484;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452
bk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bl;0.000255;0.092206;0.000255;0.000255;0.000255;0.000255;0.413143;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.057820;0.001274;0.000255;0.021651;0.000255;0.000255;0.000255;0.290117;0.000255;0.117168;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255
bs;0.001656;0.001656;0.001656;0.001656;0.346026;0.001656;0.054636;0.001656;0.001656;0.049669;0.001656;0.001656;0.001656;0.001656;0.230132;0.001656;0.001656;0.036424;0.114238;0.001656;0.046358;0.072848;0.009934;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656
bo;0.000161;0.015827;0.007267;0.250969;0.001938;0.006137;0.001130;0.047158;0.003876;0.000161;0.000323;0.001615;0.023579;0.005168;0.043120;0.029393;0.000161;0.485304;0.045220;0.000484;0.000484;0.000969;0.000323;0.014212;0.000484;0.005491;0.000161;0.008075;0.000161;0.000161;0.000161;0.000161;0.000161
bm;0.020000;0.080000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.280000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
bp;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.346154;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
bu;0.000167;0.000167;0.021866;0.017526;0.000501;0.000167;0.000334;0.030379;0.007845;0.007344;0.000668;0.002003;0.006343;0.051911;0.000167;0.004674;0.000167;0.000167;0.804206;0.000167;0.000167;0.020030;0.001502;0.017192;0.002170;0.000167;0.000334;0.000167;0.000835;0.000167;0.000167;0.000167;0.000167
bt;0.006452;0.032258;0.006452;0.006452;0.477419;0.006452;0.038710;0.012903;0.006452;0.006452;0.006452;0.006452;0.058065;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.077419;0.012903;0.006452;0.006452;0.038710;0.006452;0.096774;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452
bj;0.007576;0.007576;0.007576;0.007576;0.015152;0.007576;0.727273;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.030303;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576
b);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bi;0.000424;0.069185;0.082767;0.070883;0.014007;0.000424;0.011885;0.013582;0.013158;0.002971;0.002122;0.259762;0.280560;0.002971;0.011885;0.000424;0.018676;0.000424;0.129032;0.000424;0.002547;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.007216;0.000424;0.000424;0.000424;0.000424
bh;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
by;0.000685;0.017135;0.008225;0.000685;0.802605;0.000685;0.002056;0.000685;0.000685;0.001371;0.000685;0.000685;0.005483;0.004798;0.000685;0.000685;0.002742;0.000685;0.000685;0.000685;0.128170;0.011652;0.000685;0.000685;0.000685;0.000685;0.000685;0.000685;0.000685;0.000685;0.000685;0.000685;0.000685
bf;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
bx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bv;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.018293;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.887195;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049
bz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
c(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ca;0.000083;0.000250;0.271109;0.004326;0.015223;0.000083;0.000083;0.114716;0.002662;0.001081;0.003494;0.002662;0.164296;0.042759;0.000083;0.048415;0.015722;0.262707;0.035521;0.000083;0.003411;0.005574;0.000250;0.000333;0.000582;0.000083;0.000083;0.003910;0.000083;0.000083;0.000083;0.000083;0.000083
cn;0.006944;0.006944;0.652778;0.006944;0.006944;0.006944;0.062500;0.006944;0.076389;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944
cd;0.013333;0.013333;0.013333;0.013333;0.080000;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.066667;0.426667;0.013333;0.013333;0.026667;0.013333;0.013333;0.026667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
c ;0.000602;0.107831;0.025301;0.024699;0.006024;0.050000;0.030723;0.026506;0.033735;0.048193;0.002410;0.016265;0.029518;0.096988;0.033133;0.050602;0.137349;0.007831;0.084940;0.006627;0.002410;0.083133;0.036747;0.013253;0.025301;0.000602;0.001205;0.015060;0.000602;0.000602;0.000602;0.000602;0.000602
cw;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ce;0.000169;0.005084;0.159295;0.049483;0.429927;0.000169;0.005253;0.067446;0.013726;0.000678;0.000339;0.000169;0.011862;0.109642;0.004745;0.007117;0.036943;0.001525;0.001864;0.000169;0.079986;0.007456;0.000339;0.000678;0.004237;0.000169;0.000169;0.000169;0.000169;0.000508;0.000169;0.000169;0.000169
cr;0.000266;0.502523;0.000266;0.000266;0.000266;0.000266;0.194688;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.069323;0.000266;0.000266;0.042231;0.000266;0.000266;0.000266;0.169456;0.000266;0.014608;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266
cb;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.239130;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
cc;0.001410;0.094499;0.001410;0.001410;0.008463;0.001410;0.287729;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.301834;0.001410;0.001410;0.239774;0.001410;0.001410;0.002821;0.028209;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410
ck;0.000276;0.016823;0.011859;0.007998;0.520960;0.007722;0.132101;0.000827;0.004688;0.000276;0.000276;0.018478;0.026751;0.074738;0.002206;0.000276;0.003034;0.001103;0.001103;0.000552;0.087700;0.058742;0.000276;0.017099;0.001655;0.000276;0.000276;0.000276;0.000276;0.000552;0.000276;0.000276;0.000276
cg;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
cl;0.000531;0.210834;0.000531;0.000531;0.001593;0.000531;0.331386;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.111524;0.000531;0.000531;0.112586;0.000531;0.000531;0.000531;0.211365;0.000531;0.006904;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531
cs;0.002770;0.002770;0.002770;0.002770;0.789474;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.005540;0.002770;0.008310;0.002770;0.116343;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770;0.002770
co;0.000101;0.008759;0.266385;0.002920;0.007752;0.002718;0.000302;0.130474;0.000403;0.002215;0.001913;0.004530;0.044498;0.011980;0.015101;0.220074;0.009061;0.230645;0.004329;0.000101;0.001611;0.002114;0.004933;0.000101;0.002416;0.000101;0.000101;0.023659;0.000302;0.000101;0.000101;0.000101;0.000101
cm;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cp;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cu;0.000468;0.001871;0.000468;0.002339;0.000468;0.000935;0.003274;0.158092;0.011693;0.000468;0.000468;0.000935;0.175865;0.170253;0.013096;0.056595;0.016370;0.001403;0.200655;0.000468;0.000935;0.002339;0.000468;0.000468;0.003274;0.000468;0.000468;0.000468;0.173059;0.000468;0.000468;0.000468;0.000468
ct;0.000182;0.019971;0.002723;0.000182;0.230574;0.000182;0.065723;0.006718;0.000363;0.001634;0.000182;0.000182;0.066086;0.040123;0.040123;0.005265;0.000182;0.204430;0.000182;0.000182;0.037219;0.273965;0.000182;0.000182;0.001816;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182
cj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
c);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ci;0.000352;0.327580;0.054244;0.065516;0.002466;0.000352;0.111659;0.019373;0.000704;0.000352;0.000352;0.015851;0.016203;0.102501;0.038042;0.001409;0.041212;0.000704;0.089820;0.000352;0.000352;0.000352;0.000352;0.000352;0.041564;0.000352;0.000352;0.051779;0.014089;0.000352;0.000352;0.000352;0.000352
ch;0.000170;0.157179;0.007816;0.000340;0.372982;0.000170;0.132540;0.036194;0.000170;0.000170;0.000340;0.000170;0.000850;0.012065;0.077315;0.005777;0.000170;0.027528;0.000340;0.000170;0.059813;0.098895;0.000510;0.006797;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170
cy;0.001325;0.001325;0.018543;0.001325;0.721854;0.006623;0.001325;0.005298;0.015894;0.033113;0.001325;0.001325;0.001325;0.002649;0.002649;0.002649;0.001325;0.001325;0.001325;0.001325;0.160265;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325
cf;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cq;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.255814;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
cv;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.255814;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
cz;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
c.;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.319149;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
c,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
c#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
k(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ka;0.000770;0.000770;0.045420;0.007698;0.019246;0.001540;0.003079;0.024634;0.023095;0.000770;0.000770;0.021555;0.004619;0.013857;0.000770;0.012317;0.001540;0.003849;0.016166;0.000770;0.002309;0.006928;0.001540;0.757506;0.000770;0.000770;0.000770;0.020015;0.003079;0.000770;0.000770;0.000770;0.000770
kn;0.000203;0.001625;0.000203;0.000203;0.000203;0.000203;0.023969;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.964859;0.000203;0.000203;0.000813;0.000203;0.000203;0.000203;0.003047;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203;0.000203
kd;0.012195;0.036585;0.012195;0.012195;0.012195;0.012195;0.012195;0.024390;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.573171;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
k ;0.000141;0.203136;0.010453;0.015256;0.004662;0.050572;0.008476;0.009747;0.027405;0.016528;0.001978;0.009747;0.027688;0.035740;0.071903;0.020201;0.016669;0.013844;0.198757;0.003390;0.000848;0.144936;0.039271;0.043650;0.021189;0.000283;0.000706;0.001413;0.000848;0.000141;0.000141;0.000141;0.000141
kw;0.013699;0.438356;0.013699;0.013699;0.013699;0.013699;0.027397;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.123288;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
ke;0.000062;0.000743;0.016108;0.040890;0.723685;0.000743;0.023419;0.019577;0.000062;0.000062;0.000062;0.000062;0.005018;0.032154;0.000558;0.000620;0.004956;0.001425;0.014311;0.000062;0.107428;0.000620;0.000186;0.005700;0.000372;0.000062;0.000062;0.000681;0.000062;0.000062;0.000062;0.000062;0.000062
kr;0.007194;0.345324;0.007194;0.007194;0.007194;0.007194;0.064748;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.021583;0.007194;0.007194;0.294964;0.007194;0.007194;0.007194;0.071942;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194
kb;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.153846;0.019231;0.019231;0.250000;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
kc;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
kk;0.020408;0.061224;0.020408;0.020408;0.142857;0.020408;0.061224;0.020408;0.020408;0.020408;0.142857;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
kg;0.010000;0.010000;0.010000;0.010000;0.020000;0.010000;0.010000;0.670000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
