smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
hí;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
há;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
h#;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
e(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ei;0.000228;0.000455;0.006600;0.000683;0.000228;0.020710;0.000683;0.000228;0.000455;0.069868;0.000228;0.000228;0.011152;0.002503;0.000455;0.000228;0.000910;0.023441;0.316568;0.000228;0.000910;0.424215;0.081247;0.000228;0.000228;0.000228;0.029358;0.000455;0.005234;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228
em;0.000115;0.050453;0.001949;0.243550;0.051829;0.000688;0.094714;0.166953;0.000229;0.000229;0.000115;0.200092;0.080725;0.000229;0.037610;0.000115;0.059397;0.000115;0.002408;0.006536;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115
e ;0.000007;0.089892;0.033550;0.002139;0.101300;0.029600;0.042885;0.064691;0.011281;0.140363;0.038397;0.018559;0.068887;0.044509;0.000404;0.077063;0.040566;0.032749;0.023653;0.026720;0.030872;0.028059;0.027984;0.001930;0.000112;0.008991;0.006912;0.007361;0.000337;0.000150;0.000030;0.000007;0.000007;0.000007;0.000007;0.000007;0.000007
ea;0.000044;0.000088;0.011289;0.031927;0.000044;0.179653;0.000573;0.000044;0.004630;0.082066;0.110156;0.000044;0.094281;0.027693;0.004674;0.000529;0.006218;0.079684;0.173788;0.000044;0.000617;0.143802;0.005909;0.000044;0.000044;0.000044;0.009481;0.032191;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044
el;0.000076;0.092287;0.002513;0.100434;0.048275;0.305414;0.000914;0.019797;0.004036;0.011117;0.000228;0.101424;0.046448;0.014620;0.015914;0.000305;0.038529;0.014239;0.000076;0.118937;0.045534;0.000228;0.000609;0.000152;0.000076;0.000076;0.016980;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076
eb;0.000903;0.002710;0.000903;0.032520;0.176152;0.016260;0.010840;0.331527;0.039747;0.160795;0.000903;0.029810;0.046974;0.000903;0.010840;0.000903;0.000903;0.000903;0.000903;0.010840;0.000903;0.108401;0.000903;0.000903;0.000903;0.000903;0.000903;0.001807;0.000903;0.000903;0.000903;0.000903;0.000903;0.000903;0.000903;0.000903;0.000903
eo;0.000170;0.001017;0.001017;0.034933;0.000170;0.039851;0.000170;0.000170;0.012549;0.002205;0.000170;0.000170;0.012379;0.003222;0.007292;0.002205;0.734272;0.001017;0.081058;0.000170;0.001357;0.055113;0.002035;0.000170;0.000170;0.000170;0.005087;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170;0.000170
eu;0.002079;0.002079;0.045738;0.041580;0.002079;0.004158;0.014553;0.002079;0.002079;0.149688;0.002079;0.012474;0.012474;0.004158;0.002079;0.002079;0.070686;0.068607;0.072765;0.002079;0.002079;0.424116;0.006237;0.002079;0.002079;0.002079;0.020790;0.006237;0.002079;0.002079;0.002079;0.002079;0.002079;0.002079;0.002079;0.002079;0.002079
et;0.000081;0.062581;0.000081;0.310387;0.022757;0.002682;0.002276;0.010403;0.008127;0.133615;0.125650;0.076317;0.115653;0.007802;0.045351;0.032428;0.001057;0.000081;0.001788;0.025927;0.000244;0.013166;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000406;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081
eh;0.001976;0.250988;0.025692;0.005929;0.286561;0.001976;0.001976;0.276680;0.003953;0.001976;0.001976;0.065217;0.001976;0.003953;0.001976;0.001976;0.001976;0.003953;0.015810;0.003953;0.001976;0.007905;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976
ee;0.000096;0.014295;0.060539;0.202437;0.000768;0.052000;0.000096;0.000096;0.000096;0.059964;0.000384;0.000288;0.026000;0.022258;0.030989;0.000480;0.059964;0.145256;0.231123;0.000192;0.003262;0.018325;0.000096;0.000192;0.004605;0.000672;0.000672;0.059772;0.004317;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096
es;0.000032;0.028752;0.000221;0.466035;0.001738;0.000632;0.000411;0.006477;0.006445;0.128689;0.002844;0.088120;0.142338;0.007836;0.071880;0.000095;0.022844;0.002749;0.019589;0.000316;0.000032;0.000032;0.000032;0.000853;0.000032;0.000032;0.000253;0.000411;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032
ec;0.000087;0.087358;0.000087;0.003306;0.295745;0.010267;0.000087;0.130166;0.038632;0.273819;0.039154;0.068912;0.000348;0.001044;0.000870;0.000087;0.000087;0.001305;0.000087;0.000609;0.000087;0.023754;0.000087;0.000087;0.000087;0.000087;0.000087;0.022883;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087
e);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ew;0.000361;0.050235;0.000361;0.542826;0.017709;0.001807;0.000723;0.007951;0.000723;0.003614;0.040116;0.034333;0.181063;0.000361;0.101193;0.000361;0.004698;0.002530;0.000723;0.000723;0.000723;0.001446;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361
ep;0.000250;0.037278;0.000250;0.125344;0.091318;0.035026;0.000500;0.177383;0.190393;0.120340;0.017263;0.064048;0.030273;0.000751;0.029022;0.000500;0.004003;0.000500;0.000250;0.005004;0.000751;0.065799;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250
ed;0.000053;0.070319;0.000898;0.726226;0.010672;0.006710;0.000687;0.004913;0.012838;0.000106;0.000106;0.021503;0.012521;0.000106;0.110894;0.000423;0.000053;0.003064;0.002060;0.006815;0.000158;0.001268;0.006762;0.000053;0.000053;0.000053;0.000158;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053
en;0.000033;0.020732;0.000361;0.288545;0.023685;0.001575;0.000131;0.013482;0.004265;0.336668;0.000787;0.046319;0.049075;0.060622;0.045795;0.000426;0.000197;0.073088;0.009349;0.001804;0.003248;0.001050;0.010596;0.000066;0.000033;0.002690;0.004625;0.000098;0.000361;0.000033;0.000066;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033
ey;0.000103;0.000724;0.000621;0.650429;0.000414;0.007446;0.000621;0.009412;0.000103;0.000207;0.000103;0.010963;0.007550;0.000517;0.109422;0.000310;0.000414;0.002999;0.002275;0.000103;0.000103;0.169201;0.000103;0.000103;0.000103;0.000103;0.024511;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103
ef;0.000307;0.147864;0.000307;0.050722;0.011067;0.032893;0.000307;0.210882;0.074085;0.195204;0.000307;0.116508;0.006456;0.000307;0.009222;0.000307;0.000307;0.000307;0.000307;0.001537;0.128804;0.007378;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307
er;0.000020;0.045213;0.017333;0.246702;0.043641;0.003124;0.001214;0.006686;0.000776;0.025771;0.001652;0.302183;0.100177;0.009393;0.044696;0.002129;0.002229;0.003781;0.032756;0.067043;0.006428;0.011403;0.005552;0.000020;0.000020;0.000358;0.018169;0.001353;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020
eg;0.000401;0.241974;0.020867;0.012039;0.278491;0.001204;0.000401;0.059390;0.106742;0.000401;0.004815;0.116774;0.004815;0.000401;0.000803;0.000803;0.000401;0.000401;0.004013;0.051766;0.000401;0.075843;0.011236;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401
eq;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.930902;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919;0.001919
ex;0.000251;0.103388;0.000251;0.039900;0.199749;0.000251;0.000251;0.003513;0.027604;0.231117;0.003262;0.036888;0.000502;0.096612;0.008783;0.000502;0.238143;0.000251;0.000251;0.001255;0.000502;0.000251;0.000502;0.000753;0.002258;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251;0.000251
ej;0.012048;0.024096;0.012048;0.012048;0.096386;0.012048;0.012048;0.048193;0.108434;0.012048;0.012048;0.337349;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
ev;0.000136;0.062797;0.000136;0.000678;0.034993;0.000271;0.000136;0.023057;0.000271;0.000136;0.000136;0.872237;0.000407;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000678;0.000136;0.000814;0.000271;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136;0.000136
ek;0.001403;0.035063;0.001403;0.436185;0.001403;0.011220;0.001403;0.001403;0.002805;0.001403;0.001403;0.137447;0.244039;0.001403;0.085554;0.001403;0.001403;0.002805;0.002805;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403;0.004208;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403;0.001403
ez;0.003497;0.034965;0.003497;0.314685;0.024476;0.003497;0.017483;0.024476;0.227273;0.003497;0.003497;0.094406;0.013986;0.003497;0.059441;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.066434;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.031469;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497
e,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
e.;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
eí;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
eö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
eá;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
eé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
eä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
e#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
s(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
si;0.000093;0.000093;0.031555;0.007167;0.036210;0.016848;0.042074;0.110304;0.000745;0.122033;0.000093;0.008843;0.054361;0.141394;0.001582;0.000093;0.001769;0.129480;0.159453;0.000093;0.002234;0.008005;0.048776;0.000093;0.017872;0.000093;0.050265;0.000465;0.007167;0.000093;0.000093;0.000093;0.000093;0.000093;0.000093;0.000093;0.000093
sm;0.000667;0.046000;0.000667;0.512667;0.228667;0.000667;0.000667;0.021333;0.006667;0.000667;0.000667;0.084667;0.016000;0.000667;0.064667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667;0.000667
s ;0.000011;0.110440;0.022778;0.001742;0.175676;0.033045;0.040718;0.067343;0.009095;0.152944;0.030496;0.012806;0.050325;0.027695;0.000387;0.066227;0.023859;0.018202;0.035015;0.021457;0.025521;0.021025;0.026159;0.001434;0.000114;0.013523;0.006773;0.004724;0.000137;0.000194;0.000068;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011
sa;0.000117;0.148343;0.120009;0.027280;0.000351;0.029856;0.003512;0.000234;0.027397;0.038988;0.000351;0.000117;0.007610;0.012528;0.004800;0.030558;0.003747;0.014050;0.070835;0.371619;0.014050;0.030676;0.021426;0.000117;0.000234;0.000234;0.016392;0.003512;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117
sl;0.000659;0.141634;0.000659;0.000659;0.296443;0.000659;0.000659;0.075758;0.011858;0.000659;0.000659;0.066535;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.387352;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659;0.000659
sb;0.008696;0.069565;0.008696;0.008696;0.286957;0.008696;0.008696;0.008696;0.165217;0.008696;0.008696;0.078261;0.008696;0.043478;0.008696;0.008696;0.008696;0.008696;0.008696;0.060870;0.008696;0.034783;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
so;0.000054;0.000327;0.225734;0.359148;0.000654;0.030519;0.000708;0.004414;0.039675;0.000381;0.000381;0.001308;0.000163;0.049539;0.055044;0.000218;0.004142;0.001744;0.103493;0.000327;0.003869;0.113249;0.001253;0.000054;0.000054;0.000054;0.002888;0.000054;0.000109;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054
su;0.000190;0.025700;0.074624;0.000761;0.039216;0.033124;0.072720;0.000190;0.000190;0.000381;0.000190;0.101085;0.058633;0.077289;0.000381;0.000190;0.213592;0.011993;0.015991;0.000190;0.014849;0.232819;0.022654;0.000190;0.000190;0.000190;0.000381;0.000381;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190
st;0.000035;0.119852;0.002298;0.347074;0.157787;0.007248;0.000247;0.059749;0.037546;0.000071;0.000530;0.091603;0.020576;0.000707;0.063320;0.000460;0.000141;0.000035;0.000035;0.003182;0.000212;0.085628;0.000990;0.000035;0.000035;0.000035;0.000035;0.000071;0.000035;0.000035;0.000177;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035
sh;0.000139;0.128889;0.009722;0.115972;0.061528;0.001528;0.002639;0.361528;0.012083;0.001944;0.000139;0.262639;0.001944;0.000139;0.024306;0.000417;0.000139;0.000139;0.003472;0.001806;0.000278;0.005694;0.000139;0.000139;0.000139;0.000139;0.000139;0.000833;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000278
se;0.000044;0.001786;0.004791;0.419599;0.019294;0.044991;0.000653;0.000436;0.001002;0.023127;0.000348;0.089503;0.039721;0.042160;0.073519;0.000740;0.006141;0.068815;0.086629;0.003136;0.001176;0.047648;0.002962;0.002744;0.007796;0.000044;0.010366;0.000436;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044
ss;0.000122;0.223415;0.014390;0.365244;0.062683;0.005976;0.000366;0.034756;0.080000;0.001585;0.000366;0.123049;0.001098;0.000244;0.063049;0.000732;0.001098;0.000244;0.001829;0.003537;0.007073;0.005854;0.000122;0.000122;0.000122;0.000122;0.001098;0.000610;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122
sc;0.000399;0.175369;0.000399;0.001993;0.132722;0.012754;0.000399;0.161419;0.064568;0.000399;0.194500;0.084894;0.000399;0.000797;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.160223;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399
s);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
sw;0.002421;0.184019;0.002421;0.002421;0.092010;0.002421;0.002421;0.053269;0.007264;0.002421;0.002421;0.585956;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421;0.002421
sp;0.000282;0.110641;0.000282;0.004798;0.078182;0.021733;0.000282;0.174146;0.010725;0.000282;0.012137;0.532599;0.002540;0.000282;0.000282;0.000282;0.000282;0.000282;0.000564;0.009032;0.000564;0.035563;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282;0.000282
sd;0.005051;0.045455;0.005051;0.030303;0.666667;0.005051;0.005051;0.050505;0.005051;0.005051;0.005051;0.010101;0.015152;0.005051;0.005051;0.005051;0.005051;0.005051;0.010101;0.005051;0.010101;0.015152;0.005051;0.005051;0.005051;0.005051;0.005051;0.010101;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051
sn;0.000683;0.005461;0.000683;0.000683;0.032765;0.000683;0.014334;0.019113;0.005461;0.856655;0.000683;0.043003;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.003413;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683;0.000683
sy;0.001041;0.001041;0.064516;0.217482;0.002081;0.054110;0.001041;0.001041;0.001041;0.005203;0.001041;0.002081;0.418314;0.049948;0.039542;0.001041;0.001041;0.002081;0.042664;0.001041;0.001041;0.072841;0.001041;0.001041;0.001041;0.001041;0.001041;0.001041;0.001041;0.001041;0.004162;0.001041;0.001041;0.001041;0.001041;0.001041;0.001041
sf;0.005464;0.054645;0.005464;0.005464;0.065574;0.005464;0.005464;0.174863;0.360656;0.005464;0.005464;0.125683;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.016393;0.032787;0.005464;0.010929;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464
sr;0.003279;0.006557;0.003279;0.016393;0.504918;0.003279;0.003279;0.157377;0.121311;0.003279;0.003279;0.088525;0.003279;0.003279;0.003279;0.003279;0.006557;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279
sg;0.005917;0.035503;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.562130;0.005917;0.005917;0.142012;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.065089;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917
sq;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.739130;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246
sx;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
sj;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
sv;0.018519;0.166667;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.055556;0.018519;0.018519;0.018519;0.018519;0.148148;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
sk;0.001056;0.247096;0.005280;0.280887;0.017951;0.001056;0.002112;0.005280;0.003168;0.002112;0.001056;0.234424;0.029567;0.001056;0.047518;0.001056;0.001056;0.001056;0.001056;0.091869;0.006336;0.002112;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056;0.001056
sz;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
s,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
s.;0.007576;0.007576;0.007576;0.583333;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.053030;0.106061;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576
