smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
uo;0.001522;0.001522;0.015221;0.001522;0.001522;0.001522;0.001522;0.001522;0.794521;0.009132;0.070015;0.063927;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522
u);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ub;0.000379;0.012509;0.002274;0.060652;0.087187;0.023503;0.000379;0.000379;0.029947;0.080743;0.006065;0.015163;0.006823;0.001137;0.000379;0.000379;0.002274;0.003791;0.012509;0.017817;0.001895;0.000379;0.000379;0.001516;0.000379;0.579985;0.000379;0.019333;0.028810;0.000379;0.000379;0.000379;0.000379;0.000379;0.000379;0.000379
uc;0.000295;0.000295;0.005009;0.050383;0.001473;0.013259;0.000295;0.000295;0.195050;0.001179;0.012080;0.000295;0.019151;0.008839;0.306718;0.000295;0.000295;0.002946;0.000589;0.000295;0.036535;0.000295;0.000295;0.000295;0.000295;0.053329;0.287272;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295
uz;0.004545;0.004545;0.004545;0.004545;0.022727;0.009091;0.004545;0.004545;0.004545;0.404545;0.009091;0.004545;0.063636;0.004545;0.004545;0.004545;0.004545;0.004545;0.045455;0.004545;0.004545;0.313636;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545;0.004545
ux;0.011905;0.011905;0.011905;0.023810;0.011905;0.011905;0.011905;0.011905;0.047619;0.154762;0.333333;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.071429;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
uv;0.003086;0.003086;0.003086;0.879630;0.003086;0.012346;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.006173;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086
uf;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.002765;0.000922;0.002765;0.061751;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.001843;0.000922;0.000922;0.000922;0.899539;0.003687;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922;0.000922
ul;0.000105;0.001152;0.000105;0.028595;0.004190;0.020425;0.481094;0.001676;0.099927;0.074055;0.001990;0.001257;0.109458;0.016340;0.000314;0.002933;0.000105;0.015921;0.016445;0.000314;0.000209;0.000105;0.000105;0.000314;0.004295;0.115115;0.002514;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105
uk;0.007752;0.007752;0.116279;0.271318;0.007752;0.062016;0.007752;0.007752;0.007752;0.162791;0.007752;0.007752;0.031008;0.007752;0.015504;0.007752;0.007752;0.031008;0.069767;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.031008;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752
u.;0.007407;0.007407;0.007407;0.007407;0.740741;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
uj;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
uq;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.285714;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
u,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ué;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
uá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
uä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
uí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
u#;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
m(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mp;0.000112;0.000112;0.021010;0.038444;0.069066;0.016316;0.000112;0.000112;0.043473;0.379750;0.024922;0.000112;0.132655;0.000559;0.003129;0.000112;0.000112;0.050402;0.065489;0.000224;0.000112;0.000112;0.000112;0.000112;0.000224;0.151542;0.000559;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112
mr;0.005618;0.005618;0.005618;0.011236;0.044944;0.011236;0.005618;0.005618;0.005618;0.011236;0.005618;0.005618;0.016854;0.005618;0.005618;0.005618;0.005618;0.028090;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.713483;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618
me;0.000038;0.000867;0.083726;0.010291;0.070570;0.000226;0.075131;0.193840;0.061673;0.271610;0.000038;0.043541;0.084706;0.011309;0.003921;0.001433;0.002903;0.006748;0.046292;0.017265;0.001206;0.000113;0.001244;0.000188;0.000113;0.010593;0.000038;0.000038;0.000075;0.000038;0.000038;0.000038;0.000038;0.000038;0.000038;0.000038
ms;0.000583;0.001166;0.000583;0.197668;0.000583;0.001749;0.000583;0.030904;0.018659;0.637318;0.001166;0.000583;0.000583;0.001166;0.000583;0.000583;0.000583;0.005831;0.086880;0.000583;0.001749;0.000583;0.000583;0.000583;0.000583;0.000583;0.001749;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583
mi;0.000123;0.000123;0.017406;0.006987;0.106153;0.000123;0.038245;0.346776;0.101495;0.002819;0.008703;0.000245;0.007477;0.000123;0.000123;0.065089;0.000123;0.000123;0.000858;0.000123;0.081515;0.013484;0.004045;0.000123;0.001839;0.179333;0.015322;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123
md;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
mn;0.003817;0.003817;0.003817;0.229008;0.049618;0.290076;0.003817;0.003817;0.003817;0.255725;0.003817;0.003817;0.011450;0.003817;0.003817;0.003817;0.003817;0.007634;0.045802;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817
mt;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393;0.278689;0.016393;0.016393;0.016393;0.032787;0.065574;0.016393;0.016393;0.016393;0.049180;0.016393;0.016393;0.016393;0.016393;0.049180;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
m ;0.000074;0.027227;0.016203;0.011986;0.110758;0.084788;0.015093;0.044244;0.158257;0.020198;0.007843;0.023454;0.127848;0.018127;0.033886;0.031222;0.049571;0.056822;0.002590;0.053418;0.023010;0.000592;0.000814;0.005475;0.035957;0.014723;0.009100;0.000592;0.014797;0.000592;0.000370;0.000074;0.000074;0.000074;0.000074;0.000074
mu;0.000441;0.000882;0.082929;0.036171;0.218791;0.000441;0.009263;0.112483;0.020732;0.001323;0.000441;0.014557;0.000441;0.000441;0.001764;0.011910;0.000441;0.000441;0.001323;0.001764;0.317159;0.004852;0.000441;0.000441;0.000882;0.154830;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441
mm;0.000340;0.000340;0.000340;0.227211;0.000680;0.212245;0.000340;0.000340;0.000340;0.225170;0.088095;0.002381;0.045578;0.080612;0.001701;0.000340;0.000340;0.065306;0.042517;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340;0.000340
ma;0.000071;0.001212;0.098338;0.000071;0.051701;0.040719;0.045853;0.214077;0.138701;0.050702;0.000713;0.000713;0.000214;0.065820;0.001498;0.032090;0.000071;0.000143;0.011624;0.005990;0.015403;0.022178;0.006989;0.000071;0.000214;0.036226;0.139343;0.000071;0.018684;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071
my;0.000327;0.000327;0.002287;0.001960;0.034303;0.000327;0.000327;0.000327;0.009147;0.788631;0.000327;0.000327;0.000327;0.000327;0.000327;0.000653;0.000653;0.000327;0.153218;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327
mh;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.127660;0.021277;0.021277;0.021277;0.021277;0.021277;0.148936;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
mg;0.021277;0.021277;0.148936;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
mw;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mo;0.000099;0.002584;0.254919;0.000398;0.087060;0.001590;0.018585;0.178394;0.044226;0.047108;0.047605;0.024349;0.001690;0.000199;0.000497;0.001093;0.000994;0.034089;0.007354;0.017889;0.130789;0.000199;0.000099;0.081097;0.000298;0.010833;0.004870;0.000099;0.000298;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099
m);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mb;0.000454;0.000454;0.034014;0.685261;0.028118;0.035828;0.000454;0.000454;0.000454;0.052154;0.012245;0.001814;0.065306;0.000454;0.000454;0.000454;0.000454;0.028571;0.008163;0.000907;0.000454;0.000454;0.000454;0.000454;0.000907;0.036281;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454
mc;0.002092;0.002092;0.010460;0.006276;0.008368;0.002092;0.046025;0.002092;0.002092;0.006276;0.002092;0.018828;0.037657;0.002092;0.006276;0.098326;0.002092;0.004184;0.002092;0.002092;0.642259;0.002092;0.002092;0.002092;0.004184;0.039749;0.020921;0.002092;0.002092;0.006276;0.002092;0.002092;0.002092;0.002092;0.002092;0.002092
mz;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
mx;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
mv;0.011364;0.011364;0.011364;0.011364;0.011364;0.022727;0.011364;0.011364;0.011364;0.079545;0.011364;0.511364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
mf;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.030702;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.815789;0.008772;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386;0.004386
ml;0.009804;0.009804;0.009804;0.245098;0.009804;0.225490;0.009804;0.009804;0.009804;0.029412;0.009804;0.009804;0.029412;0.137255;0.009804;0.009804;0.009804;0.019608;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.029412;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
mk;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
m.;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.559322;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.118644;0.005650;0.135593;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
mj;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
m,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
má;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
m#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
a(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ap;0.000159;0.484276;0.026684;0.075762;0.016518;0.199174;0.000159;0.000318;0.008736;0.046855;0.001588;0.000159;0.043361;0.002065;0.020966;0.000159;0.000159;0.060038;0.007942;0.000318;0.000476;0.000159;0.000159;0.000159;0.000159;0.001747;0.000318;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159
ar;0.000035;0.001911;0.038750;0.308021;0.050740;0.047265;0.064989;0.013033;0.118266;0.095677;0.000035;0.016786;0.040592;0.044172;0.000104;0.033120;0.000070;0.024849;0.018697;0.008515;0.012616;0.000174;0.001043;0.004900;0.000591;0.027386;0.026865;0.000035;0.000487;0.000070;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035
ae;0.001401;0.050420;0.005602;0.001401;0.009804;0.005602;0.015406;0.001401;0.001401;0.009804;0.001401;0.001401;0.002801;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.859944;0.002801;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401;0.001401
as;0.000038;0.002080;0.000038;0.068041;0.076059;0.048449;0.000076;0.012330;0.097315;0.467247;0.006581;0.000908;0.001475;0.012519;0.061536;0.000038;0.000038;0.037292;0.078707;0.000076;0.003555;0.000038;0.000038;0.000038;0.000038;0.000492;0.024546;0.000038;0.000038;0.000113;0.000038;0.000038;0.000038;0.000038;0.000038;0.000038
ai;0.000099;0.000099;0.068125;0.000099;0.028642;0.001989;0.236599;0.403879;0.033118;0.001293;0.000099;0.037195;0.000398;0.000298;0.000099;0.056290;0.000199;0.000696;0.000099;0.000099;0.000597;0.000099;0.000099;0.001293;0.000199;0.127300;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099
ad;0.000114;0.001366;0.000910;0.168431;0.014795;0.062479;0.038921;0.005235;0.000341;0.404916;0.012405;0.066803;0.013543;0.050984;0.001024;0.000910;0.000341;0.019005;0.060089;0.000455;0.001707;0.000114;0.000114;0.044953;0.000569;0.023102;0.000114;0.000114;0.004097;0.001366;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114
an;0.000017;0.000050;0.000017;0.007829;0.044993;0.018414;0.461979;0.016969;0.093700;0.172698;0.002134;0.000118;0.014197;0.056620;0.000252;0.019523;0.001025;0.009543;0.034274;0.000067;0.027974;0.000185;0.000101;0.000034;0.000134;0.000470;0.016448;0.000017;0.000067;0.000050;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
at;0.000018;0.000036;0.003971;0.130102;0.082472;0.135825;0.000304;0.000143;0.031586;0.483456;0.007441;0.001306;0.004507;0.000376;0.019048;0.000250;0.000018;0.011304;0.075943;0.000107;0.009354;0.000107;0.000018;0.000018;0.001037;0.001055;0.000036;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018
a ;0.000041;0.063550;0.046017;0.003801;0.093138;0.027177;0.043198;0.023172;0.070783;0.004863;0.004250;0.049450;0.038007;0.008010;0.047407;0.056030;0.053905;0.015693;0.001553;0.088275;0.070947;0.000368;0.000327;0.018840;0.048919;0.103805;0.005803;0.000245;0.008133;0.003882;0.000204;0.000041;0.000041;0.000041;0.000041;0.000041
au;0.000150;0.000150;0.022492;0.001949;0.657220;0.001200;0.030589;0.014245;0.061329;0.012596;0.000150;0.002399;0.000150;0.000150;0.000150;0.100615;0.000150;0.000150;0.002399;0.000300;0.016344;0.000150;0.001499;0.000150;0.000750;0.070625;0.000600;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150
am;0.000102;0.128213;0.000307;0.416283;0.012698;0.096262;0.000102;0.005325;0.000205;0.094112;0.001639;0.010343;0.161700;0.002151;0.000102;0.000307;0.000205;0.040451;0.015566;0.010241;0.000307;0.000102;0.000102;0.000102;0.000102;0.001946;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102
aa;0.012987;0.038961;0.129870;0.012987;0.038961;0.012987;0.038961;0.038961;0.025974;0.090909;0.012987;0.116883;0.051948;0.012987;0.012987;0.025974;0.012987;0.012987;0.025974;0.012987;0.025974;0.012987;0.012987;0.025974;0.012987;0.038961;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
ay;0.000071;0.000142;0.000283;0.015000;0.156301;0.091417;0.000212;0.000354;0.000354;0.600085;0.000071;0.002972;0.001627;0.000071;0.000071;0.000071;0.000495;0.003043;0.088375;0.036298;0.000212;0.000283;0.000071;0.000212;0.000212;0.000991;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071
ah;0.000955;0.000955;0.005731;0.070678;0.022923;0.002865;0.000955;0.009551;0.000955;0.574976;0.029608;0.007641;0.096466;0.004776;0.000955;0.000955;0.001910;0.023878;0.093601;0.000955;0.000955;0.000955;0.001910;0.000955;0.000955;0.033429;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955
ag;0.000159;0.000478;0.068421;0.362201;0.005742;0.037321;0.000797;0.009091;0.000159;0.031100;0.012440;0.001276;0.370175;0.000159;0.009729;0.019617;0.000159;0.057895;0.004785;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.005742;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159;0.000159
aw;0.000509;0.000509;0.008138;0.077823;0.077823;0.007121;0.001017;0.018820;0.000509;0.299593;0.000509;0.010682;0.258901;0.085961;0.001526;0.001017;0.000509;0.001017;0.056968;0.002035;0.000509;0.000509;0.000509;0.000509;0.059512;0.005595;0.017294;0.000509;0.000509;0.000509;0.000509;0.000509;0.000509;0.000509;0.000509;0.000509
ao;0.006494;0.006494;0.461039;0.006494;0.233766;0.006494;0.006494;0.006494;0.032468;0.025974;0.006494;0.006494;0.006494;0.006494;0.012987;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.032468;0.012987;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
a);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ab;0.000115;0.000115;0.010320;0.032336;0.026029;0.035546;0.001376;0.000229;0.000115;0.006765;0.018347;0.000115;0.015939;0.013187;0.000688;0.000115;0.000229;0.630776;0.001147;0.009632;0.004701;0.000115;0.000115;0.000115;0.000115;0.189886;0.000115;0.000115;0.000803;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115
ac;0.000077;0.000230;0.017569;0.117539;0.000384;0.053706;0.000153;0.000077;0.367807;0.003376;0.005601;0.000153;0.011508;0.022326;0.062222;0.000077;0.000077;0.005831;0.000997;0.000153;0.089151;0.000077;0.000077;0.000077;0.000230;0.003376;0.235154;0.000077;0.000077;0.001381;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077
