smoothed;3
(;t;h;e; ;r;a;m;i;n;s;b;u;g;w;o;v;);l;y;c;d;f;p;j;k;x;z;#
w);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wl;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wy;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wc;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wd;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wf;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wp;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wk;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wx;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wz;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
w#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
o(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ot;0.012346;0.012346;0.283951;0.098765;0.222222;0.012346;0.012346;0.012346;0.037037;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.024691;0.012346;0.049383;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
oh;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
oe;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
o ;0.005814;0.186047;0.069767;0.023256;0.011628;0.011628;0.058140;0.034884;0.040698;0.017442;0.058140;0.034884;0.017442;0.040698;0.034884;0.029070;0.011628;0.005814;0.046512;0.034884;0.029070;0.040698;0.034884;0.069767;0.011628;0.023256;0.005814;0.005814;0.005814
or;0.006329;0.164557;0.006329;0.094937;0.227848;0.050633;0.018987;0.037975;0.050633;0.012658;0.018987;0.018987;0.006329;0.012658;0.012658;0.012658;0.006329;0.044304;0.018987;0.012658;0.063291;0.044304;0.006329;0.012658;0.006329;0.012658;0.006329;0.006329;0.006329
oa;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
om;0.014085;0.014085;0.014085;0.239437;0.183099;0.014085;0.028169;0.042254;0.070423;0.014085;0.014085;0.028169;0.014085;0.014085;0.014085;0.042254;0.014085;0.014085;0.014085;0.028169;0.014085;0.014085;0.014085;0.056338;0.014085;0.014085;0.014085;0.014085;0.014085
oi;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.309524;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
on;0.004525;0.076923;0.004525;0.067873;0.339367;0.004525;0.095023;0.004525;0.013575;0.013575;0.081448;0.004525;0.004525;0.067873;0.004525;0.022624;0.009050;0.045249;0.027149;0.004525;0.013575;0.045249;0.018100;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525
os;0.017857;0.089286;0.017857;0.160714;0.035714;0.017857;0.017857;0.017857;0.107143;0.017857;0.142857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857
ob;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.068182;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.181818;0.045455;0.045455;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ou;0.005128;0.123077;0.005128;0.005128;0.251282;0.107692;0.005128;0.005128;0.005128;0.102564;0.076923;0.005128;0.005128;0.056410;0.005128;0.005128;0.010256;0.051282;0.107692;0.005128;0.005128;0.005128;0.005128;0.015385;0.005128;0.005128;0.005128;0.005128;0.005128
og;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.142857;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ow;0.010101;0.010101;0.010101;0.080808;0.525253;0.010101;0.020202;0.010101;0.020202;0.090909;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.030303;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
oo;0.023256;0.023256;0.023256;0.023256;0.046512;0.046512;0.023256;0.046512;0.023256;0.046512;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.162791;0.023256;0.023256;0.023256
ov;0.020833;0.020833;0.020833;0.395833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
o);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ol;0.015625;0.015625;0.015625;0.156250;0.046875;0.015625;0.093750;0.015625;0.234375;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.046875;0.031250;0.015625;0.031250;0.015625;0.015625;0.031250;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
oy;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
oc;0.016949;0.016949;0.016949;0.084746;0.016949;0.169492;0.033898;0.016949;0.135593;0.016949;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.067797;0.016949;0.016949;0.016949;0.016949;0.084746;0.016949;0.016949;0.016949
od;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.232558;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
of;0.008475;0.016949;0.008475;0.008475;0.627119;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.110169;0.008475;0.008475;0.008475;0.008475;0.033898;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475
op;0.012048;0.048193;0.060241;0.228916;0.024096;0.024096;0.012048;0.024096;0.024096;0.012048;0.012048;0.012048;0.096386;0.012048;0.012048;0.012048;0.012048;0.024096;0.168675;0.012048;0.012048;0.012048;0.012048;0.060241;0.012048;0.012048;0.012048;0.012048;0.012048
oj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ok;0.025641;0.025641;0.025641;0.128205;0.153846;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ox;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
oz;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
o#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
v(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vt;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ve;0.007752;0.015504;0.007752;0.007752;0.333333;0.271318;0.007752;0.031008;0.007752;0.069767;0.038760;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.038760;0.038760;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752
v ;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vr;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
va;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
vm;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vi;0.018868;0.056604;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.094340;0.075472;0.018868;0.018868;0.037736;0.018868;0.094340;0.018868;0.018868;0.056604;0.018868;0.075472;0.037736;0.018868;0.018868;0.037736;0.056604;0.018868;0.018868;0.018868
vn;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vs;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vu;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vw;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vo;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303
vv;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
v);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vl;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vy;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vc;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vd;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vf;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vp;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vk;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vx;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vz;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
v#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)t;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)h;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)e;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
) ;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)r;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)a;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)m;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)i;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)n;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)s;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)b;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)u;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)g;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)w;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)o;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)v;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
));0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)l;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)y;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)c;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)d;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)f;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
)p;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
