smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
t(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
t);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
tf;0.019608;0.019608;0.019608;0.019608;0.274510;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.215686;0.019608;0.019608;0.019608;0.019608
tr;0.000366;0.000366;0.000366;0.000366;0.106554;0.000366;0.000366;0.000366;0.086781;0.000366;0.192603;0.000366;0.000366;0.140242;0.000366;0.000366;0.000366;0.222629;0.000366;0.000366;0.000366;0.243867;0.000366;0.000366;0.000366;0.000366
to;0.000119;0.006670;0.000238;0.090400;0.018818;0.010124;0.752739;0.022630;0.000357;0.010362;0.001310;0.000476;0.004645;0.000715;0.000834;0.002620;0.004526;0.000238;0.000119;0.022511;0.007980;0.006313;0.017985;0.016198;0.000476;0.000596
tm;0.005618;0.005618;0.005618;0.005618;0.022472;0.005618;0.005618;0.005618;0.792135;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.056180;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618
t ;0.000044;0.000044;0.027382;0.020944;0.076370;0.029940;0.000044;0.017549;0.018608;0.090127;0.022444;0.009392;0.196437;0.091847;0.053574;0.030425;0.036774;0.100269;0.063892;0.030469;0.016447;0.010274;0.024692;0.018563;0.003968;0.009480
tn;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.588235;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706
te;0.000135;0.008507;0.000810;0.252903;0.000270;0.036727;0.176884;0.071564;0.056846;0.000270;0.000135;0.000270;0.000270;0.003376;0.075749;0.021874;0.000405;0.021199;0.000270;0.185660;0.007967;0.000270;0.009857;0.053740;0.010127;0.003916
tw;0.001232;0.001232;0.001232;0.001232;0.488916;0.001232;0.001232;0.001232;0.448276;0.001232;0.001232;0.001232;0.001232;0.032020;0.001232;0.001232;0.001232;0.003695;0.001232;0.001232;0.001232;0.001232;0.001232;0.001232;0.001232;0.001232
ty;0.000680;0.060544;0.000680;0.002041;0.000680;0.000680;0.888435;0.000680;0.000680;0.000680;0.000680;0.000680;0.000680;0.001361;0.003401;0.000680;0.000680;0.000680;0.000680;0.000680;0.000680;0.000680;0.025850;0.005442;0.000680;0.000680
tk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
tt;0.000743;0.002974;0.000743;0.007435;0.058736;0.000743;0.029740;0.000743;0.339033;0.000743;0.107063;0.000743;0.000743;0.165056;0.006691;0.000743;0.000743;0.117472;0.000743;0.000743;0.000743;0.000743;0.000743;0.153903;0.000743;0.000743
ti;0.000149;0.000298;0.013405;0.009681;0.371463;0.111260;0.003277;0.160560;0.030682;0.000149;0.000149;0.000149;0.016682;0.000149;0.007894;0.108728;0.000894;0.033810;0.000149;0.000298;0.037534;0.000149;0.004021;0.026065;0.056449;0.005958
ts;0.000322;0.031853;0.000322;0.000322;0.001931;0.000644;0.932754;0.000322;0.007722;0.000322;0.000322;0.001287;0.002252;0.013835;0.000322;0.000322;0.000644;0.000322;0.001287;0.000322;0.000322;0.000644;0.000644;0.000322;0.000322;0.000322
tc;0.004444;0.013333;0.004444;0.013333;0.053333;0.004444;0.026667;0.004444;0.004444;0.004444;0.022222;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.008889;0.777778;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444
tb;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.377778;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ta;0.000284;0.001706;0.009949;0.141842;0.000284;0.003695;0.033826;0.137010;0.000284;0.001421;0.015634;0.095793;0.170836;0.061683;0.005685;0.048607;0.041785;0.000284;0.001706;0.001421;0.018476;0.003980;0.010517;0.164014;0.000569;0.028709
th;0.000036;0.002512;0.000144;0.014536;0.028319;0.000144;0.065181;0.000144;0.564230;0.000179;0.000826;0.000036;0.000036;0.134489;0.002584;0.000287;0.000036;0.182441;0.000072;0.000323;0.000036;0.001974;0.000036;0.001292;0.000036;0.000072
td;0.023256;0.023256;0.023256;0.023256;0.372093;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
tg;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.161290;0.032258;0.032258;0.032258;0.032258
tu;0.000938;0.000938;0.053471;0.326454;0.004690;0.008443;0.000938;0.055347;0.060038;0.000938;0.000938;0.000938;0.065666;0.001876;0.009381;0.015947;0.002814;0.314259;0.000938;0.059099;0.003752;0.000938;0.004690;0.004690;0.000938;0.000938
tp;0.034483;0.034483;0.034483;0.034483;0.137931;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
tl;0.001776;0.001776;0.001776;0.001776;0.001776;0.001776;0.001776;0.001776;0.442274;0.001776;0.452931;0.001776;0.001776;0.024867;0.001776;0.001776;0.001776;0.037300;0.001776;0.001776;0.001776;0.001776;0.001776;0.005329;0.001776;0.001776
tv;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.377778;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
t#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.147059;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
i(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
i);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
if;0.000696;0.004875;0.170613;0.000696;0.052228;0.000696;0.407382;0.000696;0.079387;0.000696;0.027159;0.000696;0.099582;0.105850;0.000696;0.000696;0.000696;0.022284;0.000696;0.000696;0.000696;0.013231;0.000696;0.006964;0.000696;0.000696
ir;0.000504;0.015106;0.001007;0.008056;0.023666;0.029204;0.351964;0.002014;0.172205;0.001511;0.002014;0.001511;0.067976;0.016616;0.138973;0.019134;0.001511;0.053877;0.000504;0.029204;0.004532;0.001007;0.003021;0.052367;0.001511;0.001007
io;0.000285;0.001713;0.000285;0.017414;0.000285;0.000285;0.015986;0.876392;0.000285;0.000856;0.000285;0.000285;0.001998;0.000285;0.002569;0.000285;0.000285;0.000285;0.000285;0.007708;0.000285;0.048244;0.000571;0.021981;0.000285;0.000571
im;0.000382;0.027512;0.000382;0.000764;0.014903;0.075277;0.332442;0.000382;0.272831;0.000382;0.000764;0.000382;0.000382;0.056171;0.034773;0.000382;0.005732;0.060374;0.000382;0.000382;0.000382;0.004585;0.108521;0.000764;0.000382;0.000382
i ;0.000419;0.000419;0.022213;0.035624;0.007544;0.066220;0.000419;0.014250;0.008801;0.153814;0.001257;0.025566;0.189858;0.018022;0.059514;0.043588;0.017184;0.069153;0.067058;0.101006;0.035624;0.004610;0.011316;0.030595;0.001676;0.014250
in;0.000061;0.004471;0.010902;0.000061;0.001347;0.000367;0.230232;0.005145;0.041526;0.000061;0.000919;0.043915;0.069333;0.019232;0.022417;0.020641;0.000306;0.021804;0.000796;0.048141;0.424205;0.006125;0.000122;0.004410;0.021743;0.001715
ie;0.000580;0.006381;0.040023;0.068445;0.000580;0.001160;0.049304;0.121810;0.000580;0.077146;0.000580;0.000580;0.044084;0.000580;0.356729;0.017401;0.000580;0.000580;0.000580;0.106148;0.002320;0.001160;0.000580;0.019142;0.082367;0.000580
iw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
iy;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ik;0.001109;0.001109;0.001109;0.001109;0.001109;0.001109;0.001109;0.001109;0.955654;0.001109;0.001109;0.001109;0.001109;0.016630;0.001109;0.001109;0.001109;0.002217;0.001109;0.001109;0.001109;0.001109;0.001109;0.001109;0.001109;0.001109
it;0.000133;0.028000;0.000267;0.000800;0.008933;0.001733;0.289600;0.002933;0.095067;0.000133;0.076000;0.000133;0.043733;0.080800;0.135200;0.005600;0.000133;0.025467;0.184667;0.000267;0.000133;0.017333;0.000133;0.001467;0.000133;0.001200
ii;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
is;0.000123;0.016022;0.000863;0.009490;0.015405;0.009120;0.690905;0.006285;0.020212;0.000123;0.000246;0.005792;0.085408;0.039808;0.032906;0.013680;0.000123;0.007395;0.027483;0.001109;0.002218;0.000986;0.004683;0.009243;0.000123;0.000246
ic;0.000263;0.007100;0.000263;0.003155;0.006048;0.000263;0.131475;0.000263;0.154615;0.000263;0.014988;0.042072;0.072837;0.064160;0.030502;0.000263;0.000263;0.297397;0.133316;0.000263;0.000263;0.029187;0.000263;0.009992;0.000263;0.000263
ib;0.002237;0.002237;0.002237;0.013423;0.002237;0.002237;0.002237;0.002237;0.255034;0.002237;0.031320;0.002237;0.002237;0.181208;0.004474;0.002237;0.008949;0.026846;0.002237;0.002237;0.002237;0.078300;0.002237;0.362416;0.002237;0.002237
ia;0.000665;0.044578;0.000665;0.015968;0.000665;0.003327;0.225549;0.183633;0.001331;0.000665;0.000665;0.000665;0.098470;0.000665;0.017964;0.001996;0.009980;0.000665;0.002661;0.000665;0.012641;0.000665;0.001331;0.372588;0.000665;0.000665
ih;0.033333;0.033333;0.033333;0.033333;0.166667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
id;0.000315;0.015113;0.000315;0.000315;0.001259;0.000630;0.266688;0.058249;0.523615;0.001889;0.000315;0.000315;0.004723;0.016373;0.025189;0.000315;0.000315;0.038098;0.000315;0.018577;0.010076;0.014169;0.000315;0.001889;0.000315;0.000315
ig;0.000417;0.002085;0.000417;0.077982;0.001251;0.000417;0.060467;0.130525;0.015013;0.000417;0.000834;0.000417;0.000417;0.024604;0.000417;0.000417;0.000417;0.111343;0.519600;0.000417;0.023770;0.026689;0.000417;0.000417;0.000417;0.000417
iu;0.013333;0.013333;0.013333;0.013333;0.013333;0.453333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.093333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.146667;0.013333;0.013333
ip;0.003086;0.043210;0.003086;0.003086;0.009259;0.015432;0.336420;0.003086;0.070988;0.003086;0.003086;0.003086;0.043210;0.012346;0.070988;0.003086;0.003086;0.123457;0.015432;0.003086;0.003086;0.012346;0.086420;0.120370;0.003086;0.003086
il;0.000396;0.007911;0.000396;0.000396;0.007120;0.003956;0.066060;0.000396;0.103639;0.000396;0.096123;0.002769;0.021361;0.111551;0.016218;0.000396;0.001978;0.018592;0.000396;0.068434;0.000396;0.002373;0.000396;0.466772;0.001187;0.000396
iv;0.000717;0.000717;0.000717;0.000717;0.015782;0.000717;0.002152;0.000717;0.772597;0.000717;0.002152;0.000717;0.000717;0.144907;0.000717;0.000717;0.000717;0.048063;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717
i#;0.001957;0.011742;0.001957;0.001957;0.043053;0.001957;0.154599;0.001957;0.373777;0.001957;0.001957;0.001957;0.207436;0.058708;0.001957;0.001957;0.001957;0.066536;0.001957;0.001957;0.001957;0.045010;0.001957;0.001957;0.001957;0.005871
s(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
s);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
sf;0.018519;0.018519;0.018519;0.018519;0.148148;0.018519;0.018519;0.018519;0.111111;0.018519;0.074074;0.018519;0.018519;0.092593;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.185185;0.018519;0.018519;0.018519;0.018519
sr;0.008264;0.008264;0.008264;0.008264;0.140496;0.008264;0.008264;0.008264;0.066116;0.008264;0.008264;0.008264;0.008264;0.033058;0.008264;0.008264;0.008264;0.512397;0.008264;0.008264;0.008264;0.074380;0.008264;0.008264;0.008264;0.008264
so;0.000265;0.011671;0.002387;0.046950;0.010610;0.230504;0.432361;0.119363;0.001592;0.000265;0.000531;0.000265;0.003448;0.001592;0.000531;0.022546;0.000531;0.001061;0.000265;0.004509;0.000265;0.048541;0.003714;0.045623;0.010345;0.000265
sm;0.004505;0.036036;0.004505;0.004505;0.108108;0.004505;0.306306;0.004505;0.090090;0.004505;0.004505;0.004505;0.004505;0.045045;0.027027;0.004505;0.004505;0.292793;0.004505;0.004505;0.004505;0.013514;0.004505;0.004505;0.004505;0.004505
s ;0.000043;0.000043;0.031948;0.025152;0.066364;0.025628;0.000043;0.031429;0.015541;0.068658;0.013030;0.006147;0.163853;0.086667;0.049264;0.037706;0.044156;0.165281;0.040000;0.023463;0.023810;0.009004;0.030433;0.025411;0.007316;0.009610
sn;0.003115;0.003115;0.003115;0.003115;0.031153;0.003115;0.003115;0.003115;0.034268;0.003115;0.003115;0.003115;0.813084;0.024922;0.003115;0.003115;0.003115;0.021807;0.003115;0.003115;0.003115;0.012461;0.003115;0.003115;0.003115;0.003115
se;0.000167;0.018158;0.000500;0.056139;0.000167;0.002332;0.410628;0.101283;0.099284;0.002332;0.001499;0.000167;0.016492;0.002166;0.039480;0.053307;0.000833;0.019990;0.000333;0.072297;0.001832;0.000500;0.009329;0.051141;0.029652;0.009995
sw;0.006944;0.006944;0.006944;0.006944;0.041667;0.006944;0.006944;0.006944;0.520833;0.006944;0.006944;0.006944;0.006944;0.159722;0.006944;0.006944;0.006944;0.118056;0.006944;0.006944;0.006944;0.013889;0.006944;0.006944;0.006944;0.006944
sy;0.003106;0.018634;0.003106;0.068323;0.003106;0.062112;0.167702;0.018634;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.468944;0.052795;0.003106;0.003106;0.003106;0.009317;0.003106;0.003106;0.003106;0.080745;0.003106;0.003106
sk;0.002882;0.025937;0.005764;0.002882;0.002882;0.002882;0.305476;0.002882;0.305476;0.002882;0.043228;0.002882;0.002882;0.201729;0.046110;0.002882;0.002882;0.014409;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882
st;0.000145;0.011421;0.000289;0.096285;0.061443;0.001735;0.319936;0.000145;0.102067;0.000145;0.001301;0.000145;0.000145;0.157583;0.017782;0.000145;0.000145;0.202978;0.000145;0.000145;0.000145;0.020385;0.000434;0.004626;0.000145;0.000145
si;0.000260;0.000521;0.003386;0.003907;0.113571;0.027090;0.002344;0.125293;0.009638;0.000260;0.000260;0.000260;0.081792;0.000260;0.041678;0.039594;0.033863;0.084397;0.000260;0.303725;0.038291;0.000260;0.002084;0.017973;0.022402;0.046627
ss;0.000438;0.027607;0.004382;0.005259;0.021034;0.006573;0.311131;0.001315;0.112621;0.000876;0.008764;0.000438;0.001315;0.337862;0.001315;0.000438;0.000438;0.063103;0.000438;0.000438;0.000438;0.085451;0.003067;0.004382;0.000438;0.000438
sc;0.001531;0.001531;0.001531;0.200613;0.156202;0.001531;0.001531;0.001531;0.052067;0.001531;0.001531;0.001531;0.001531;0.068913;0.001531;0.001531;0.001531;0.145482;0.235835;0.001531;0.001531;0.090352;0.001531;0.022971;0.001531;0.001531
sb;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.269231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.173077;0.019231;0.019231;0.019231;0.115385;0.019231;0.019231;0.019231;0.019231
sa;0.000485;0.001456;0.020864;0.022804;0.000485;0.076177;0.010674;0.161087;0.000485;0.028142;0.304221;0.000970;0.043668;0.179525;0.005337;0.011645;0.005822;0.000485;0.000485;0.017952;0.037846;0.017467;0.009219;0.031053;0.011160;0.000485
sh;0.000546;0.008183;0.000546;0.003819;0.280415;0.009274;0.124932;0.004910;0.343699;0.000546;0.005456;0.001091;0.000546;0.134206;0.000546;0.000546;0.000546;0.049100;0.000546;0.000546;0.000546;0.025641;0.000546;0.001637;0.001091;0.000546
sd;0.005917;0.005917;0.005917;0.005917;0.017751;0.005917;0.005917;0.005917;0.011834;0.005917;0.005917;0.005917;0.005917;0.023669;0.005917;0.005917;0.005917;0.816568;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917
sg;0.022727;0.022727;0.022727;0.181818;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.022727;0.022727;0.022727
su;0.000732;0.000732;0.010973;0.216533;0.000732;0.076811;0.000732;0.029261;0.114119;0.000732;0.000732;0.000732;0.002195;0.038040;0.051207;0.052670;0.070227;0.040966;0.000732;0.032919;0.024140;0.000732;0.165326;0.066569;0.000732;0.000732
sp;0.001140;0.001140;0.001140;0.022805;0.212087;0.001140;0.001140;0.001140;0.506271;0.001140;0.017104;0.001140;0.001140;0.123147;0.001140;0.001140;0.001140;0.069555;0.006842;0.001140;0.001140;0.009122;0.001140;0.013683;0.001140;0.001140
sl;0.003509;0.003509;0.003509;0.003509;0.084211;0.003509;0.003509;0.003509;0.091228;0.003509;0.245614;0.003509;0.003509;0.112281;0.003509;0.003509;0.003509;0.392982;0.003509;0.003509;0.003509;0.003509;0.003509;0.003509;0.003509;0.003509
sv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
s#;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.431818;0.022727;0.022727;0.022727;0.022727
c(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
c);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cf;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cr;0.000957;0.000957;0.000957;0.000957;0.127273;0.000957;0.000957;0.000957;0.260287;0.000957;0.027751;0.000957;0.000957;0.256459;0.000957;0.000957;0.000957;0.277512;0.000957;0.000957;0.000957;0.031579;0.000957;0.000957;0.000957;0.000957
co;0.000225;0.000676;0.001577;0.050237;0.017346;0.250507;0.003604;0.278441;0.000901;0.006533;0.000225;0.001126;0.003604;0.002253;0.008786;0.002478;0.005857;0.009236;0.003604;0.003830;0.010588;0.265150;0.004280;0.048885;0.019599;0.000451
cm;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
c ;0.001706;0.001706;0.022184;0.046075;0.044369;0.034130;0.001706;0.025597;0.017065;0.035836;0.010239;0.006826;0.073379;0.083618;0.136519;0.078498;0.029010;0.119454;0.032423;0.039249;0.022184;0.005119;0.066553;0.023891;0.029010;0.013652
cn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ce;0.000353;0.046660;0.001414;0.091905;0.002121;0.020855;0.479321;0.085543;0.004242;0.000353;0.000353;0.000353;0.001414;0.010604;0.130788;0.000353;0.027925;0.002474;0.000353;0.056204;0.000353;0.000353;0.020148;0.014493;0.000707;0.000353
cw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cy;0.004000;0.108000;0.004000;0.004000;0.004000;0.004000;0.732000;0.016000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.008000;0.040000;0.016000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000
ck;0.000782;0.078186;0.001564;0.000782;0.004691;0.002346;0.537920;0.014073;0.125098;0.002346;0.015637;0.000782;0.005473;0.042220;0.085223;0.000782;0.003127;0.011728;0.001564;0.001564;0.013292;0.002346;0.010946;0.035966;0.000782;0.000782
ct;0.000478;0.016245;0.001911;0.014811;0.086001;0.007167;0.258003;0.000956;0.072623;0.000478;0.000478;0.000478;0.000478;0.279981;0.044912;0.000478;0.000478;0.010511;0.000478;0.000478;0.000478;0.143335;0.000478;0.057334;0.000478;0.000478
ci;0.000855;0.000855;0.034188;0.029915;0.022222;0.000855;0.001709;0.086325;0.067521;0.000855;0.000855;0.000855;0.129060;0.000855;0.122222;0.000855;0.000855;0.318803;0.000855;0.078632;0.008547;0.000855;0.036752;0.023077;0.023932;0.007692
cs;0.006849;0.095890;0.006849;0.006849;0.020548;0.006849;0.719178;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.013699;0.006849;0.006849;0.006849
cc;0.002915;0.002915;0.002915;0.005831;0.361516;0.002915;0.002915;0.002915;0.259475;0.002915;0.002915;0.002915;0.002915;0.005831;0.002915;0.002915;0.002915;0.075802;0.002915;0.002915;0.002915;0.230321;0.002915;0.005831;0.002915;0.002915
cb;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ca;0.000242;0.005091;0.001697;0.068848;0.000242;0.082909;0.019394;0.284121;0.000242;0.000242;0.000242;0.000970;0.059394;0.004848;0.072485;0.000727;0.006788;0.000242;0.000242;0.010667;0.007273;0.151515;0.020121;0.198788;0.002424;0.000242
ch;0.000375;0.024747;0.000750;0.019123;0.074616;0.004874;0.377953;0.019123;0.095238;0.002250;0.000750;0.000375;0.000375;0.131234;0.000375;0.000375;0.000375;0.215598;0.000375;0.000375;0.000375;0.028496;0.000375;0.000750;0.000375;0.000375
cd;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cg;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cu;0.001248;0.001248;0.004994;0.214732;0.002497;0.089888;0.001248;0.002497;0.009988;0.001248;0.001248;0.001248;0.196005;0.016230;0.234707;0.001248;0.007491;0.001248;0.001248;0.001248;0.001248;0.002497;0.034956;0.167291;0.001248;0.001248
cp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cl;0.001085;0.001085;0.001085;0.001085;0.158351;0.001085;0.001085;0.001085;0.329718;0.001085;0.018438;0.001085;0.001085;0.148590;0.001085;0.001085;0.001085;0.208243;0.001085;0.001085;0.001085;0.114967;0.001085;0.001085;0.001085;0.001085
cv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
c#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.263158;0.026316;0.026316;0.026316;0.026316
