smoothed;3
(;a;l;r;i;g;h;t; ;j;m;c;e;y;s;n;);o;k;v;b;f;w;u;d;p;#
te;0.000222;0.024439;0.076427;0.267274;0.003110;0.006665;0.000444;0.000222;0.206176;0.000222;0.012442;0.011331;0.036659;0.000222;0.055321;0.091313;0.014219;0.000889;0.000222;0.042879;0.000667;0.000667;0.002222;0.000444;0.136636;0.003777;0.004888
ty;0.000935;0.000935;0.006548;0.003742;0.001871;0.000935;0.000935;0.000935;0.893358;0.000935;0.000935;0.000935;0.000935;0.000935;0.004677;0.000935;0.050514;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.020580;0.000935
ts;0.000356;0.000356;0.000356;0.000356;0.003919;0.000356;0.000356;0.000356;0.956893;0.000356;0.001069;0.000356;0.006056;0.002850;0.000356;0.000356;0.021019;0.001069;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356;0.000356
tn;0.007874;0.110236;0.007874;0.007874;0.031496;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.669291;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874
t);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
to;0.000172;0.000345;0.009826;0.068436;0.000862;0.008964;0.000172;0.006378;0.762800;0.000172;0.008619;0.001724;0.001551;0.000517;0.001034;0.021031;0.021376;0.027581;0.000690;0.000172;0.001034;0.000345;0.007585;0.008619;0.024996;0.013963;0.001034
tk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
tv;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.256410;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
tb;0.022727;0.204545;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727
tf;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.225000;0.025000;0.025000;0.025000;0.025000;0.025000;0.150000;0.025000;0.025000;0.025000
tw;0.001770;0.001770;0.001770;0.001770;0.063717;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.338053;0.001770;0.001770;0.001770;0.001770;0.555752;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770
tu;0.001206;0.289505;0.006031;0.344994;0.003619;0.001206;0.001206;0.042220;0.001206;0.001206;0.015682;0.008444;0.022919;0.001206;0.004825;0.063932;0.002413;0.001206;0.001206;0.001206;0.019300;0.069964;0.001206;0.001206;0.053076;0.037394;0.002413
td;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
tp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
t#;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412
 (;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
 a;0.000061;0.000061;0.073361;0.076182;0.003803;0.026191;0.001349;0.034472;0.213642;0.000061;0.030056;0.025455;0.000184;0.000061;0.061645;0.331657;0.001963;0.000061;0.000123;0.001472;0.062258;0.011777;0.009937;0.003987;0.020487;0.009323;0.000368
 l;0.000245;0.103279;0.000245;0.000245;0.416789;0.000245;0.000245;0.000245;0.007097;0.000245;0.000245;0.000245;0.175233;0.005629;0.000734;0.000245;0.000245;0.277533;0.000245;0.000245;0.000245;0.000245;0.000245;0.009055;0.000245;0.000245;0.000245
 r;0.000302;0.084694;0.000302;0.000302;0.190260;0.000302;0.005142;0.000302;0.002722;0.000302;0.000302;0.000302;0.541137;0.007562;0.000302;0.000302;0.000605;0.071083;0.000302;0.000302;0.000302;0.000302;0.000302;0.091349;0.000302;0.000302;0.000302
 i;0.000086;0.000086;0.005569;0.004627;0.000086;0.001114;0.000086;0.224831;0.213521;0.000086;0.051924;0.001714;0.000086;0.000086;0.194071;0.242224;0.003170;0.000257;0.000086;0.007369;0.000086;0.034958;0.000086;0.000086;0.013538;0.000086;0.000086
 g;0.000242;0.045213;0.014265;0.122099;0.042553;0.000242;0.002176;0.000242;0.003143;0.000242;0.000242;0.000242;0.231625;0.001209;0.000242;0.000242;0.000242;0.439555;0.000242;0.000242;0.000242;0.000242;0.000242;0.093327;0.000967;0.000242;0.000242
 h;0.000142;0.352380;0.000142;0.000142;0.151468;0.000142;0.000142;0.000142;0.021944;0.000142;0.000142;0.000142;0.313480;0.001425;0.000142;0.000142;0.000142;0.124964;0.000142;0.000142;0.000142;0.000142;0.000142;0.031348;0.000142;0.000285;0.000142
 t;0.000042;0.028421;0.000042;0.051107;0.024598;0.000042;0.653634;0.000042;0.001080;0.000042;0.000042;0.000042;0.020942;0.000873;0.000042;0.000042;0.000083;0.193128;0.000042;0.000540;0.000042;0.000042;0.019653;0.005318;0.000042;0.000042;0.000042
  ;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.058824;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
 j;0.000826;0.064463;0.000826;0.004132;0.014876;0.000826;0.000826;0.000826;0.009091;0.000826;0.000826;0.000826;0.071074;0.000826;0.000826;0.000826;0.001653;0.227273;0.000826;0.000826;0.000826;0.002479;0.000826;0.590083;0.000826;0.000826;0.000826
 m;0.000200;0.247703;0.000200;0.005394;0.099880;0.000200;0.000200;0.000200;0.001398;0.000200;0.000400;0.004395;0.252697;0.084299;0.000400;0.000200;0.000200;0.229125;0.000200;0.000200;0.000200;0.000200;0.000200;0.071115;0.000200;0.000200;0.000200
 c;0.000189;0.290840;0.048536;0.067800;0.017186;0.000189;0.087630;0.000189;0.004533;0.000189;0.000755;0.000189;0.025118;0.001511;0.000189;0.000567;0.000944;0.419452;0.000189;0.000189;0.000378;0.000189;0.000189;0.031539;0.000944;0.000189;0.000189
 e;0.000361;0.061438;0.089266;0.017347;0.052042;0.003975;0.000361;0.004698;0.001084;0.000361;0.052765;0.023130;0.000361;0.008312;0.023853;0.103361;0.000361;0.000361;0.000361;0.307553;0.001446;0.015540;0.000361;0.004698;0.016625;0.004337;0.205638
 y;0.000237;0.002129;0.000237;0.000237;0.000473;0.000237;0.000237;0.000237;0.000710;0.000237;0.000237;0.000237;0.161306;0.000237;0.000237;0.000237;0.000237;0.829470;0.000237;0.000710;0.000237;0.000237;0.000237;0.000473;0.000237;0.000237;0.000237
 s;0.000124;0.179268;0.017256;0.000124;0.044817;0.000124;0.117815;0.141279;0.001366;0.000124;0.007697;0.023836;0.154935;0.005090;0.000124;0.002110;0.000124;0.199007;0.004221;0.000124;0.000124;0.000124;0.005711;0.054128;0.000124;0.039354;0.000869
 n;0.000314;0.061794;0.000314;0.000314;0.071832;0.000314;0.000314;0.000314;0.006274;0.000314;0.000314;0.000314;0.229297;0.000314;0.000314;0.000314;0.000314;0.588770;0.000314;0.000314;0.001568;0.001882;0.000314;0.032309;0.000314;0.000627;0.000314
 );0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
 o;0.000123;0.000246;0.011073;0.085999;0.001107;0.000123;0.012057;0.061024;0.015748;0.000123;0.000492;0.002215;0.000123;0.000123;0.001230;0.264764;0.000123;0.000123;0.019439;0.034326;0.015379;0.327633;0.014887;0.109375;0.000984;0.020792;0.000369
 k;0.000622;0.009950;0.002488;0.003731;0.246891;0.001244;0.000622;0.000622;0.002488;0.000622;0.000622;0.000622;0.084577;0.000622;0.000622;0.600124;0.001244;0.032960;0.000622;0.000622;0.000622;0.000622;0.000622;0.004353;0.000622;0.000622;0.000622
 v;0.001111;0.077778;0.004444;0.001111;0.283333;0.001111;0.001111;0.001111;0.015556;0.001111;0.001111;0.001111;0.335556;0.002222;0.006667;0.001111;0.004444;0.233333;0.001111;0.001111;0.001111;0.001111;0.001111;0.016667;0.001111;0.002222;0.001111
 b;0.000156;0.140625;0.023906;0.054219;0.056563;0.000156;0.000156;0.000156;0.034063;0.000156;0.000156;0.000156;0.382812;0.057969;0.000156;0.000156;0.000156;0.068437;0.000156;0.000156;0.000156;0.000156;0.000156;0.178594;0.000156;0.000156;0.000156
 f;0.000229;0.151890;0.023368;0.189462;0.149141;0.000229;0.000229;0.000229;0.010309;0.000229;0.000229;0.000229;0.054754;0.000458;0.000229;0.000229;0.000458;0.371592;0.000229;0.000229;0.000687;0.000229;0.000229;0.044215;0.000229;0.000229;0.000229
 w;0.000091;0.209744;0.000091;0.013502;0.145060;0.000091;0.297144;0.000091;0.000730;0.000091;0.000091;0.000091;0.222516;0.000274;0.000182;0.000091;0.000091;0.109114;0.000091;0.000091;0.000091;0.000091;0.000091;0.000182;0.000091;0.000091;0.000091
 u;0.000800;0.000800;0.012000;0.008800;0.000800;0.009600;0.000800;0.002400;0.008000;0.000800;0.002400;0.000800;0.000800;0.000800;0.280000;0.336000;0.000800;0.000800;0.006400;0.000800;0.000800;0.000800;0.000800;0.000800;0.000800;0.320800;0.000800
 d;0.000185;0.090960;0.000185;0.061749;0.198003;0.000185;0.000924;0.000185;0.002034;0.000185;0.000185;0.000740;0.160658;0.002034;0.000185;0.000370;0.000555;0.462008;0.000185;0.000924;0.000185;0.000185;0.000370;0.016269;0.000185;0.000185;0.000185
 p;0.000190;0.207970;0.062239;0.226945;0.046110;0.000190;0.014611;0.000190;0.001708;0.000190;0.000190;0.001139;0.242694;0.000380;0.001708;0.000190;0.000380;0.142884;0.000190;0.000190;0.000190;0.000190;0.000190;0.048577;0.000190;0.000190;0.000190
 #;0.004167;0.029167;0.004167;0.004167;0.008333;0.004167;0.004167;0.004167;0.037500;0.004167;0.004167;0.004167;0.054167;0.004167;0.004167;0.004167;0.004167;0.041667;0.004167;0.004167;0.004167;0.004167;0.004167;0.741667;0.004167;0.004167;0.004167
j(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ja;0.008197;0.008197;0.008197;0.147541;0.131148;0.008197;0.008197;0.008197;0.008197;0.008197;0.098361;0.213115;0.008197;0.024590;0.032787;0.057377;0.008197;0.008197;0.024590;0.008197;0.016393;0.008197;0.008197;0.008197;0.016393;0.106557;0.008197
jl;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jr;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.161290;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ji;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.340426;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
jg;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jt;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
j ;0.027027;0.054054;0.027027;0.027027;0.054054;0.054054;0.027027;0.054054;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.054054;0.054054;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027
jj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jm;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jc;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
je;0.006452;0.019355;0.012903;0.161290;0.006452;0.006452;0.012903;0.012903;0.006452;0.006452;0.006452;0.219355;0.025806;0.006452;0.135484;0.032258;0.006452;0.025806;0.006452;0.006452;0.012903;0.167742;0.064516;0.006452;0.012903;0.006452;0.006452
jy;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
js;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jn;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
j);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jo;0.002786;0.008357;0.011142;0.108635;0.050139;0.005571;0.142061;0.002786;0.002786;0.002786;0.002786;0.002786;0.044568;0.027855;0.011142;0.080780;0.002786;0.002786;0.097493;0.002786;0.323120;0.002786;0.005571;0.047354;0.002786;0.002786;0.002786
jk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jb;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jf;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
jw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ju;0.001233;0.008631;0.007398;0.022195;0.002466;0.008631;0.001233;0.001233;0.001233;0.001233;0.006165;0.001233;0.001233;0.001233;0.854501;0.028360;0.001233;0.001233;0.001233;0.002466;0.001233;0.001233;0.001233;0.001233;0.038224;0.001233;0.001233
jd;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
jp;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
j#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
m(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ma;0.000471;0.000471;0.039114;0.079171;0.054665;0.033930;0.004713;0.089538;0.047125;0.017436;0.002356;0.009425;0.000471;0.104147;0.026861;0.213478;0.005184;0.000471;0.122997;0.000471;0.002356;0.002828;0.000471;0.000943;0.055608;0.002828;0.082469
ml;0.029412;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
mr;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.410714;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.107143
mi;0.000797;0.002390;0.176892;0.015139;0.000797;0.088446;0.000797;0.070916;0.003984;0.000797;0.000797;0.090837;0.003984;0.000797;0.090040;0.377689;0.000797;0.000797;0.006375;0.000797;0.000797;0.000797;0.000797;0.000797;0.054183;0.000797;0.007968
mg;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mh;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
mt;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
m ;0.000413;0.143388;0.020248;0.016116;0.073140;0.047107;0.059504;0.139669;0.000413;0.017355;0.029752;0.028099;0.012397;0.015702;0.112810;0.040496;0.000413;0.065289;0.008264;0.007438;0.039256;0.027686;0.052479;0.004545;0.019008;0.017355;0.001653
mj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mm;0.004167;0.112500;0.004167;0.004167;0.325000;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.204167;0.045833;0.004167;0.004167;0.008333;0.100000;0.004167;0.004167;0.004167;0.004167;0.004167;0.120833;0.004167;0.004167;0.004167
mc;0.020000;0.020000;0.020000;0.020000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.040000;0.300000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000
me;0.000213;0.086438;0.004684;0.081541;0.000213;0.001490;0.003619;0.050884;0.415159;0.000213;0.022142;0.000852;0.009793;0.000426;0.048116;0.157547;0.032148;0.015968;0.000213;0.000213;0.017245;0.000639;0.001703;0.000213;0.042580;0.001065;0.004684
my;0.001672;0.001672;0.001672;0.003344;0.001672;0.001672;0.001672;0.006689;0.881271;0.001672;0.001672;0.001672;0.001672;0.001672;0.030100;0.001672;0.041806;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672
ms;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.020231;0.757225;0.002890;0.002890;0.002890;0.112717;0.008671;0.002890;0.002890;0.034682;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.005780;0.002890;0.002890
mn;0.018519;0.018519;0.018519;0.018519;0.092593;0.018519;0.018519;0.018519;0.222222;0.018519;0.018519;0.018519;0.203704;0.018519;0.037037;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
m);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mo;0.000573;0.000573;0.010321;0.291858;0.001147;0.004587;0.000573;0.067661;0.004587;0.000573;0.036124;0.161697;0.001147;0.000573;0.092317;0.134174;0.001720;0.007454;0.008601;0.106651;0.011468;0.000573;0.000573;0.033830;0.018922;0.001147;0.000573
mk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mb;0.003268;0.062092;0.016340;0.049020;0.035948;0.003268;0.003268;0.003268;0.107843;0.003268;0.003268;0.003268;0.604575;0.003268;0.032680;0.003268;0.009804;0.019608;0.003268;0.003268;0.003268;0.003268;0.003268;0.006536;0.003268;0.003268;0.003268
mf;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.156250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250
mw;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
mu;0.002273;0.002273;0.052273;0.040909;0.002273;0.004545;0.004545;0.004545;0.002273;0.002273;0.018182;0.461364;0.011364;0.002273;0.290909;0.072727;0.002273;0.002273;0.002273;0.002273;0.002273;0.002273;0.002273;0.002273;0.002273;0.002273;0.002273
md;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mp;0.000930;0.089302;0.117209;0.017674;0.022326;0.000930;0.002791;0.018605;0.456744;0.000930;0.000930;0.000930;0.054884;0.000930;0.077209;0.000930;0.026977;0.084651;0.001860;0.000930;0.001860;0.000930;0.000930;0.015814;0.000930;0.000930;0.000930
m#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
c(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ca;0.000308;0.000615;0.149846;0.086462;0.005846;0.002769;0.000308;0.036308;0.032000;0.000308;0.048308;0.000615;0.001538;0.000308;0.040308;0.359077;0.008308;0.000308;0.001231;0.003077;0.010462;0.000308;0.000308;0.189538;0.008000;0.013231;0.000308
cl;0.002347;0.129108;0.002347;0.002347;0.211268;0.002347;0.002347;0.002347;0.002347;0.002347;0.002347;0.002347;0.201878;0.011737;0.002347;0.002347;0.002347;0.288732;0.002347;0.002347;0.002347;0.002347;0.002347;0.107981;0.002347;0.002347;0.002347
cr;0.001195;0.451613;0.001195;0.001195;0.213859;0.001195;0.001195;0.001195;0.001195;0.001195;0.001195;0.001195;0.163680;0.020311;0.001195;0.001195;0.001195;0.105137;0.001195;0.001195;0.001195;0.001195;0.001195;0.020311;0.001195;0.001195;0.001195
ci;0.001471;0.310294;0.010294;0.022059;0.001471;0.002941;0.001471;0.116176;0.001471;0.001471;0.005882;0.001471;0.108824;0.001471;0.100000;0.082353;0.001471;0.020588;0.001471;0.051471;0.004412;0.017647;0.001471;0.001471;0.061765;0.048529;0.020588
