smoothed;3
(;m;u;s;i;c;);w;e;l;o; ;y;d;g;a;n;k;z;b;t;h;r;f;p;v;q;j;x;.;,;#
bo;0.000478;0.018173;0.506934;0.007174;0.003348;0.000956;0.002869;0.009565;0.000478;0.005261;0.056911;0.009565;0.048302;0.179340;0.000478;0.019130;0.016738;0.000478;0.000478;0.011478;0.043042;0.001435;0.026303;0.000478;0.000478;0.002391;0.000478;0.000478;0.025347;0.000478;0.000478;0.000478
b ;0.003690;0.040590;0.007380;0.062731;0.114391;0.029520;0.007380;0.055351;0.003690;0.018450;0.047970;0.007380;0.125461;0.018450;0.044280;0.125461;0.011070;0.011070;0.003690;0.040590;0.084871;0.022140;0.014760;0.047970;0.018450;0.003690;0.011070;0.003690;0.003690;0.003690;0.003690;0.003690
by;0.002193;0.002193;0.002193;0.008772;0.002193;0.002193;0.111842;0.002193;0.010965;0.002193;0.002193;0.796053;0.002193;0.002193;0.002193;0.002193;0.004386;0.002193;0.002193;0.002193;0.002193;0.002193;0.002193;0.004386;0.006579;0.002193;0.002193;0.002193;0.002193;0.002193;0.004386;0.002193
bd;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
bg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ba;0.000774;0.006966;0.000774;0.122291;0.011610;0.286378;0.001548;0.000774;0.000774;0.062693;0.000774;0.005418;0.000774;0.130031;0.020898;0.000774;0.049536;0.003096;0.000774;0.187307;0.040248;0.001548;0.057276;0.000774;0.000774;0.000774;0.000774;0.000774;0.000774;0.000774;0.000774;0.000774
bn;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
bk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bb;0.011236;0.011236;0.011236;0.011236;0.258427;0.011236;0.011236;0.011236;0.168539;0.078652;0.022472;0.033708;0.101124;0.011236;0.011236;0.011236;0.011236;0.011236;0.033708;0.033708;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236
bt;0.018868;0.018868;0.018868;0.056604;0.037736;0.018868;0.018868;0.018868;0.037736;0.113208;0.018868;0.169811;0.018868;0.018868;0.018868;0.075472;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868
bh;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
br;0.001572;0.001572;0.047170;0.001572;0.202830;0.001572;0.001572;0.001572;0.267296;0.001572;0.259434;0.001572;0.007862;0.001572;0.001572;0.174528;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572
bf;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bp;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bv;0.010989;0.010989;0.010989;0.010989;0.659341;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
bq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bj;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
bx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
b,;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
b#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
t(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tm;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.287671;0.013699;0.082192;0.013699;0.013699;0.013699;0.013699;0.178082;0.013699;0.013699;0.068493;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
tu;0.000697;0.010460;0.000697;0.004184;0.003487;0.010460;0.000697;0.000697;0.013947;0.011158;0.001395;0.000697;0.000697;0.037657;0.001395;0.262901;0.039749;0.000697;0.000697;0.178522;0.008368;0.000697;0.209902;0.160391;0.033473;0.000697;0.000697;0.000697;0.002092;0.000697;0.000697;0.000697
ts;0.000194;0.000389;0.000389;0.000194;0.006415;0.000194;0.112558;0.000194;0.003305;0.000194;0.000583;0.866641;0.000389;0.000389;0.000194;0.000389;0.000194;0.000389;0.000194;0.000389;0.000778;0.001166;0.000194;0.000194;0.000194;0.000194;0.000194;0.000194;0.000194;0.001166;0.001555;0.000194
ti;0.000262;0.190726;0.000524;0.015457;0.000262;0.080692;0.000524;0.000262;0.017029;0.071784;0.204087;0.003930;0.000262;0.001834;0.007598;0.011789;0.268797;0.000262;0.006550;0.001310;0.027771;0.000262;0.009431;0.021483;0.006288;0.048205;0.001310;0.000262;0.000262;0.000262;0.000262;0.000262
tc;0.001818;0.001818;0.003636;0.001818;0.001818;0.001818;0.001818;0.001818;0.001818;0.010909;0.029091;0.007273;0.001818;0.001818;0.001818;0.005455;0.001818;0.001818;0.001818;0.001818;0.001818;0.896364;0.001818;0.001818;0.001818;0.001818;0.001818;0.001818;0.001818;0.001818;0.001818;0.001818
t);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tw;0.001942;0.001942;0.001942;0.001942;0.285437;0.001942;0.001942;0.001942;0.178641;0.001942;0.473786;0.001942;0.001942;0.001942;0.001942;0.007767;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942;0.001942
te;0.000236;0.013902;0.000943;0.053723;0.003063;0.013666;0.021442;0.001414;0.008954;0.111687;0.001414;0.144910;0.000471;0.160697;0.002356;0.027097;0.082469;0.000471;0.000236;0.000236;0.000707;0.000236;0.300189;0.003063;0.007776;0.029453;0.000236;0.000236;0.007069;0.000943;0.000236;0.000471
tl;0.001209;0.001209;0.001209;0.001209;0.014510;0.016929;0.001209;0.001209;0.530834;0.038694;0.004837;0.001209;0.360339;0.001209;0.001209;0.003628;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209
to;0.000161;0.017716;0.014817;0.005315;0.001611;0.001611;0.078918;0.004993;0.001450;0.009019;0.045096;0.650507;0.001933;0.036882;0.011113;0.000483;0.017555;0.000161;0.000161;0.001611;0.009019;0.000161;0.057175;0.000483;0.028990;0.000322;0.000161;0.000161;0.001772;0.000322;0.000161;0.000161
t ;0.000039;0.031755;0.012538;0.054683;0.134989;0.018983;0.000976;0.090735;0.019998;0.042731;0.061050;0.004648;0.048277;0.026873;0.022850;0.086126;0.018085;0.024022;0.000234;0.036403;0.151277;0.043825;0.017460;0.021522;0.016639;0.003789;0.001016;0.007851;0.000039;0.000195;0.000352;0.000039
ty;0.001456;0.001456;0.001456;0.004367;0.001456;0.001456;0.131004;0.001456;0.004367;0.033479;0.002911;0.714702;0.001456;0.001456;0.002911;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.005822;0.004367;0.061135;0.001456;0.001456;0.001456;0.001456;0.001456;0.004367;0.001456
td;0.012658;0.012658;0.012658;0.050633;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.240506;0.341772;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
tg;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ta;0.000420;0.004202;0.005882;0.022269;0.055042;0.022689;0.006723;0.000420;0.000420;0.255882;0.000420;0.035294;0.017647;0.003782;0.049580;0.000420;0.111345;0.136555;0.000840;0.041176;0.048739;0.000840;0.160084;0.001261;0.010504;0.000420;0.000420;0.000420;0.005042;0.000420;0.000420;0.000420
tn;0.015385;0.015385;0.030769;0.030769;0.153846;0.015385;0.015385;0.015385;0.307692;0.015385;0.030769;0.015385;0.015385;0.015385;0.030769;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
tk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tz;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
tb;0.006993;0.006993;0.146853;0.006993;0.006993;0.006993;0.006993;0.006993;0.020979;0.020979;0.013986;0.489510;0.006993;0.006993;0.006993;0.111888;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.020979;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993
tt;0.000712;0.000712;0.001423;0.001423;0.205694;0.000712;0.002135;0.000712;0.236299;0.272598;0.041281;0.015658;0.140214;0.000712;0.000712;0.061922;0.000712;0.000712;0.000712;0.000712;0.000712;0.003559;0.003559;0.000712;0.000712;0.000712;0.000712;0.000712;0.000712;0.000712;0.000712;0.000712
th;0.000041;0.000249;0.000995;0.002776;0.195964;0.000083;0.007169;0.000041;0.463783;0.000497;0.025609;0.046867;0.001492;0.000912;0.000124;0.233922;0.000041;0.000041;0.000041;0.000456;0.000083;0.000041;0.017943;0.000124;0.000249;0.000041;0.000041;0.000041;0.000041;0.000124;0.000083;0.000083
tr;0.000658;0.000658;0.094737;0.000658;0.142105;0.000658;0.000658;0.000658;0.167105;0.000658;0.099342;0.001316;0.230263;0.000658;0.000658;0.248684;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658;0.000658
tf;0.012821;0.012821;0.089744;0.012821;0.102564;0.012821;0.012821;0.012821;0.025641;0.307692;0.128205;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
tp;0.022727;0.022727;0.045455;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.045455;0.045455;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.136364;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
tv;0.014706;0.014706;0.014706;0.073529;0.014706;0.014706;0.132353;0.014706;0.029412;0.014706;0.014706;0.338235;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
tq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
tj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
t.;0.009524;0.009524;0.009524;0.009524;0.009524;0.019048;0.104762;0.009524;0.009524;0.009524;0.009524;0.580952;0.009524;0.009524;0.019048;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.019048;0.009524;0.009524
t,;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.070588;0.011765;0.011765;0.011765;0.011765;0.576471;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
t#;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.253968;0.015873;0.015873;0.015873;0.015873;0.269841;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
h(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hm;0.005525;0.712707;0.005525;0.005525;0.005525;0.005525;0.016575;0.005525;0.027624;0.005525;0.005525;0.066298;0.005525;0.005525;0.005525;0.027624;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525
hu;0.002817;0.118310;0.002817;0.047887;0.002817;0.008451;0.002817;0.002817;0.002817;0.008451;0.002817;0.002817;0.002817;0.008451;0.200000;0.014085;0.307042;0.002817;0.002817;0.008451;0.067606;0.061972;0.092958;0.002817;0.002817;0.002817;0.002817;0.002817;0.002817;0.002817;0.002817;0.002817
hs;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.088710;0.008065;0.008065;0.008065;0.008065;0.629032;0.008065;0.008065;0.008065;0.008065;0.008065;0.016129;0.008065;0.008065;0.016129;0.024194;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.016129;0.008065;0.008065
hi;0.000146;0.074312;0.000146;0.398771;0.000146;0.041398;0.000585;0.000146;0.002487;0.034231;0.001170;0.001902;0.000146;0.001317;0.010679;0.000731;0.384435;0.000439;0.000585;0.000731;0.023113;0.000146;0.011264;0.001170;0.008631;0.000293;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146
hc;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
h);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
he;0.000060;0.021785;0.000060;0.076997;0.012843;0.003901;0.063314;0.000480;0.002281;0.014343;0.001380;0.395907;0.101302;0.009062;0.000060;0.024185;0.079638;0.000060;0.000060;0.000600;0.001080;0.000120;0.189582;0.000180;0.000180;0.000060;0.000060;0.000060;0.000060;0.000120;0.000060;0.000120
hl;0.017544;0.017544;0.017544;0.017544;0.140351;0.017544;0.017544;0.017544;0.192982;0.017544;0.052632;0.035088;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
ho;0.000257;0.014653;0.212082;0.079949;0.004113;0.003856;0.012596;0.282519;0.006941;0.083805;0.050129;0.082776;0.000257;0.001799;0.001028;0.007198;0.057584;0.000257;0.000257;0.001028;0.043445;0.000257;0.021337;0.000257;0.028792;0.001285;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257
h ;0.000181;0.049883;0.009217;0.057112;0.174227;0.020423;0.001265;0.063618;0.012471;0.031448;0.043376;0.005783;0.094343;0.013194;0.010302;0.106091;0.017531;0.001627;0.000361;0.036870;0.145491;0.042834;0.012471;0.013374;0.023134;0.004338;0.001265;0.006687;0.000361;0.000361;0.000181;0.000181
hy;0.002639;0.010554;0.005277;0.068602;0.002639;0.002639;0.105541;0.002639;0.002639;0.002639;0.002639;0.659631;0.002639;0.031662;0.010554;0.002639;0.002639;0.002639;0.002639;0.007916;0.002639;0.002639;0.002639;0.002639;0.034301;0.002639;0.002639;0.002639;0.002639;0.005277;0.005277;0.002639
hd;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.131148;0.016393;0.016393;0.016393;0.344262;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
hg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ha;0.000091;0.004556;0.000638;0.027062;0.003007;0.002369;0.000182;0.000547;0.001549;0.009203;0.000456;0.001549;0.000182;0.045376;0.000456;0.000182;0.074806;0.000638;0.000273;0.001731;0.633895;0.000456;0.025786;0.000091;0.031344;0.133030;0.000091;0.000091;0.000091;0.000091;0.000091;0.000091
