smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
)b;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)l;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)w;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)d;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)y;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)u;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)k;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)v;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
t(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
t);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
tt;0.001553;0.004658;0.001553;0.001553;0.125776;0.010870;0.139752;0.001553;0.316770;0.021739;0.001553;0.001553;0.071429;0.001553;0.021739;0.001553;0.001553;0.001553;0.145963;0.001553;0.001553;0.116460;0.001553;0.001553;0.001553;0.001553
th;0.000082;0.001394;0.000164;0.000082;0.163468;0.003035;0.057251;0.000574;0.524196;0.197917;0.000082;0.001066;0.031578;0.000082;0.013862;0.000164;0.000082;0.000082;0.000328;0.000410;0.000410;0.000902;0.002543;0.000082;0.000082;0.000082
ti;0.000330;0.000330;0.014847;0.000330;0.000330;0.019466;0.004619;0.091719;0.028044;0.032992;0.032003;0.169251;0.358957;0.008578;0.013857;0.137908;0.001980;0.000330;0.030683;0.000330;0.000660;0.000330;0.000330;0.000330;0.042890;0.008578
ts;0.000657;0.023669;0.000657;0.000657;0.007890;0.000657;0.945431;0.000657;0.004602;0.000657;0.000657;0.000657;0.001972;0.000657;0.000657;0.000657;0.001315;0.001315;0.000657;0.000657;0.000657;0.000657;0.001315;0.001315;0.000657;0.000657
t ;0.000089;0.000089;0.195553;0.059827;0.096437;0.053219;0.000089;0.026252;0.014376;0.098937;0.016966;0.030806;0.090455;0.027056;0.022413;0.019020;0.024645;0.033664;0.025092;0.082061;0.028663;0.020716;0.007322;0.009644;0.005983;0.010626
tm;0.011364;0.011364;0.011364;0.011364;0.022727;0.011364;0.011364;0.011364;0.625000;0.034091;0.011364;0.011364;0.045455;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.034091;0.011364;0.011364;0.011364
te;0.000327;0.004902;0.002941;0.000654;0.007190;0.085621;0.218301;0.020261;0.061111;0.021569;0.006536;0.011765;0.000327;0.001307;0.253595;0.076797;0.007843;0.000654;0.050980;0.000654;0.133987;0.000327;0.000327;0.000327;0.015033;0.016667
ta;0.000671;0.001342;0.181208;0.006040;0.062416;0.003356;0.027517;0.021477;0.000671;0.000671;0.024832;0.018121;0.000671;0.009396;0.111409;0.101342;0.012081;0.037584;0.263087;0.001342;0.000671;0.009396;0.001342;0.080537;0.000671;0.022148
tg;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.528302;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
tc;0.006803;0.020408;0.006803;0.802721;0.006803;0.006803;0.013605;0.006803;0.006803;0.006803;0.006803;0.006803;0.013605;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803
to;0.000303;0.008485;0.006667;0.000303;0.000303;0.000909;0.753939;0.009394;0.000606;0.000303;0.007273;0.002121;0.017576;0.000606;0.087273;0.036061;0.017273;0.002121;0.008485;0.007879;0.021515;0.000303;0.009394;0.000303;0.000303;0.000303
tf;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.181818;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303
tr;0.000898;0.000898;0.000898;0.000898;0.113208;0.000898;0.000898;0.000898;0.081761;0.210243;0.000898;0.000898;0.092543;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.147350;0.336927;0.000898;0.000898;0.000898
tn;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.312500;0.187500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
tp;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.066667;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
tb;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.161290;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258
tl;0.003876;0.003876;0.003876;0.003876;0.038760;0.003876;0.003876;0.003876;0.410853;0.027132;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.007752;0.003876;0.003876;0.434109;0.003876;0.003876;0.003876;0.003876
tw;0.002519;0.002519;0.002519;0.002519;0.060453;0.002519;0.002519;0.002519;0.403023;0.005038;0.002519;0.002519;0.476071;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519
td;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.161290;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ty;0.001370;0.035616;0.001370;0.001370;0.001370;0.006849;0.869863;0.001370;0.001370;0.001370;0.001370;0.001370;0.001370;0.001370;0.004110;0.001370;0.049315;0.001370;0.006849;0.001370;0.001370;0.001370;0.001370;0.001370;0.001370;0.001370
tu;0.002000;0.002000;0.042000;0.002000;0.002000;0.020000;0.004000;0.016000;0.030000;0.350000;0.006000;0.020000;0.004000;0.060000;0.336000;0.050000;0.006000;0.008000;0.004000;0.002000;0.024000;0.002000;0.002000;0.002000;0.002000;0.002000
