smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
cd;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cy;0.008197;0.032787;0.008197;0.008197;0.008197;0.008197;0.704918;0.016393;0.008197;0.008197;0.008197;0.065574;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197
cu;0.002967;0.002967;0.130564;0.002967;0.017804;0.175074;0.002967;0.097923;0.008902;0.002967;0.002967;0.002967;0.002967;0.002967;0.296736;0.002967;0.005935;0.008902;0.201780;0.002967;0.002967;0.002967;0.008902;0.002967;0.002967;0.002967
ck;0.001890;0.039698;0.001890;0.001890;0.035917;0.060491;0.620038;0.001890;0.132325;0.011342;0.017013;0.001890;0.003781;0.001890;0.001890;0.003781;0.001890;0.003781;0.022684;0.003781;0.003781;0.017013;0.003781;0.001890;0.001890;0.001890
cv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
c#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037
o(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
o);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ot;0.000532;0.006386;0.056413;0.186269;0.039383;0.011708;0.503991;0.000532;0.154337;0.023949;0.000532;0.000532;0.003725;0.000532;0.001064;0.000532;0.000532;0.001597;0.003725;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532
oh;0.005714;0.005714;0.005714;0.005714;0.137143;0.005714;0.228571;0.005714;0.085714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.422857;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714
oi;0.001490;0.001490;0.007452;0.001490;0.001490;0.013413;0.007452;0.001490;0.001490;0.001490;0.001490;0.038748;0.001490;0.001490;0.004471;0.873323;0.001490;0.001490;0.014903;0.001490;0.013413;0.001490;0.001490;0.001490;0.001490;0.001490
os;0.001412;0.004237;0.245763;0.009887;0.091808;0.138418;0.049435;0.004237;0.401130;0.004237;0.001412;0.008475;0.004237;0.001412;0.001412;0.001412;0.014124;0.001412;0.001412;0.001412;0.001412;0.002825;0.004237;0.001412;0.001412;0.001412
o ;0.000218;0.000218;0.200610;0.056633;0.059246;0.071880;0.000218;0.044653;0.013287;0.072751;0.031584;0.037900;0.027663;0.025920;0.031584;0.016336;0.035940;0.079939;0.025702;0.065127;0.040950;0.030059;0.008277;0.010455;0.005445;0.007406
om;0.000592;0.005924;0.000592;0.000592;0.078791;0.004147;0.244076;0.081754;0.446090;0.013626;0.000592;0.001185;0.008886;0.005332;0.000592;0.012441;0.066943;0.008294;0.000592;0.001185;0.000592;0.014810;0.000592;0.000592;0.000592;0.000592
oe;0.004098;0.004098;0.004098;0.004098;0.004098;0.729508;0.122951;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.032787;0.004098;0.004098;0.004098;0.004098;0.008197;0.004098;0.004098;0.004098;0.020492;0.004098
oa;0.006897;0.013793;0.082759;0.006897;0.006897;0.034483;0.020690;0.006897;0.006897;0.006897;0.006897;0.137931;0.006897;0.006897;0.103448;0.075862;0.013793;0.006897;0.089655;0.006897;0.303448;0.006897;0.006897;0.013793;0.006897;0.013793
og;0.007752;0.007752;0.007752;0.007752;0.108527;0.023256;0.046512;0.007752;0.178295;0.046512;0.023256;0.007752;0.007752;0.007752;0.232558;0.038760;0.007752;0.007752;0.031008;0.007752;0.007752;0.116279;0.038760;0.007752;0.007752;0.007752
oc;0.001934;0.001934;0.036750;0.001934;0.048356;0.001934;0.009671;0.001934;0.059961;0.092843;0.001934;0.021277;0.005803;0.001934;0.510638;0.001934;0.001934;0.001934;0.007737;0.001934;0.001934;0.001934;0.075435;0.102515;0.001934;0.001934
oo;0.001678;0.005034;0.053691;0.001678;0.001678;0.010067;0.050336;0.041946;0.001678;0.001678;0.006711;0.001678;0.001678;0.008389;0.046980;0.043624;0.045302;0.001678;0.043624;0.001678;0.191275;0.001678;0.001678;0.429530;0.001678;0.003356
of;0.000421;0.005895;0.008000;0.000421;0.004211;0.000421;0.914947;0.000421;0.006316;0.000421;0.000421;0.000421;0.001263;0.050105;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.001263;0.000842;0.000421;0.000421;0.000421
or;0.000289;0.005774;0.140878;0.000577;0.043303;0.023095;0.398095;0.044746;0.122979;0.011547;0.021363;0.009238;0.002021;0.000577;0.025404;0.025115;0.002598;0.001443;0.009238;0.004619;0.048210;0.023672;0.000866;0.033776;0.000289;0.000289
on;0.000216;0.015368;0.069048;0.000216;0.007359;0.088745;0.426407;0.002165;0.138961;0.051948;0.078788;0.019048;0.010823;0.011039;0.000433;0.017965;0.000216;0.000216;0.017749;0.002381;0.024459;0.003896;0.001082;0.000433;0.010823;0.000216
op;0.001520;0.006079;0.025836;0.019757;0.018237;0.027356;0.098784;0.001520;0.110942;0.007599;0.003040;0.001520;0.019757;0.001520;0.016717;0.001520;0.079027;0.001520;0.500000;0.001520;0.001520;0.003040;0.047112;0.001520;0.001520;0.001520
ob;0.003077;0.012308;0.018462;0.003077;0.015385;0.058462;0.178462;0.003077;0.070769;0.326154;0.003077;0.003077;0.024615;0.003077;0.003077;0.003077;0.003077;0.064615;0.101538;0.003077;0.003077;0.003077;0.006154;0.003077;0.076923;0.006154
ol;0.001189;0.005945;0.007134;0.001189;0.378121;0.011891;0.042806;0.001189;0.097503;0.017836;0.001189;0.001189;0.039239;0.010702;0.001189;0.001189;0.001189;0.003567;0.135553;0.001189;0.105826;0.007134;0.047562;0.023781;0.053508;0.001189
ow;0.000815;0.038305;0.000815;0.001630;0.035045;0.030155;0.638142;0.000815;0.051345;0.020375;0.000815;0.000815;0.001630;0.000815;0.000815;0.155664;0.000815;0.002445;0.009780;0.000815;0.004075;0.000815;0.000815;0.000815;0.000815;0.000815
od;0.002151;0.021505;0.002151;0.002151;0.012903;0.034409;0.445161;0.002151;0.062366;0.148387;0.002151;0.002151;0.004301;0.002151;0.002151;0.004301;0.002151;0.010753;0.002151;0.006452;0.025806;0.150538;0.045161;0.002151;0.002151;0.002151
oy;0.012821;0.051282;0.012821;0.012821;0.064103;0.038462;0.166667;0.064103;0.076923;0.128205;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.179487;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
ou;0.000230;0.001607;0.246383;0.000230;0.000459;0.113433;0.210103;0.000230;0.000230;0.000230;0.053042;0.001378;0.000230;0.000230;0.152698;0.084041;0.014007;0.004592;0.107463;0.000230;0.002985;0.000230;0.000230;0.000230;0.005052;0.000230
ok;0.002646;0.021164;0.002646;0.002646;0.134921;0.044974;0.460317;0.002646;0.105820;0.171958;0.002646;0.002646;0.002646;0.002646;0.002646;0.002646;0.002646;0.002646;0.010582;0.002646;0.002646;0.002646;0.002646;0.002646;0.002646;0.002646
ov;0.001965;0.001965;0.001965;0.001965;0.090373;0.001965;0.001965;0.001965;0.791749;0.070727;0.001965;0.001965;0.003929;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965;0.001965
o#;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.367647;0.014706;0.220588;0.044118;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706
f(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ft;0.003846;0.007692;0.003846;0.053846;0.030769;0.011538;0.188462;0.003846;0.453846;0.011538;0.003846;0.003846;0.003846;0.003846;0.003846;0.003846;0.003846;0.003846;0.003846;0.007692;0.003846;0.169231;0.003846;0.003846;0.003846;0.003846
fh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fi;0.001416;0.001416;0.031161;0.001416;0.001416;0.009915;0.001416;0.001416;0.048159;0.002833;0.056657;0.169972;0.001416;0.097734;0.213881;0.177054;0.001416;0.001416;0.053824;0.001416;0.033994;0.001416;0.001416;0.001416;0.063739;0.022663
fs;0.018182;0.072727;0.018182;0.018182;0.018182;0.018182;0.490909;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
f ;0.000376;0.000376;0.330830;0.044686;0.043560;0.049944;0.000376;0.026662;0.012392;0.091250;0.010890;0.060083;0.033421;0.022155;0.020653;0.010139;0.049568;0.035674;0.014270;0.039805;0.024784;0.041682;0.011641;0.003380;0.007135;0.014270
fm;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fe;0.002049;0.008197;0.020492;0.002049;0.010246;0.032787;0.069672;0.004098;0.198770;0.028689;0.002049;0.096311;0.002049;0.002049;0.243852;0.061475;0.002049;0.022541;0.040984;0.081967;0.055328;0.002049;0.004098;0.002049;0.002049;0.002049
fa;0.002457;0.002457;0.039312;0.002457;0.071253;0.039312;0.002457;0.103194;0.002457;0.002457;0.002457;0.385749;0.002457;0.002457;0.142506;0.012285;0.002457;0.002457;0.066339;0.002457;0.007371;0.002457;0.009828;0.027027;0.061425;0.002457
fg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fc;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fo;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.000732;0.014631;0.010241;0.000732;0.855889;0.000732;0.000732;0.000732;0.029993;0.000732;0.001463;0.000732;0.058522;0.000732;0.000732;0.015362
ff;0.002618;0.015707;0.002618;0.002618;0.185864;0.078534;0.280105;0.002618;0.316754;0.015707;0.002618;0.002618;0.047120;0.002618;0.002618;0.002618;0.002618;0.002618;0.010471;0.002618;0.002618;0.002618;0.005236;0.002618;0.002618;0.002618
fr;0.002020;0.002020;0.002020;0.002020;0.072727;0.002020;0.002020;0.002020;0.076768;0.042424;0.002020;0.002020;0.749495;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.004040;0.014141;0.002020;0.002020;0.002020
fn;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fb;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fl;0.008547;0.008547;0.008547;0.008547;0.119658;0.008547;0.008547;0.008547;0.179487;0.196581;0.008547;0.008547;0.162393;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.068376;0.102564;0.008547;0.008547;0.008547
fw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fd;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fy;0.019231;0.038462;0.019231;0.019231;0.076923;0.019231;0.442308;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
fu;0.006024;0.006024;0.048193;0.006024;0.006024;0.042169;0.012048;0.006024;0.018072;0.006024;0.006024;0.030120;0.006024;0.006024;0.030120;0.295181;0.006024;0.006024;0.415663;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024
fk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
r(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
r);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
rt;0.000864;0.019015;0.000864;0.065687;0.115817;0.038029;0.323250;0.040622;0.108038;0.092481;0.024201;0.000864;0.004322;0.000864;0.001729;0.006914;0.000864;0.000864;0.005186;0.000864;0.000864;0.117545;0.027658;0.000864;0.000864;0.000864
rh;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.125000;0.354167;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ri;0.000675;0.000675;0.132928;0.000675;0.000675;0.061404;0.002024;0.059379;0.117409;0.035762;0.144399;0.135628;0.047908;0.023617;0.000675;0.110661;0.011471;0.025641;0.020918;0.000675;0.022267;0.000675;0.001350;0.002024;0.026316;0.014170
rs;0.001025;0.021516;0.150615;0.011270;0.022541;0.001025;0.518443;0.001025;0.103484;0.045082;0.001025;0.005123;0.075820;0.001025;0.001025;0.001025;0.003074;0.001025;0.007172;0.001025;0.012295;0.006148;0.005123;0.001025;0.001025;0.001025
r ;0.000233;0.000233;0.169970;0.044766;0.059221;0.061320;0.000233;0.032408;0.025414;0.105852;0.010492;0.043367;0.077407;0.037538;0.030310;0.028911;0.067382;0.037072;0.025414;0.056190;0.033341;0.022383;0.003730;0.008160;0.006295;0.012357
rm;0.002674;0.008021;0.002674;0.002674;0.088235;0.136364;0.267380;0.002674;0.152406;0.237968;0.002674;0.005348;0.029412;0.002674;0.002674;0.002674;0.002674;0.002674;0.010695;0.002674;0.002674;0.021390;0.002674;0.002674;0.002674;0.002674
re;0.000164;0.009997;0.029335;0.001147;0.004425;0.186332;0.397247;0.018355;0.025074;0.115536;0.005572;0.027696;0.000328;0.007866;0.000164;0.032284;0.062930;0.002294;0.014913;0.002950;0.040806;0.000819;0.000164;0.000328;0.008850;0.004425
ra;0.000683;0.003415;0.358607;0.011612;0.038934;0.017760;0.017760;0.027322;0.000683;0.000683;0.037568;0.084699;0.006148;0.009563;0.007514;0.109290;0.021858;0.005464;0.107923;0.015027;0.064891;0.012295;0.003415;0.001366;0.021175;0.014344
rg;0.003623;0.010870;0.003623;0.007246;0.173913;0.003623;0.141304;0.003623;0.282609;0.054348;0.003623;0.003623;0.025362;0.003623;0.003623;0.003623;0.003623;0.003623;0.003623;0.003623;0.003623;0.043478;0.199275;0.003623;0.003623;0.003623
rc;0.004651;0.004651;0.004651;0.200000;0.060465;0.004651;0.013953;0.004651;0.474419;0.023256;0.004651;0.004651;0.013953;0.004651;0.018605;0.004651;0.004651;0.004651;0.023256;0.004651;0.004651;0.018605;0.079070;0.004651;0.004651;0.004651
ro;0.000657;0.000657;0.032216;0.001972;0.006575;0.053254;0.021039;0.259040;0.005917;0.037475;0.016437;0.038133;0.029586;0.017094;0.008547;0.065089;0.030901;0.064431;0.034188;0.039448;0.021696;0.005917;0.148586;0.005260;0.051282;0.004602
rf;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.228070;0.087719;0.017544;0.017544;0.140351;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.157895;0.017544;0.017544;0.017544
rr;0.003344;0.003344;0.003344;0.003344;0.234114;0.003344;0.003344;0.003344;0.267559;0.093645;0.003344;0.003344;0.133779;0.003344;0.003344;0.003344;0.003344;0.003344;0.003344;0.003344;0.003344;0.180602;0.023411;0.003344;0.003344;0.003344
rn;0.002577;0.005155;0.002577;0.002577;0.170103;0.067010;0.311856;0.079897;0.208763;0.038660;0.002577;0.002577;0.072165;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577;0.002577
rp;0.010870;0.010870;0.043478;0.043478;0.032609;0.010870;0.021739;0.010870;0.076087;0.065217;0.010870;0.010870;0.260870;0.010870;0.228261;0.010870;0.010870;0.010870;0.043478;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
rb;0.014286;0.028571;0.014286;0.014286;0.142857;0.085714;0.028571;0.014286;0.100000;0.242857;0.014286;0.014286;0.085714;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.014286;0.014286
rl;0.005882;0.005882;0.005882;0.005882;0.135294;0.041176;0.064706;0.005882;0.058824;0.017647;0.005882;0.005882;0.052941;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.182353;0.341176;0.005882;0.005882;0.005882;0.005882
rw;0.016393;0.016393;0.016393;0.065574;0.163934;0.016393;0.016393;0.016393;0.032787;0.377049;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
rd;0.002165;0.015152;0.002165;0.002165;0.060606;0.103896;0.443723;0.002165;0.240260;0.062771;0.002165;0.002165;0.008658;0.002165;0.002165;0.002165;0.002165;0.004329;0.015152;0.002165;0.002165;0.008658;0.004329;0.002165;0.002165;0.002165
ry;0.001138;0.032992;0.020478;0.001138;0.089875;0.007964;0.739477;0.002275;0.002275;0.039818;0.001138;0.001138;0.009101;0.001138;0.001138;0.001138;0.001138;0.030717;0.005688;0.002275;0.002275;0.001138;0.001138;0.001138;0.001138;0.001138
ru;0.001493;0.001493;0.005970;0.001493;0.041791;0.113433;0.002985;0.465672;0.046269;0.016418;0.020896;0.023881;0.001493;0.001493;0.002985;0.164179;0.010448;0.008955;0.025373;0.001493;0.026866;0.001493;0.001493;0.001493;0.001493;0.008955
rk;0.004484;0.035874;0.004484;0.008969;0.089686;0.053812;0.466368;0.004484;0.206278;0.026906;0.004484;0.004484;0.008969;0.004484;0.004484;0.013453;0.004484;0.004484;0.013453;0.004484;0.004484;0.008969;0.004484;0.004484;0.004484;0.004484
rv;0.006579;0.006579;0.006579;0.006579;0.289474;0.006579;0.006579;0.006579;0.375000;0.151316;0.006579;0.006579;0.039474;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579
r#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
n(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
n);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
nt;0.000308;0.015091;0.000308;0.023406;0.072067;0.068371;0.552818;0.000616;0.094549;0.030182;0.000308;0.000308;0.047428;0.000616;0.037265;0.000308;0.000308;0.000308;0.015707;0.000308;0.000308;0.031722;0.006468;0.000308;0.000308;0.000308
nh;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.151515;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303
ni;0.001312;0.002625;0.139108;0.002625;0.001312;0.083990;0.034121;0.009186;0.061680;0.060367;0.069554;0.064304;0.039370;0.019685;0.001312;0.355643;0.002625;0.009186;0.005249;0.001312;0.001312;0.001312;0.007874;0.001312;0.010499;0.013123
ns;0.000850;0.014444;0.105353;0.038233;0.073067;0.000850;0.500425;0.000850;0.104503;0.006797;0.000850;0.005947;0.014444;0.004248;0.000850;0.001699;0.016992;0.001699;0.007647;0.027188;0.000850;0.008496;0.061172;0.000850;0.000850;0.000850
n ;0.000147;0.000147;0.243084;0.045909;0.083137;0.045762;0.000147;0.032813;0.021042;0.132725;0.009564;0.031195;0.058122;0.038699;0.020600;0.016333;0.040759;0.032961;0.013537;0.049735;0.024426;0.030606;0.005444;0.006916;0.007504;0.008682
nm;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.588235;0.044118;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
ne;0.000532;0.014377;0.037806;0.000532;0.003195;0.065495;0.365815;0.003727;0.047391;0.006922;0.013845;0.015442;0.000532;0.004260;0.087859;0.006922;0.000532;0.002130;0.025559;0.109691;0.082002;0.046858;0.001065;0.000532;0.022897;0.034079
na;0.001215;0.004860;0.285541;0.001215;0.004860;0.010936;0.123937;0.074119;0.002430;0.001215;0.012151;0.013366;0.001215;0.003645;0.031592;0.046173;0.007290;0.006075;0.339004;0.001215;0.009721;0.001215;0.004860;0.002430;0.008505;0.001215
ng;0.000265;0.017479;0.011123;0.000265;0.003972;0.055350;0.811441;0.000530;0.036811;0.002913;0.000265;0.000265;0.002913;0.000265;0.041049;0.000530;0.000265;0.000265;0.011653;0.000265;0.000265;0.000265;0.000794;0.000265;0.000265;0.000265
nc;0.001515;0.001515;0.013636;0.066667;0.065152;0.001515;0.004545;0.001515;0.613636;0.001515;0.001515;0.001515;0.036364;0.001515;0.042424;0.001515;0.001515;0.001515;0.071212;0.001515;0.001515;0.046970;0.015152;0.001515;0.001515;0.001515
no;0.000616;0.002463;0.391626;0.000616;0.006158;0.007389;0.065271;0.046182;0.000616;0.000616;0.000616;0.005542;0.001847;0.001232;0.057882;0.014163;0.001232;0.005542;0.004926;0.336823;0.001232;0.001847;0.035714;0.000616;0.008621;0.000616
nf;0.006494;0.006494;0.006494;0.006494;0.214286;0.006494;0.006494;0.006494;0.123377;0.038961;0.006494;0.006494;0.357143;0.006494;0.045455;0.006494;0.006494;0.006494;0.071429;0.006494;0.006494;0.006494;0.025974;0.006494;0.006494;0.006494
nr;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412
nn;0.003030;0.003030;0.003030;0.003030;0.227273;0.030303;0.021212;0.003030;0.315152;0.115152;0.003030;0.003030;0.190909;0.003030;0.003030;0.003030;0.003030;0.003030;0.003030;0.003030;0.003030;0.027273;0.018182;0.003030;0.003030;0.003030
np;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.011696;0.005848;0.005848;0.029240;0.005848;0.812865;0.005848;0.005848;0.005848;0.017544;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848;0.005848
nb;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
nl;0.005952;0.005952;0.005952;0.005952;0.089286;0.005952;0.005952;0.005952;0.089286;0.005952;0.005952;0.005952;0.011905;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.678571;0.005952;0.005952;0.005952;0.005952
nw;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.051282;0.256410;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
