,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
457,MCARTHUR,45-64,None
458,MCARTHUR,45-64,None
459,MCARTHUR,45-64,None
460,MCARTHUR,45-64,None
461,MCARTHUR,45-64,None
462,MCARTHUR,45-64,None
463,MCARTHUR,45-64,None
464,MCARTHUR,45-64,None
465,MCARTHUR,45-64,R
466,MCARTHUR,45-64,R
467,MCARTHUR,45-64,R
468,MCARTHUR,45-64,D
469,MCARTHUR,45-64,None
470,MCARTHUR,45-64,R
471,MCARTHUR,45-64,R
472,MCARTHUR,45-64,D
473,MCARTHUR,45-64,None
474,MCARTHUR,45-64,R
475,MCARTHUR,45-64,R
476,MCARTHUR,45-64,R
477,MCARTHUR,45-64,R
478,MCARTHUR,45-64,None
479,MCARTHUR,45-64,None
480,MCARTHUR,45-64,R
481,MCARTHUR,45-64,None
482,MCARTHUR,45-64,None
483,MCARTHUR,45-64,D
484,MCARTHUR,45-64,None
485,MCARTHUR,45-64,R
486,MCARTHUR,45-64,R
487,MCARTHUR,45-64,None
488,MCARTHUR,45-64,None
489,MCARTHUR,45-64,R
490,MCARTHUR,45-64,None
491,MCARTHUR,45-64,None
492,MCARTHUR,45-64,None
493,MCARTHUR,45-64,R
494,MCARTHUR,45-64,None
495,MCARTHUR,45-64,R
496,MCARTHUR,45-64,R
497,MCARTHUR,45-64,None
498,MCARTHUR,45-64,R
499,MCARTHUR,45-64,None
500,MCARTHUR,45-64,R
501,MCARTHUR,45-64,R
502,MCARTHUR,45-64,R
503,MCARTHUR,45-64,R
504,MCARTHUR,45-64,R
505,MCARTHUR,45-64,R
506,MCARTHUR,45-64,R
507,MCARTHUR,45-64,None
508,MCARTHUR,45-64,None
509,MCARTHUR,45-64,None
510,MCARTHUR,45-64,None
511,MCARTHUR,45-64,D
512,MCARTHUR,45-64,R
513,MCARTHUR,45-64,R
514,MCARTHUR,45-64,None
515,MCARTHUR,45-64,D
516,MCARTHUR,45-64,R
517,MCARTHUR,45-64,None
518,MCARTHUR,45-64,None
519,MCARTHUR,45-64,R
520,MCARTHUR,45-64,R
521,MCARTHUR,45-64,R
522,MCARTHUR,45-64,D
523,MCARTHUR,45-64,None
524,MCARTHUR,45-64,None
525,MCARTHUR,45-64,R
526,MCARTHUR,45-64,None
527,MCARTHUR,45-64,None
528,MCARTHUR,45-64,R
529,MCARTHUR,45-64,R
530,MCARTHUR,45-64,D
531,MCARTHUR,45-64,None
532,MCARTHUR,45-64,None
533,MCARTHUR,45-64,None
534,MCARTHUR,45-64,None
535,MCARTHUR,45-64,None
536,MCARTHUR,45-64,R
537,MCARTHUR,45-64,None
538,MCARTHUR,45-64,D
539,MCARTHUR,45-64,None
540,MCARTHUR,45-64,None
541,MCARTHUR,45-64,None
542,MCARTHUR,45-64,None
543,MCARTHUR,45-64,None
544,MCARTHUR,45-64,None
545,MCARTHUR,45-64,None
546,MCARTHUR,45-64,None
547,MCARTHUR,45-64,None
548,MCARTHUR,45-64,None
549,MCARTHUR,45-64,None
550,MCARTHUR,45-64,None
551,MCARTHUR,45-64,None
552,MCARTHUR,45-64,None
553,MCARTHUR,45-64,None
554,MCARTHUR,45-64,None
555,MCARTHUR,45-64,None
556,MCARTHUR,45-64,R
557,MCARTHUR,45-64,None
558,MCARTHUR,45-64,None
559,MCARTHUR,45-64,None
560,MCARTHUR,45-64,None
561,MCARTHUR,45-64,None
562,MCARTHUR,45-64,None
563,MCARTHUR,45-64,None
564,MCARTHUR,45-64,None
565,MCARTHUR,45-64,R
566,MCARTHUR,45-64,None
567,MCARTHUR,45-64,None
568,MCARTHUR,45-64,R
569,MCARTHUR,45-64,D
570,MCARTHUR,45-64,R
571,MCARTHUR,45-64,None
572,MCARTHUR,45-64,D
573,MCARTHUR,45-64,D
574,MCARTHUR,45-64,D
575,MCARTHUR,45-64,R
576,MCARTHUR,45-64,R
577,MCARTHUR,45-64,D
578,MCARTHUR,45-64,R
579,MCARTHUR,45-64,None
580,MCARTHUR,45-64,D
581,MCARTHUR,45-64,R
582,MCARTHUR,45-64,R
583,MCARTHUR,45-64,R
584,MCARTHUR,45-64,R
585,MCARTHUR,45-64,R
586,MCARTHUR,45-64,None
587,MCARTHUR,45-64,R
588,MCARTHUR,45-64,None
589,MCARTHUR,45-64,None
590,MCARTHUR,45-64,None
591,MCARTHUR,45-64,R
592,MCARTHUR,45-64,D
593,MCARTHUR,45-64,D
594,MCARTHUR,45-64,R
595,MCARTHUR,45-64,R
596,MCARTHUR,45-64,None
597,MCARTHUR,45-64,None
598,MCARTHUR,45-64,D
599,MCARTHUR,45-64,R
600,MCARTHUR,45-64,R
601,MCARTHUR,45-64,None
602,MCARTHUR,45-64,R
603,MCARTHUR,45-64,D
604,MCARTHUR,45-64,R
605,MCARTHUR,45-64,None
606,MCARTHUR,45-64,None
607,MCARTHUR,45-64,R
608,MCARTHUR,45-64,R
609,MCARTHUR,45-64,None
610,MCARTHUR,45-64,None
611,MCARTHUR,45-64,None
612,MCARTHUR,45-64,None
613,MCARTHUR,45-64,None
614,MCARTHUR,45-64,R
615,MCARTHUR,45-64,None
616,MCARTHUR,45-64,None
617,MCARTHUR,45-64,R
618,MCARTHUR,45-64,None
619,MCARTHUR,45-64,None
620,MCARTHUR,45-64,D
621,MCARTHUR,45-64,None
622,MCARTHUR,45-64,None
623,MCARTHUR,45-64,R
624,MCARTHUR,45-64,None
625,MCARTHUR,45-64,R
626,MCARTHUR,45-64,None
627,MCARTHUR,45-64,None
628,MCARTHUR,45-64,R
629,MCARTHUR,45-64,None
630,MCARTHUR,45-64,R
