,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
421,ATHENS,0-24,None
422,ATHENS,0-24,None
423,ATHENS,0-24,None
424,ATHENS,0-24,None
425,ATHENS,0-24,None
426,ATHENS,0-24,None
427,ATHENS,0-24,None
428,ATHENS,0-24,None
429,ATHENS,0-24,None
430,ATHENS,0-24,None
431,ATHENS,0-24,None
432,ATHENS,0-24,None
433,ATHENS,0-24,None
434,ATHENS,0-24,None
435,ATHENS,0-24,None
436,ATHENS,0-24,None
437,ATHENS,0-24,None
438,ATHENS,0-24,None
439,ATHENS,0-24,None
440,ATHENS,0-24,None
441,ATHENS,0-24,None
442,ATHENS,0-24,None
443,ATHENS,0-24,None
444,ATHENS,0-24,None
445,ATHENS,0-24,None
446,ATHENS,0-24,None
447,ATHENS,0-24,None
448,ATHENS,0-24,R
449,ATHENS,0-24,None
450,ATHENS,0-24,None
451,ATHENS,0-24,None
452,ATHENS,0-24,None
453,ATHENS,0-24,None
454,ATHENS,0-24,None
455,ATHENS,0-24,None
456,ATHENS,0-24,None
457,ATHENS,0-24,None
458,ATHENS,0-24,None
459,ATHENS,0-24,None
460,ATHENS,0-24,None
461,ATHENS,0-24,None
462,ATHENS,0-24,None
463,ATHENS,0-24,None
464,ATHENS,0-24,None
465,ATHENS,0-24,None
466,ATHENS,0-24,None
467,ATHENS,0-24,None
468,ATHENS,0-24,None
469,ATHENS,0-24,None
470,ATHENS,0-24,D
471,ATHENS,0-24,D
472,ATHENS,0-24,D
473,ATHENS,0-24,None
474,ATHENS,0-24,None
475,ATHENS,0-24,None
476,ATHENS,0-24,D
477,ATHENS,0-24,None
478,ATHENS,0-24,D
479,ATHENS,0-24,None
480,ATHENS,0-24,None
481,ATHENS,0-24,None
482,ATHENS,0-24,None
483,ATHENS,0-24,None
484,ATHENS,0-24,None
485,ATHENS,0-24,None
486,ATHENS,0-24,None
487,ATHENS,0-24,None
488,ATHENS,0-24,None
489,ATHENS,0-24,None
490,ATHENS,0-24,None
491,ATHENS,0-24,None
492,ATHENS,0-24,None
493,ATHENS,0-24,None
494,ATHENS,0-24,None
495,ATHENS,0-24,None
496,ATHENS,0-24,None
497,ATHENS,0-24,None
498,ATHENS,0-24,None
499,ATHENS,0-24,None
500,ATHENS,0-24,None
501,ATHENS,0-24,None
502,ATHENS,0-24,None
503,ATHENS,0-24,None
504,ATHENS,0-24,D
505,ATHENS,0-24,None
506,ATHENS,0-24,None
507,ATHENS,0-24,None
508,ATHENS,0-24,None
509,ATHENS,0-24,None
510,ATHENS,0-24,None
511,ATHENS,0-24,None
512,ATHENS,0-24,None
513,ATHENS,0-24,None
514,ATHENS,0-24,None
515,ATHENS,0-24,None
516,ATHENS,0-24,None
517,ATHENS,0-24,None
518,ATHENS,0-24,None
519,ATHENS,0-24,None
520,ATHENS,0-24,None
521,ATHENS,0-24,None
522,ATHENS,0-24,None
523,ATHENS,0-24,None
524,ATHENS,0-24,None
525,ATHENS,0-24,None
526,ATHENS,0-24,None
527,ATHENS,0-24,None
528,ATHENS,0-24,None
529,ATHENS,0-24,None
530,ATHENS,0-24,None
531,ATHENS,0-24,None
532,ATHENS,0-24,None
533,ATHENS,0-24,None
534,ATHENS,0-24,None
535,ATHENS,0-24,None
536,ATHENS,0-24,None
537,ATHENS,0-24,None
538,ATHENS,0-24,None
539,ATHENS,0-24,None
540,ATHENS,0-24,D
541,ATHENS,0-24,None
542,ATHENS,0-24,None
543,ATHENS,0-24,None
544,ATHENS,0-24,None
545,ATHENS,0-24,None
546,ATHENS,0-24,None
547,ATHENS,0-24,None
548,ATHENS,0-24,D
549,ATHENS,0-24,None
550,ATHENS,0-24,None
551,ATHENS,0-24,None
552,ATHENS,0-24,None
553,ATHENS,0-24,None
554,ATHENS,0-24,None
555,ATHENS,0-24,None
556,ATHENS,0-24,None
557,ATHENS,0-24,None
558,ATHENS,0-24,None
559,ATHENS,0-24,None
560,ATHENS,0-24,None
561,ATHENS,0-24,D
562,ATHENS,0-24,None
563,ATHENS,0-24,None
564,ATHENS,0-24,None
565,ATHENS,0-24,None
566,ATHENS,0-24,None
567,ATHENS,0-24,None
568,ATHENS,0-24,None
569,ATHENS,0-24,None
570,ATHENS,0-24,None
571,ATHENS,0-24,None
572,ATHENS,0-24,None
573,ATHENS,0-24,D
574,ATHENS,0-24,None
575,ATHENS,0-24,None
576,ATHENS,0-24,D
577,ATHENS,0-24,None
578,ATHENS,0-24,D
579,ATHENS,0-24,None
580,ATHENS,0-24,None
581,ATHENS,0-24,None
582,ATHENS,0-24,None
583,ATHENS,0-24,D
584,ATHENS,0-24,D
585,ATHENS,0-24,None
586,ATHENS,0-24,None
587,ATHENS,0-24,D
588,ATHENS,0-24,None
589,ATHENS,0-24,None
590,ATHENS,0-24,None
591,ATHENS,0-24,None
592,ATHENS,0-24,None
593,ATHENS,0-24,None
594,ATHENS,0-24,None
595,ATHENS,0-24,None
596,ATHENS,0-24,None
597,ATHENS,0-24,None
598,ATHENS,0-24,None
599,ATHENS,0-24,None
600,ATHENS,0-24,None
601,ATHENS,0-24,None
602,ATHENS,0-24,None
603,ATHENS,0-24,D
604,ATHENS,0-24,None
605,ATHENS,0-24,None
606,ATHENS,0-24,None
607,ATHENS,0-24,None
608,ATHENS,0-24,None
609,ATHENS,0-24,None
610,ATHENS,0-24,None
611,ATHENS,0-24,None
612,ATHENS,0-24,None
613,ATHENS,0-24,None
614,ATHENS,0-24,None
615,ATHENS,0-24,None
616,ATHENS,0-24,None
617,ATHENS,0-24,None
618,ATHENS,0-24,None
619,ATHENS,0-24,None
620,ATHENS,0-24,None
621,ATHENS,0-24,None
622,ATHENS,0-24,None
623,ATHENS,0-24,None
624,ATHENS,0-24,None
625,ATHENS,0-24,None
626,ATHENS,0-24,None
627,ATHENS,0-24,None
628,ATHENS,0-24,None
629,ATHENS,0-24,None
630,ATHENS,0-24,None
631,ATHENS,0-24,None
632,ATHENS,0-24,None
633,ATHENS,0-24,None
634,ATHENS,0-24,None
635,ATHENS,0-24,None
636,ATHENS,0-24,None
637,ATHENS,0-24,None
638,ATHENS,0-24,None
639,ATHENS,0-24,None
640,ATHENS,0-24,None
641,ATHENS,0-24,None
642,ATHENS,0-24,None
643,ATHENS,0-24,None
644,ATHENS,0-24,None
645,ATHENS,0-24,None
646,ATHENS,0-24,None
647,ATHENS,0-24,None
648,ATHENS,0-24,D
649,ATHENS,0-24,D
650,ATHENS,0-24,D
651,ATHENS,0-24,None
652,ATHENS,0-24,D
653,ATHENS,0-24,None
654,ATHENS,0-24,None
655,ATHENS,0-24,None
656,ATHENS,0-24,D
657,ATHENS,0-24,None
658,ATHENS,0-24,D
659,ATHENS,0-24,None
660,ATHENS,0-24,None
661,ATHENS,0-24,D
662,ATHENS,0-24,D
663,ATHENS,0-24,None
664,ATHENS,0-24,None
665,ATHENS,0-24,None
666,ATHENS,0-24,None
667,ATHENS,0-24,None
668,ATHENS,0-24,None
