,STREET,AGE_RANGE,PARTY_AFFILIATION
422,"E OXBOW TRL, ATHENS",0-24,None
423,"E OXBOW TRL, ATHENS",0-24,None
424,"E OXBOW TRL, ATHENS",0-24,None
425,"E OXBOW TRL, ATHENS",24-44,None
426,"E OXBOW TRL, ATHENS",0-24,None
427,"E OXBOW TRL, ATHENS",0-24,None
428,"E OXBOW TRL, ATHENS",24-44,None
429,"E OXBOW TRL, ATHENS",0-24,None
430,"E OXBOW TRL, ATHENS",24-44,None
431,"E OXBOW TRL, ATHENS",24-44,None
432,"E OXBOW TRL, ATHENS",0-24,None
433,"E OXBOW TRL, ATHENS",24-44,None
434,"E OXBOW TRL, ATHENS",0-24,None
435,"E OXBOW TRL, ATHENS",24-44,None
436,"E OXBOW TRL, ATHENS",0-24,None
437,"MILL ST, ATHENS",45-64,None
438,"E OXBOW TRL, ATHENS",24-44,None
439,"E OXBOW TRL, ATHENS",24-44,None
440,"E OXBOW TRL, ATHENS",24-44,None
441,"N COURT ST, ATHENS",0-24,None
442,"E OXBOW TRL, ATHENS",0-24,None
443,"E OXBOW TRL, ATHENS",24-44,None
444,"E OXBOW TRL, ATHENS",24-44,None
445,"E OXBOW TRL, ATHENS",24-44,None
446,"E OXBOW TRL, ATHENS",24-44,None
447,"E OXBOW TRL, ATHENS",24-44,None
448,"E GREEN DR, ATHENS",24-44,None
449,"E GREEN DR, ATHENS",24-44,None
450,"E GREEN DR, ATHENS",0-24,None
451,"E GREEN DR, ATHENS",24-44,None
452,"E GREEN DR, ATHENS",0-24,None
453,"E GREEN DR, ATHENS",24-44,None
454,"E GREEN DR, ATHENS",24-44,None
455,"E GREEN DR, ATHENS",24-44,None
456,"E GREEN DR, ATHENS",0-24,None
457,"E GREEN DR, ATHENS",24-44,None
458,"E GREEN DR, ATHENS",24-44,None
459,"W GREEN DR, ATHENS",0-24,None
460,"E OXBOW TRL, ATHENS",0-24,None
461,"E OXBOW TRL, ATHENS",0-24,None
462,"E OXBOW TRL, ATHENS",0-24,None
463,"E OXBOW TRL, ATHENS",0-24,None
464,"E OXBOW TRL, ATHENS",24-44,None
465,"E OXBOW TRL, ATHENS",24-44,None
466,"E OXBOW TRL, ATHENS",0-24,None
467,"E OXBOW TRL, ATHENS",0-24,None
468,"E OXBOW TRL, ATHENS",24-44,None
469,"E OXBOW TRL, ATHENS",24-44,None
470,"E OXBOW TRL, ATHENS",24-44,None
471,"E OXBOW TRL, ATHENS",24-44,None
472,"E OXBOW TRL, ATHENS",24-44,None
473,"1/2 N LANCASTER ST, ATHENS",24-44,None
474,"1/2 FIRST ST, ATHENS",24-44,None
475,"1/2 N CONGRESS ST, ATHENS",24-44,None
476,"1/2 W UNION ST, ATHENS",24-44,None
477,"1/2 PALMER ST, ATHENS",24-44,None
478,"1/2 W UNION ST, ATHENS",24-44,None
479,"1/2 N COURT ST, ATHENS",24-44,None
480,"1/2 W UNION ST, ATHENS",24-44,None
481,"ANDOVER RD, ATHENS",24-44,None
482,"RAINBOW LAKE RD, ATHENS",24-44,None
483,"SR 691, NELSONVILLE",65+,None
484,"MAIN ST, GLOUSTER",45-64,None
485,"GARFIELD AVE, ATHENS",24-44,D
486,"PRATT ST, ATHENS",24-44,None
487,"STEWART ST, ATHENS",24-44,None
488,"E CANAL ST, NELSONVILLE",24-44,None
489,"N MCKINLEY AVE, ATHENS",0-24,None
490,"S CONGRESS ST, ATHENS",0-24,None
491,"HOCKING PARKWAY, NELSONVILLE",0-24,None
492,"HOCKING PARKWAY, NELSONVILLE",0-24,None
493,"HOCKING PARKWAY, NELSONVILLE",0-24,None
494,"COMMUNITY DR, ATHENS",0-24,None
495,"COOLVILLE RIDGE RD, ATHENS",24-44,None
496,"MILL ST, CHAUNCEY",24-44,None
497,"MYERS ST, NELSONVILLE",45-64,R
498,"CENTRAL AVE, ATHENS",24-44,D
499,"MOUND ST, ATHENS",0-24,D
500,"N LANCASTER ST, ATHENS",0-24,D
501,"1/2 S CONGRESS ST, ATHENS",0-24,None
502,"STEWART ST, ATHENS",0-24,None
503,"S GREEN DR, ATHENS",24-44,None
504,"S SHANNON AVE, ATHENS",0-24,None
505,"MILLIRON ST, ATHENS",24-44,None
506,"N CONGRESS ST, ATHENS",45-64,None
507,"DORR RUN RD, NELSONVILLE",24-44,None
508,"CHANNINGWAY BLVD, THE PLAINS",24-44,None
509,"MORRIS AVE, ATHENS",24-44,None
510,"MAIN ST, COOLVILLE",0-24,None
511,"MOUNTAIN BELLE RD, COOLVILLE",24-44,None
512,"E OXBOW TRL, ATHENS",0-24,None
513,"E OXBOW TRL, ATHENS",24-44,None
514,"E OXBOW TRL, ATHENS",24-44,None
515,"E OXBOW TRL, ATHENS",24-44,None
516,"E OXBOW TRL, ATHENS",24-44,None
517,"E OXBOW TRL, ATHENS",0-24,None
518,"W GREEN DR, ATHENS",0-24,None
519,"E OXBOW TRL, ATHENS",0-24,None
520,"E OXBOW TRL, ATHENS",24-44,None
521,"E OXBOW TRL, ATHENS",24-44,None
522,"E OXBOW TRL, ATHENS",0-24,None
523,"E OXBOW TRL, ATHENS",0-24,None
524,"E OXBOW TRL, ATHENS",0-24,None
525,"E OXBOW TRL, ATHENS",0-24,None
526,"W GREEN DR, ATHENS",0-24,None
527,"E OXBOW TRL, ATHENS",24-44,None
528,"E GREEN DR, ATHENS",0-24,None
529,"E OXBOW TRL, ATHENS",0-24,None
530,"S GREEN DR, ATHENS",0-24,None
531,"N MCKINLEY AVE, ATHENS",0-24,None
532,"N MCKINLEY AVE, ATHENS",0-24,None
533,"N MCKINLEY AVE, ATHENS",0-24,None
534,"N MCKINLEY AVE, ATHENS",0-24,None
535,"N MCKINLEY AVE, ATHENS",24-44,None
536,"N MCKINLEY AVE, ATHENS",0-24,None
537,"N MCKINLEY AVE, ATHENS",24-44,None
538,"E OXBOW TRL, ATHENS",24-44,None
539,"E OXBOW TRL, ATHENS",0-24,None
540,"E OXBOW TRL, ATHENS",24-44,None
541,"E OXBOW TRL, ATHENS",24-44,None
542,"E OXBOW TRL, ATHENS",0-24,None
543,"E OXBOW TRL, ATHENS",24-44,None
544,"E OXBOW TRL, ATHENS",24-44,None
545,"E OXBOW TRL, ATHENS",0-24,None
546,"E OXBOW TRL, ATHENS",24-44,None
547,"E OXBOW TRL, ATHENS",24-44,None
548,"E OXBOW TRL, ATHENS",24-44,None
549,"E OXBOW TRL, ATHENS",0-24,None
550,"E OXBOW TRL, ATHENS",0-24,None
551,"E OXBOW TRL, ATHENS",0-24,None
552,"E OXBOW TRL, ATHENS",0-24,None
553,"E OXBOW TRL, ATHENS",0-24,None
554,"E OXBOW TRL, ATHENS",0-24,None
