,STREET,AGE_RANGE,PARTY_AFFILIATION
302,"ST RT 160, HAMDEN",24-44,None
303,"SECOND ST, HAMDEN",24-44,None
304,"ST RT 93 N, MCARTHUR",24-44,None
305,"E CENTRAL AVE, HAMDEN",24-44,R
306,"ST RT 683, MCARTHUR",65+,None
307,"CARPENTER RD, RAY",24-44,None
308,"OLD RT 50, LONDONDERRY",24-44,R
309,"MURPHY REMY RD, MCARTHUR",24-44,R
310,"MURPHY REMY RD, MCARTHUR",24-44,R
311,"GOOSECREEK RD, MCARTHUR",24-44,None
312,"W HIGH ST, MCARTHUR",65+,None
313,"CHURCH ST, HAMDEN",24-44,None
314,"S MARKET ST, MCARTHUR",45-64,R
315,"ENGLE DR, MCARTHUR",24-44,R
316,"W SOUTH ST, MCARTHUR",24-44,None
317,"ST RT 324, HAMDEN",24-44,R
318,"US HIGHWAY 50, MCARTHUR",0-24,None
319,"HARKINS CHAPEL RD, ALBANY",65+,None
320,"ST RT 93, HAMDEN",45-64,None
321,"GOOSECREEK RD, MCARTHUR",45-64,None
322,"GOOSECREEK RD, MCARTHUR",24-44,None
323,"KELLY RD, RAY",24-44,None
324,"ST RT 93, HAMDEN",0-24,None
325,"N MARKET ST, MCARTHUR",0-24,None
326,"US HIGHWAY 50, MCARTHUR",45-64,None
327,"KELLY RD, RAY",24-44,None
328,"OLD RT 50, LONDONDERRY",0-24,None
329,"DEPUE RD, MCARTHUR",24-44,None
330,"ST RT 93 N, MCARTHUR",24-44,None
331,"ST RT 278, MCARTHUR",0-24,R
332,"ENGLE DR, MCARTHUR",45-64,None
333,"W SOUTH ST, MCARTHUR",45-64,None
334,"ST RT 56, NEW PLYMOUTH",24-44,None
335,"NORTH FAIRVIEW RD, LOGAN",45-64,R
336,"NORTH FAIRVIEW RD, LOGAN",45-64,R
337,"NORTH FAIRVIEW RD, LOGAN",45-64,R
338,"NORTH FAIRVIEW RD, LOGAN",45-64,R
339,"N PEARL ST, MCARTHUR",45-64,None
340,"MORGAN RD, MCARTHUR",24-44,None
341,"W MAIN ST, MCARTHUR",45-64,None
342,"N MCKINNIS AVE, HAMDEN",45-64,R
343,"ST RT 93, HAMDEN",0-24,R
344,"ST RT 683, MCARTHUR",0-24,None
345,"ST RT 327, LONDONDERRY",65+,R
346,"ST RT 683, MCARTHUR",45-64,D
347,"LOCUST GROVE RD, MCARTHUR",0-24,None
348,"WOLF HILL RD, MCARTHUR",0-24,None
349,"US HIGHWAY 50, MCARTHUR",24-44,None
350,"MOUND HILL RD, ALBANY",24-44,None
351,"ST RT 671, LONDONDERRY",24-44,R
352,"E MILL ST, MCARTHUR",45-64,R
353,"PRATTSVILLE RD, MCARTHUR",0-24,None
354,"HARKINS CHAPEL RD, ALBANY",45-64,None
355,"ST RT 93 N, MCARTHUR",45-64,R
356,"ZIMMERMAN RD, ALBANY",24-44,None
357,"E NORTH ST, MCARTHUR",45-64,D
358,"ST RT 324, HAMDEN",24-44,None
359,"NORTHVIEW RD, MCARTHUR",65+,R
360,"NORTHVIEW RD, MCARTHUR",45-64,D
361,"NORTHVIEW RD, MCARTHUR",65+,R
362,"NORTHVIEW RD, MCARTHUR",45-64,R
363,"NORTHVIEW RD, MCARTHUR",24-44,None
364,"NORTHVIEW RD, MCARTHUR",45-64,R
365,"NORTHVIEW RD, MCARTHUR",24-44,R
366,"NORTHVIEW RD, MCARTHUR",65+,R
367,"NORTHVIEW RD, MCARTHUR",24-44,None
368,"NORTHVIEW RD, MCARTHUR",24-44,D
369,"NORTHVIEW RD, MCARTHUR",65+,None
370,"NORTHVIEW RD, MCARTHUR",65+,D
371,"NORTHVIEW RD, MCARTHUR",65+,R
372,"NORTHVIEW RD, MCARTHUR",24-44,None
373,"E NORTH ST, MCARTHUR",45-64,None
374,"CLARY RD, LONDONDERRY",0-24,None
375,"S MARKET ST, MCARTHUR",0-24,None
376,"BETHEL RD, NEW PLYMOUTH",45-64,R
377,"US HIGHWAY 50, MCARTHUR",24-44,None
